1j001:001	1j001:001	1j001:001	VERSE	1Jh␣1:1␣
1j001:001	-	mikä	INT.REL.INDEF.SG.NOM	Mikä␣
1j001:001	-	olla	COP.ACT.PRES.3S	on␣
1j001:001	-	alku	SG.ELA	alusta␣
1j001:001	-	olla	COP.ACT.PCP2.PERF	ollut
1j001:001	-	,	PUNC	,␣
1j001:001	-	mikä	INT.REL.SG.GEN	minkä␣
1j001:001	-	olla	COP.ACT.PRES.1P	olemme␣
1j001:001	-	kuulla	ACT.PCP2.PERF	kuulleet
1j001:001	-	,	PUNC	,␣
1j001:001	-	mikä	INT.REL.SG.GEN	minkä␣
1j001:001	-	oma	ADJ.PL.INS	omin␣
1j001:001	-	silmä	PL.INS	silmin␣
1j001:001	-	nähdä	ACT.PCP2.PERF	nähneet
1j001:001	-	,	PUNC	,␣
1j001:001	-	mikä	INT.REL.SG.PTV	mitä␣
1j001:001	-	katsella	ACT.PAST.1P	katselimme␣
1j001:001	-	ja	CNJ	ja␣
1j001:001	-	käsi	PL.INS	käsin␣
1j001:001	-	koskettaa	ACT.PAST.1P	kosketimme
1j001:001	-	,	PUNC	,␣
1j001:001	-	se	DEM.SG.ELA	siitä␣
1j001:001	-	me	PERS.PL.NOM	me␣
1j001:001	-	puhua	ACT.PRES.1P	puhumme
1j001:001	-	:	PUNC	:␣
1j001:001	-	elämä	DER.SG.GEN	elämän␣
1j001:001	-	Sana	SG.ELA	Sanasta␣
1j001:001	-	-	PUNC	-␣
1j001:002	1j001:002	1j001:002	VERSE	1Jh␣1:2␣
1j001:002	-	ja	CNJ	ja␣
1j001:002	-	elämä	DER.SG.NOM	elämä␣
1j001:002	-	ilmestyä	ACT.PAST.3S	ilmestyi
1j001:002	-	,	PUNC	,␣
1j001:002	-	ja	CNJ	ja␣
1j001:002	-	me	PERS.PL.NOM	me␣
1j001:002	-	olla	COP.ACT.PRES.1P	olemme␣
1j001:002	-	nähdä	ACT.PCP2.PERF	nähneet␣
1j001:002	-	se	DEM.SG.GEN	sen␣
1j001:002	-	ja	CNJ	ja␣
