ec001:001	ec001:001	ec001:001	VERSE	Srn␣1:1␣
ec001:001	-	saarnaaja	DER.SG.GEN	Saarnaajan␣
ec001:001	-	sana	PL.NOM	sanat
ec001:001	-	,	PUNC	,␣
ec001:001	-	Daavid	PR.SG.GEN	Daavidin␣
ec001:001	-	poika	SG.GEN	pojan
ec001:001	-	,	PUNC	,␣
ec001:001	-	joka	REL.INDEF.SG.NOM	joka␣
ec001:001	-	olla	COP.ACT.PAST.3S	oli␣
ec001:001	-	kuningas	SG.ESS	kuninkaana␣
ec001:001	-	Jerusalem	PR.SG.INE	Jerusalemissa
ec001:001	-	.	PUNC	.␣
ec001:002	ec001:002	ec001:002	VERSE	Srn␣1:2␣
ec001:002	-	turhuus	DER.PL.GEN	Turhuuksien␣
ec001:002	-	turhuus	DER.SG.NOM	turhuus
ec001:002	-	,	PUNC	,␣
ec001:002	-	sanoa	ACT.PAST.3S	sanoi␣
ec001:002	-	saarnaaja	DER.SG.NOM	saarnaaja
ec001:002	-	,	PUNC	,␣
ec001:002	-	turhuus	DER.PL.GEN	turhuuksien␣
ec001:002	-	turhuus	DER.SG.NOM	turhuus
ec001:002	-	;	PUNC	;␣
ec001:002	-	kaikki	INDEF.SG.NOM	kaikki␣
ec001:002	-	olla	COP.ACT.PRES.3S	on␣
ec001:002	-	turhuus	DER.SG.PTV	turhuutta
ec001:002	-	!	PUNC	!␣
ec001:003	ec001:003	ec001:003	VERSE	Srn␣1:3␣
ec001:003	-	mikä	INT.REL.SG.PTV	Mitä␣
ec001:003	-	hyöty	SG.PTV	hyötyä␣
ec001:003	-	olla	COP.ACT.PRES.3S	on␣
ec001:003	-	ihminen	SG.ALL	ihmiselle␣
ec001:003	-	kaikki	INDEF.SG.ELA	kaikesta␣
ec001:003	-	vaivan_näkö	SG.ELA.-3	vaivannäöstänsä
ec001:003	-	,	PUNC	,␣
ec001:003	-	joka	REL.SG.ADE	jolla␣
ec001:003	-	hän	PERS.SG.NOM	hän␣
ec001:003	-	vaivata	ACT.PRES.3S	vaivaa␣
ec001:003	-	itse	REFL.SG.PTV.-3	itseänsä␣
ec001:003	-	aurinko	SG.GEN	auringon␣
ec001:003	-	alla	PREP	alla
ec001:003	-	?	PUNC	?␣
ec001:004	ec001:004	ec001:004	VERSE	Srn␣1:4␣
ec001:004	-	suku_polvi	SG.NOM	Sukupolvi␣
ec001:004	-	mennä	ACT.PRES.3S	menee
ec001:004	-	,	PUNC	,␣
ec001:004	-	ja	CNJ	ja␣
ec001:004	-	suku_polvi	SG.NOM	sukupolvi␣
ec001:004	-	tulla	ACT.PRES.3S	tulee
ec001:004	-	,	PUNC	,␣
ec001:004	-	mutta	CNJ	mutta␣
ec001:004	-	maa	SG.NOM	maa␣
ec001:004	-	pysyä	ACT.PRES.3S	pysyy␣
ec001:004	-	iäti	ADV	iäti
ec001:004	-	.	PUNC	.␣
ec001:005	ec001:005	ec001:005	VERSE	Srn␣1:5␣
ec001:005	-	ja	CNJ	Ja␣
ec001:005	-	aurinko	SG.NOM	aurinko␣
ec001:005	-	nousta	ACT.PRES.3S	nousee
ec001:005	-	,	PUNC	,␣
ec001:005	-	ja	CNJ	ja␣
ec001:005	-	aurinko	SG.NOM	aurinko␣
ec001:005	-	laskea	ACT.PRES.3S	laskee␣
ec001:005	-	ja	CNJ	ja␣
ec001:005	-	kiiruhtaa	ACT.PRES.3S	kiiruhtaa␣
ec001:005	-	se	DEM.SG.ALL	sille␣
ec001:005	-	sija	SG.ALL.-3	sijallensa
ec001:005	-	,	PUNC	,␣
ec001:005	-	joka	REL.SG.ELA	josta␣
ec001:005	-	se	DEM.SG.NOM	se␣
ec001:005	-	jälleen	ADV	jälleen␣
ec001:005	-	nousta	ACT.PRES.3S	nousee
ec001:005	-	.	PUNC	.␣
ec001:006	ec001:006	ec001:006	VERSE	Srn␣1:6␣
ec001:006	-	tuuli	SG.NOM	Tuuli␣
ec001:006	-	mennä	ACT.PRES.3S	menee␣
ec001:006	-	etelä	SG.ILL	etelään␣
ec001:006	-	ja	CNJ	ja␣
ec001:006	-	kiertää	ACT.PRES.3S	kiertää␣
ec001:006	-	pohjoinen	ADJ.SG.ILL	pohjoiseen
ec001:006	-	,	PUNC	,␣
ec001:006	-	kiertää	ACT.PRES.3S	kiertää␣
ec001:006	-	yhä	ADV	yhä␣
ec001:006	-	kiertäminen	DER.SG.PTV.-3	kiertämistään
ec001:006	-	,	PUNC	,␣
ec001:006	-	ja	CNJ	ja␣
ec001:006	-	sama	INDEF.SG.ALL	samalle␣
ec001:006	-	kierto	SG.ALL.-3	kierrollensa␣
ec001:006	-	tuuli	SG.NOM	tuuli␣
ec001:006	-	palata	ACT.PRES.3S	palajaa
ec001:006	-	.	PUNC	.␣
ec001:007	ec001:007	ec001:007	VERSE	Srn␣1:7␣
ec001:007	-	kaikki	INDEF.SG.NOM	Kaikki␣
ec001:007	-	joki	PL.NOM	joet␣
ec001:007	-	laskea	ACT.PRES.3P	laskevat␣
ec001:007	-	meri	SG.ILL	mereen
ec001:007	-	,	PUNC	,␣
