zc001:001	zc001:001	zc001:001	VERSE	Sak␣1:1␣
zc001:001	-		ORD.SG.INE	Kahdeksannessa␣
zc001:001	-	kuu	SG.INE	kuussa␣
zc001:001	-	Daarejaves	PR.SG.GEN	Daarejaveksen␣
zc001:001	-		ORD.SG.ESS	toisena␣
zc001:001	-	vuosi	SG.ESS	vuotena␣
zc001:001	-	tulla	ACT.PAST.3S	tuli␣
zc001:001	-	profeetta	SG.NOM	profeetta␣
zc001:001	-	Sakarja	PR.SG.ALL	Sakarjalle
zc001:001	-	,	PUNC	,␣
zc001:001	-	Berekja	PR.SG.GEN	Berekjan␣
zc001:001	-	poika	SG.ALL	pojalle
zc001:001	-	,	PUNC	,␣
zc001:001	-	joka	REL.INDEF.SG.NOM	joka␣
zc001:001	-	olla	COP.ACT.PAST.3S	oli␣
zc001:001	-	Iddo	PR.SG.GEN	Iddon␣
zc001:001	-	poika	SG.NOM	poika
zc001:001	-	,	PUNC	,␣
zc001:001	-	tämä	DEM.SG.NOM	tämä␣
zc001:001	-	Herra	SG.GEN	Herran␣
zc001:001	-	sana	SG.NOM	sana
zc001:001	-	:	PUNC	:␣
zc001:002	zc001:002	zc001:002	VERSE	Sak␣1:2␣
zc001:002	-	"	PUNC.LEFT	"
zc001:002	-	Herra	SG.NOM	Herra␣
zc001:002	-	olla	COP.ACT.PRES.3S	on␣
zc001:002	-	tuimasti	DER.ADV.POS	tuimasti␣
zc001:002	-	vihastua	ACT.PCP2.PERF	vihastunut␣
zc001:002	-	te	PERS.PL.GEN	teidän␣
zc001:002	-	isä	PL.ILL.-2	isiinne
zc001:002	-	.	PUNC	.␣
zc001:003	zc001:003	zc001:003	VERSE	Sak␣1:3␣
zc001:003	-	sanoa	ACT.IMP.2S	Sano␣
zc001:003	-	he	PERS.PL.ALL	heille
zc001:003	-	:	PUNC	:␣
zc001:003	-	näin	ADV.AD-A	Näin␣
zc001:003	-	sanoa	ACT.PRES.3S	sanoo␣
zc001:003	-	Herra	SG.NOM	Herra␣
zc001:003	-	Sebaot	PR.SG.NOM	Sebaot
zc001:003	-	:	PUNC	:␣
zc001:003	-	kääntyä	ACT.IMP.2P	Kääntykää␣
zc001:003	-	minä	PERS.SG.GEN	minun␣
zc001:003	-	tykö	POST.-1	tyköni
zc001:003	-	,	PUNC	,␣
zc001:003	-	sanoa	ACT.PRES.3S	sanoo␣
zc001:003	-	Herra	SG.NOM	Herra␣
zc001:003	-	Sebaot	PR.SG.NOM	Sebaot
zc001:003	-	,	PUNC	,␣
zc001:003	-	niin	ADV.AD-A	niin␣
zc001:003	-	minä	PERS.SG.NOM	minä␣
zc001:003	-	kääntyä	ACT.PRES.1S	käännyn␣
zc001:003	-	te	PERS.PL.GEN	teidän␣
zc001:003	-	tykö	POST.-2	tykönne
zc001:003	-	,	PUNC	,␣
zc001:003	-	sanoa	ACT.PRES.3S	sanoo␣
zc001:003	-	Herra	SG.NOM	Herra␣
zc001:003	-	Sebaot	PR.SG.NOM	Sebaot
zc001:003	-	.	PUNC	.␣
zc001:004	zc001:004	zc001:004	VERSE	Sak␣1:4␣
zc001:004	-	älä	NEGV.ACT.IMP.2P	Älkää␣
zc001:004	-	olla	COP.ACT.IMP.NEG	olko␣
zc001:004	-	isä	PL.GEN.-2	isienne␣
zc001:004	-	kaltainen	ADJ.PL.NOM	kaltaiset
zc001:004	-	,	PUNC	,␣
zc001:004	-	joka	REL.PL.ALL	joille␣
zc001:004	-	entinen	ADJ.PL.NOM	entiset␣
zc001:004	-	profeetta	PL.NOM	profeetat␣
zc001:004	-	olla	COP.ACT.PRES.3P	ovat␣
zc001:004	-	saarnata	ACT.PCP2.PERF	saarnanneet␣
zc001:004	-	sanoa	ACT.INF2.MAN	sanoen
zc001:004	-	:	PUNC	:␣
zc001:004	-	näin	ADV.AD-A	Näin␣
zc001:004	-	sanoa	ACT.PRES.3S	sanoo␣
zc001:004	-	Herra	SG.NOM	Herra␣
zc001:004	-	Sebaot	PR.SG.NOM	Sebaot
zc001:004	-	:	PUNC	:␣
zc001:004	-	kääntyä	ACT.IMP.2P	Kääntykää␣
zc001:004	-	pois	ADV	pois␣
zc001:004	-	paha	ADJ.PL.ABL	pahoilta␣
zc001:004	-	tie	PL.ABL.-2	teiltänne␣
zc001:004	-	ja	CNJ	ja␣
zc001:004	-	paha	ADJ.PL.ELA	pahoista␣
zc001:004	-	teko	PL.ELA.-2	teoistanne
zc001:004	-	;	PUNC	;␣
zc001:004	-	mutta	CNJ	mutta␣
zc001:004	-	he	PERS.PL.NOM	he␣
zc001:004	-	ei	NEGV.3P	eivät␣
zc001:004	-	kuulla	ACT.PAST.PL	kuulleet
zc001:004	-	,	PUNC	,␣
zc001:004	-	ei	NEGV.3P	eivät␣
zc001:004	-	kuunnella	ACT.PAST.PL	kuunnelleet␣
zc001:004	-	minä	PERS.SG.PTV	minua
zc001:004	-	.	PUNC	.␣
zc001:005	zc001:005	zc001:005	VERSE	Sak␣1:5␣
zc001:005	-	te	PERS.PL.GEN	Teidän␣
