er001:001	er001:001	er001:001	VERSE	Esr␣1:1␣
er001:001	(1a)	-	UNTRANSLATED	
er001:001	3b	@	-	Kooreksen
er001:001	3a	%case	GEN	
er001:001	-	(,)	-	,␣
er001:001	5	@	-	Persian␣
er001:001	4	@	-	kuninkaan
er001:001	-	(,)	-	,␣
er001:001	2	@	-	ensimmäisenä␣
er001:001	1c	@	-	hallitusvuotena␣
er001:001	1b	%case	ESS	
er001:001	11	@	-	herätti␣
er001:001	12	@	-	Herra
er001:001	-	(,)	-	,␣
er001:001	6a	@	-	että␣
er001:001	6b	@	-	täyttyisi␣
er001:001	8	@	-	Herran␣
er001:001	7	@	-	sana
er001:001	-	(,)	-	,␣
er001:001	-	(@)	-	jonka␣
er001:001	-	(@)	-	hän␣
er001:001	-	(@)	-	oli␣
er001:001	-	(@)	-	puhunut␣
er001:001	10	@	-	Jeremian␣
er001:001	9b	@	-	suun␣
er001:001	9a	@	-	kautta
er001:001	-	(,)	-	,␣
er001:001	15	@	-	Kooreksen
er001:001	-	(,)	-	,␣
er001:001	17	@	-	Persian␣
er001:001	16	@	-	kuninkaan
er001:001	-	(,)	-	,␣
er001:001	14	@	-	hengen
er001:001	13	%case	GEN	
er001:001	-	(,)	-	,␣
er001:001	18a	@	-	niin␣
er001:001	18a	@	-	että␣
er001:001	18b 19	(@)	-	tämä␣
er001:001	20b	@	-	koko␣
er001:001	21	@	-	valtakunnassansa␣
er001:001	20a	%case	LOC	
er001:001	18b 19	@	-	kuulutti␣
er001:001	22a	@	-	ja␣
er001:001	22b	@	-	myös␣
er001:001	23b	@	-	käskykirjassa␣
er001:001	23a	%case	LOC	
er001:001	-	(@)	-	julistutti␣
er001:001	24a 24b	@	-	näin
er001:001	-	(:)	-	:␣
er001:002	er001:002	er001:002	VERSE	Esr␣1:2␣
er001:002	-	(@)	-	"
er001:002	1	@	-	Näin␣
er001:002	2	@	-	sanoo␣
er001:002	3	@	-	Koores
er001:002	-	(,)	-	,␣
er001:002	5	@	-	Persian␣
er001:002	4	@	-	kuningas
er001:002	-	(:)	-	:␣
er001:002	6	@	-	Kaikki␣
er001:002	(8a) 8b	@	-	maan␣
er001:002	7	@	-	valtakunnat␣
er001:002	9	(@)	-	on␣
er001:002	11	@	-	Herra
er001:002	-	(,)	-	,␣
er001:002	(13a) 13b	@	-	taivaan␣
er001:002	12	@	-	Jumala
er001:002	-	(,)	-	,␣
er001:002	9	@	-	antanut␣
er001:002	10	@	-	minulle
er001:002	-	(,)	-	,␣
er001:002	14a	@	-	ja␣
er001:002	14b	@	-	hän␣
er001:002	15	(@)	-	on␣
er001:002	15	@	-	käskenyt␣
er001:002	16	@	-	minun␣
er001:002	17b	@	-	rakentaa␣
er001:002	17a	%case	LAT	
er001:002	18	@	-	itsellensä␣
er001:002	19	@	-	temppelin␣
er001:002	20b	@	-	Jerusalemiin
er001:002	20a	%case	LOC	
er001:002	-	(,)	-	,␣
er001:002	21	@	-	joka␣
er001:002	-	(@)	-	on␣
er001:002	22b	@	-	Juudassa
er001:002	22a	%case	LOC	
er001:002	-	(.)	-	.␣
er001:003	er001:003	er001:003	VERSE	Esr␣1:3␣
er001:003	1	@	-	Kuka␣
er001:003	3a 3b	@	-	vain␣
er001:003	pers%2	@	-	teidän␣
er001:003	2	@	-	joukossanne␣
er001:003	-	(@)	-	on␣
er001:003	pers%4	@	-	hänen␣
er001:003	4	@	-	kansaansa
er001:003	-	(,)	-	,␣
er001:003	pers%7	@	-	sen␣
er001:003	7	@	-	kanssa␣
er001:003	5	@	-	olkoon␣
er001:003	pers%6	@	-	hänen␣
er001:003	6	@	-	Jumalansa
er001:003	-	(,)	-	,␣
er001:003	8a	@	-	ja␣
er001:003	8b	(@)	-	hän␣
er001:003	8b	@	-	menköön␣
er001:003	9b	@	-	Jerusalemiin
er001:003	9a	%case	LOC	
er001:003	-	(,)	-	,␣
er001:003	10	@	-	joka␣
er001:003	-	(@)	-	on␣
er001:003	11b	@	-	Juudassa
er001:003	11a	%case	LOC	
er001:003	-	(,)	-	,␣
er001:003	12b	@	-	rakentamaan␣
er001:003	12a	%case	LOC	
er001:003	15	@	-	Herran
er001:003	-	(,)	-	,␣
er001:003	17	@	-	Israelin␣
er001:003	16	@	-	Jumalan
er001:003	-	(,)	-	,␣
er001:003	14	@	-	temppeliä
er001:003	13	%case	PTV	
er001:003	-	(.)	-	.␣
er001:003	18	@	-	Hän␣
er001:003	-	(@)	-	on␣
er001:003	19a	@	-	se␣
er001:003	19b	@	-	Jumala
er001:003	-	(,)	-	,␣
er001:003	20	@	-	joka␣
er001:003	-	(@)	-	asuu␣
er001:003	21b	@	-	Jerusalemissa
er001:003	21a	%case	LOC	
er001:003	-	(.)	-	.␣
er001:004	er001:004	er001:004	VERSE	Esr␣1:4␣
er001:004	(1a)	-	UNTRANSLATED	
er001:004	1b	@	-	Kuka␣
er001:004	1b	@	-	vain␣
er001:004	(2a)	-	UNTRANSLATED	
er001:004	2b	(@)	-	on␣
er001:004	2b	@	-	jäljellä
er001:004	-	(,)	-	,␣
er001:004	6	@	-	se␣
er001:004	9	@	-	saakoon
er001:004	-	(,)	-	,␣
er001:004	3a 3b (4a) 4b	@	-	missä␣
er001:004	7	@	-	asuukin␣
er001:004	7	@	-	muukalaisena
er001:004	(5) (8)	-	UNTRANSLATED	
er001:004	-	(,)	-	,␣
er001:004	11	@	-	paikkakuntansa␣
er001:004	10	@	-	miehiltä␣
er001:004	-	(@)	-	kannatukseksi␣
er001:004	12b	@	-	hopeata␣
er001:004	12a	%case	PTV	
er001:004	13a	@	-	ja␣
er001:004	13c	@	-	kultaa
er001:004	13b	%case	PTV	
er001:004	(14a)	-	UNTRANSLATED	
er001:004	-	(,)	-	,␣
er001:004	14c	@	-	tavaraa␣
er001:004	14b	%case	PTV	
er001:004	15a	@	-	ja␣
er001:004	15c	@	-	karjaa␣
er001:004	15b	%case	PTV	
er001:004	16	@	-	ynnä␣
er001:004	(17a) 17b	@	-	vapaaehtoisia␣
er001:004	(17a) 17b	@	-	lahjoja␣
er001:004	(19a) 19b	@	-	Jumalan␣
er001:004	18b	@	-	temppelin␣
er001:004	18a	@	-	rakentamiseksi␣
er001:004	21b	@	-	Jerusalemiin
er001:004	20 21a	%case	LOC	
er001:004	-	(.)	-	.
er001:004	-	(@)	-	"␣
er001:005	er001:005	er001:005	VERSE	Esr␣1:5␣
er001:005	1a	@	-	Silloin␣
er001:005	1b	@	-	nousivat␣
er001:005	4b	@	-	Juudan␣
er001:005	4a	%case	GEN	
er001:005	5a	@	-	ja␣
