ps001:001	ps001:001	ps001:001	VERSE	Ps␣1:1␣
ps001:001	1	@	-	Autuas␣
ps001:001	2a	@	-	se␣
ps001:001	2b	@	-	mies
ps001:001	-	(,)	-	,␣
ps001:001	3	@	-	joka␣
ps001:001	4	@	-	ei␣
ps001:001	5	@	-	vaella␣
ps001:001	7	@	-	jumalattomain␣
ps001:001	6b	@	-	neuvossa␣
ps001:001	6a	%case	LOC	
ps001:001	10	@	-	eikä␣
ps001:001	8a	%clitic	kA	
ps001:001	11	@	-	astu␣
ps001:001	9	@	-	syntisten␣
ps001:001	8c	@	-	teitä␣
ps001:001	8b	%case	PTV	
ps001:001	14	@	-	eikä␣
ps001:001	12a	%clitic	kA	
ps001:001	15	@	-	istu
ps001:001	-	(,)	-	,␣
ps001:001	12b	@	-	kussa␣
ps001:001	13	@	-	pilkkaajat␣
ps001:001	12c	@	-	istuvat
ps001:001	-	(,)	-	,␣
ps001:002	ps001:002	ps001:002	VERSE	Ps␣1:2␣
ps001:002	1 2	@	-	vaan␣
ps001:002	5	@	-	rakastaa␣
ps001:002	4	@	-	Herran␣
ps001:002	3b	@	-	lakia␣
ps001:002	3a	%case	PTV	
ps001:002	6a	@	-	ja␣
ps001:002	7	@	-	tutkistelee␣
ps001:002	pers%6c	@	-	hänen␣
ps001:002	6c	@	-	lakiansa␣
ps001:002	6b	%case	PTV	
ps001:002	8	@	-	päivät␣
ps001:002	9a	@	-	ja␣
ps001:002	9b	@	-	yöt
ps001:002	-	(!)	-	!␣
ps001:003	ps001:003	ps001:003	VERSE	Ps␣1:3␣
ps001:003	(1a)	-	UNTRANSLATED	
ps001:003	1b	(@)	-	Hän␣
ps001:003	1b	@	-	on␣
ps001:003	2a	@	-	niinkuin␣
ps001:003	3	@	-	istutettu␣
ps001:003	2b	@	-	puu␣
ps001:003	5 6	@	-	vesiojain␣
ps001:003	4	@	-	tykönä
ps001:003	-	(,)	-	,␣
ps001:003	7	@	-	joka␣
ps001:003	9	@	-	antaa␣
ps001:003	8	@	-	hedelmänsä␣
ps001:003	10b	@	-	ajallaan␣
ps001:003	10a	%case	LOC	
ps001:003	11a	@	-	ja␣
ps001:003	pers%11b	@	-	jonka␣
ps001:003	11b	@	-	lehti␣
ps001:003	12	@	-	ei␣
ps001:003	13	@	-	lakastu
ps001:003	-	(;)	-	;␣
ps001:003	14a	@	-	ja␣
ps001:003	14b	@	-	kaikki
ps001:003	-	(,)	-	,␣
ps001:003	15	@	-	mitä␣
ps001:003	16	(@)	-	hän␣
ps001:003	16	@	-	tekee
ps001:003	-	(,)	-	,␣
ps001:003	17	@	-	menestyy
ps001:003	-	(.)	-	.␣
ps001:004	ps001:004	ps001:004	VERSE	Ps␣1:4␣
ps001:004	2	@	-	Niin␣
ps001:004	1	@	-	eivät␣
