3j000:001	3j000:001	3j000:001	VERSE	3Jh␣0:1␣
3j000:001	(1) 2	@	-	Vanhin␣
3j000:001	(4) 5a	@	-	rakkaalle␣
3j000:001	3	@	-	Gaiukselle
3j000:001	5b	,	-	,␣
3j000:001	6	@	-	jota␣
3j000:001	7	@	-	minä␣
3j000:001	10a	@	-	totuudessa␣
3j000:001	9	%case	LOC	
3j000:001	8	@	-	rakastan
3j000:001	10b	.	-	.␣
3j000:002	3j000:002	3j000:002	VERSE	3Jh␣0:2␣
3j000:002	1a	@	-	Rakkaani
3j000:002	-	(,)	-	,␣
3j000:002	4	(@)	-	minä␣
3j000:002	4	@	-	toivotan␣
3j000:002	5	@	-	sinulle
3j000:002	-	(,)	-	,␣
3j000:002	-	(@)	-	että␣
3j000:002	3	@	-	kaikessa␣
3j000:002	2	%case	LOC	
3j000:002	6	@	-	menestyt␣
3j000:002	7	@	-	ja␣
3j000:002	8a	@	-	pysyt␣
3j000:002	8a	@	-	terveenä
3j000:002	8b	,	-	,␣
3j000:002	9	@	-	niinkuin␣
3j000:002	(12) 13a	@	-	sielusikin␣
3j000:002	11	%pers	?	
3j000:002	10	@	-	menestyy
3j000:002	13b	.	-	.␣
3j000:003	3j000:003	3j000:003	VERSE	3Jh␣0:3␣
3j000:003	1	(@)	-	Minua␣
3j000:003	1	@	-	ilahutti␣
3j000:003	(2)	-	UNTRANSLATED	
3j000:003	3	@	-	suuresti
3j000:003	-	(,)	-	,␣
3j000:003	4	(@)	-	kun␣
3j000:003	5	@	-	veljet␣
3j000:003	4	@	-	tulivat␣
3j000:003	6	@	-	ja␣
3j000:003	7	@	-	antoivat␣
3j000:003	7	@	-	todistuksen␣
3j000:003	8	@	-	sinun␣
3j000:003	10a (9)	@	-	totuudestasi
3j000:003	10b	,	-	,␣
3j000:003	11	@	-	niinkuin␣
3j000:003	12	@	-	sinä␣
3j000:003	14	@	-	totuudessa␣
3j000:003	13	%case	LOC	
3j000:003	15a	@	-	vaellatkin
3j000:003	15b	.	-	.␣
3j000:004	3j000:004	3j000:004	VERSE	3Jh␣0:4␣
3j000:004	4	(@)	-	Minulla␣
3j000:004	3	@	-	ei␣
3j000:004	4	@	-	ole␣
3j000:004	1	@	-	suurempaa␣
3j000:004	5a	@	-	iloa␣
3j000:004	1	@	-	kuin␣
3j000:004	2	@	-	se
3j000:004	5b	,	-	,␣
3j000:004	6	@	-	että␣
3j000:004	7	@	-	kuulen␣
3j000:004	10 (8)	@	-	lasteni␣
3j000:004	9	%pers	?	
3j000:004	14a	@	-	vaeltavan␣
3j000:004	(12) 13	@	-	totuudessa
3j000:004	11	%case	LOC	
3j000:004	14b	.	-	.␣
3j000:005	3j000:005	3j000:005	VERSE	3Jh␣0:5␣
3j000:005	1a	@	-	Rakkaani
3j000:005	-	(,)	-	,␣
3j000:005	3	(@)	-	sinä␣
3j000:005	3	@	-	toimit␣
3j000:005	2	@	-	uskollisesti␣
3j000:005	-	(@)	-	kaikessa
3j000:005	-	(,)	-	,␣
3j000:005	4	@	-	mitä␣
3j000:005	6	@	-	teet␣
3j000:005	5	%modus	IND	
3j000:005	(8) 9	@	-	veljien
3j000:005	-	(,)	-	,␣
3j000:005	11	@	-	vieläpä␣
3j000:005	10	%clitic	pA	
3j000:005	12a	@	-	vieraittenkin␣
3j000:005	7	@	-	hyväksi
3j000:005	12b	.	-	.␣
3j000:006	3j000:006	3j000:006	VERSE	3Jh␣0:6␣
3j000:006	1	@	-	He␣
3j000:006	2	(@)	-	ovat␣
3j000:006	7a	@	-	seurakunnan␣
3j000:006	6	@	-	edessä␣
3j000:006	2	@	-	antaneet␣
3j000:006	2	@	-	todistuksen␣
3j000:006	3	@	-	sinun␣
3j000:006	(4) 5	@	-	rakkaudestasi
3j000:006	-	(;)	-	;␣
3j000:006	-	(@)	-	ja␣
3j000:006	-	(@)	-	sinä␣
3j000:006	10	@	-	teet␣
3j000:006	9	@	-	hyvin
3j000:006	-	(,)	-	,␣
3j000:006	11	(@)	-	kun␣
3j000:006	11	@	-	autat␣
3j000:006	8	@	-	heitä␣
3j000:006	11	@	-	eteenpäin␣
3j000:006	-	(@)	-	heidän␣
3j000:006	11	@	-	matkallaan
3j000:006	-	(,)	-	,␣
3j000:006	-	(@)	-	niinkuin␣
3j000:006	(13) 14a	@	-	Jumalan␣
3j000:006	case%14a	@	-	edessä␣
3j000:006	12	@	-	arvollista␣
3j000:006	-	(@)	-	on
3j000:006	14b	.	-	.␣
3j000:007	3j000:007	3j000:007	VERSE	3Jh␣0:7␣
3j000:007	2	@	-	Sillä␣
3j000:007	-	(@)	-	hänen␣
3j000:007	(3) 4	@	-	nimensä␣
3j000:007	1	@	-	tähden␣
3j000:007	5	(@)	-	he␣
3j000:007	5	(@)	-	ovat␣
3j000:007	5	(@)	-	matkalle␣
3j000:007	5	@	-	lähteneet␣
3j000:007	6	@	-	eivätkä␣
3j000:007	7	@	-	ota␣
3j000:007	10a (9)	@	-	pakanoilta␣
3j000:007	8	%case	LOC	
3j000:007	6	@	-	mitään
3j000:007	10b	.	-	.␣
3j000:008	3j000:008	3j000:008	VERSE	3Jh␣0:8␣
3j000:008	1	@	-	Me␣
3j000:008	3	@	-	olemme␣
3j000:008	2	@	-	siis␣
3j000:008	3	@	-	velvolliset␣
3j000:008	4	@	-	ottamaan␣
3j000:008	(5) 6a	@	-	semmoisia␣
3j000:008	4	@	-	vastaan
3j000:008	6b	,	-	,␣
3j000:008	9	@	-	auttaaksemme␣
3j000:008	7	%case	TRA	
3j000:008	8	@	-	yhdessä␣
3j000:008	(10) 11a	@	-	totuutta␣
3j000:008	9	(@)	-	eteenpäin
3j000:008	11b	.	-	.␣
3j000:009	3j000:009	3j000:009	VERSE	3Jh␣0:9␣
3j000:009	1	(@)	-	Minä␣
3j000:009	1	@	-	kirjoitin␣
3j000:009	(2)	-	UNTRANSLATED	
3j000:009	(3) 4a	@	-	seurakunnalle
3j000:009	4b	;	-	;␣
3j000:009	5	@	-	mutta␣
3j000:009	9	@	-	Diotrefes
3j000:009	-	(,)	-	,␣
3j000:009	6	@	-	joka␣
3j000:009	7	(@)	-	haluaa␣
3j000:009	7	@	-	olla␣
3j000:009	7	@	-	ensimmäinen␣
3j000:009	8	@	-	heidän␣
3j000:009	case%8	@	-	joukossaan
3j000:009	-	(,)	-	,␣
3j000:009	10	@	-	ei␣
3j000:009	11	@	-	ota␣
3j000:009	12a	@	-	meitä␣
3j000:009	11	@	-	vastaan
3j000:009	12b	.	-	.␣
3j000:010	3j000:010	3j000:010	VERSE	3Jh␣0:10␣
3j000:010	1 2a	@	-	Sentähden␣
3j000:010	5	(@)	-	minä
3j000:010	2b	,	-	,␣
3j000:010	3	@	-	jos␣
3j000:010	4a	@	-	tulen
3j000:010	4b	,	-	,␣
3j000:010	5	@	-	muistutan␣
3j000:010	6	@	-	hänen␣
3j000:010	(7) 8	@	-	teoistansa
3j000:010	-	(,)	-	,␣
3j000:010	9	@	-	mitä␣
3j000:010	10	(@)	-	hän␣
3j000:010	10	@	-	tekee
3j000:010	-	(,)	-	,␣
3j000:010	13	(@)	-	kun␣
3j000:010	12	@	-	pahoilla␣
3j000:010	11	@	-	sanoilla␣
3j000:010	14a	@	-	meistä␣
3j000:010	13	@	-	juoruaa
3j000:010	14b	;	-	;␣
3j000:010	15	@	-	ja␣
3j000:010	-	(@)	-	vielä␣
3j000:010	19	@	-	siihenkään␣
3j000:010	18	%case	LOC	
3j000:010	17	@	-	tyytymättä
3j000:010	16	%inflection	INF3.ABE	
3j000:010	-	(,)	-	,␣
3j000:010	21	@	-	hän␣
3j000:010	20	@	-	ei␣
3j000:010	21	@	-	itse␣
3j000:010	22	@	-	ota␣
