jb001:001	jb001:001	jb001:001	VERSE	Job␣1:1␣
jb001:001	4	@	-	Uusin␣
jb001:001	3b	@	-	maassa␣
jb001:001	3a	%case	LOC	
jb001:001	2	@	-	oli␣
jb001:001	1	@	-	mies
jb001:001	-	(,)	-	,␣
jb001:001	-	(@)	-	jonka␣
jb001:001	6	@	-	nimi␣
jb001:001	-	(@)	-	oli␣
jb001:001	5	@	-	Job
jb001:001	(7a)	-	UNTRANSLATED	
jb001:001	-	(.)	-	.␣
jb001:001	(9a) 9b	@	-	Tämä␣
jb001:001	(8a) 8b	@	-	mies␣
jb001:001	7b	@	-	oli␣
jb001:001	10	@	-	nuhteeton␣
jb001:001	11a	@	-	ja␣
jb001:001	11b	@	-	rehellinen
jb001:001	(12a)	-	UNTRANSLATED	
jb001:001	-	(,)	-	,␣
jb001:001	12b	@	-	pelkäsi␣
jb001:001	13	@	-	Jumalaa␣
jb001:001	14a	@	-	ja␣
jb001:001	14b	@	-	karttoi␣
jb001:001	15b	@	-	pahaa
jb001:001	15a	%case	PTV	
jb001:001	-	(.)	-	.␣
jb001:002	jb001:002	jb001:002	VERSE	Job␣1:2␣
jb001:002	(1a)	-	UNTRANSLATED	
jb001:002	2	@	-	Hänelle␣
jb001:002	1b	@	-	syntyi␣
jb001:002	3	@	-	seitsemän␣
jb001:002	4	@	-	poikaa␣
jb001:002	5a	@	-	ja␣
jb001:002	5b	@	-	kolme␣
jb001:002	6	@	-	tytärtä
jb001:002	-	(.)	-	.␣
jb001:003	jb001:003	jb001:003	VERSE	Job␣1:3␣
jb001:003	1a	@	-	Ja␣
jb001:003	2	@	-	karjaa␣
jb001:003	pers%2	@	-	hänellä␣
jb001:003	1b	@	-	oli␣
jb001:003	3 4	@	-	seitsemäntuhatta␣
jb001:003	5	@	-	lammasta
jb001:003	(6a)	-	UNTRANSLATED	
jb001:003	-	(,)	-	,␣
jb001:003	6b 7	@	-	kolmetuhatta␣
jb001:003	8	@	-	kamelia
jb001:003	(9a)	-	UNTRANSLATED	
jb001:003	-	(,)	-	,␣
jb001:003	10 9b	@	-	viisisataa␣
jb001:003	11 12	@	-	härkäparia␣
jb001:003	13a	@	-	ja␣
jb001:003	13b 14	@	-	viisisataa␣
jb001:003	15	@	-	aasintammaa␣
jb001:003	16a	@	-	sekä␣
jb001:003	18	@	-	ylen␣
jb001:003	17	@	-	paljon␣
jb001:003	16b	@	-	palvelijoita
jb001:003	(19a)	-	UNTRANSLATED	
jb001:003	-	(.)	-	.␣
jb001:003	(21a) 21b	@	-	Tämä␣
jb001:003	(20a) 20b	@	-	mies␣
jb001:003	19b	@	-	oli␣
jb001:003	23b	@	-	kaikista␣
jb001:003	23a	%case	LOC	
jb001:003	25	@	-	Idän␣
jb001:003	24	@	-	miehistä␣
jb001:003	22	@	-	mahtavin
jb001:003	-	(.)	-	.␣
jb001:004	jb001:004	jb001:004	VERSE	Job␣1:4␣
jb001:004	(1a)	-	UNTRANSLATED	
jb001:004	pers%2	@	-	Hänen␣
jb001:004	2	@	-	pojillansa␣
jb001:004	1b	@	-	oli␣
jb001:004	1b	@	-	tapana␣
jb001:004	(3a)	-	UNTRANSLATED	
jb001:004	3b	@	-	laittaa␣
jb001:004	4	@	-	pitoja
jb001:004	-	(,)	-	,␣
jb001:004	6	@	-	kullakin␣
jb001:004	-	(@)	-	oli␣
jb001:004	-	(@)	-	pidot␣
jb001:004	5	@	-	talossaan␣
jb001:004	7	@	-	vuoropäivänänsä
jb001:004	(8a)	-	UNTRANSLATED	
jb001:004	-	(;)	-	;␣
jb001:004	8b	(@)	-	he␣
jb001:004	8b	@	-	lähettivät␣
jb001:004	-	(@)	-	silloin␣
jb001:004	8b	@	-	sanan␣
jb001:004	9a	@	-	ja␣
jb001:004	9b	@	-	kutsuivat␣
jb001:004	10b	@	-	kolme␣
jb001:004	10a	%case	NOM	
jb001:004	11	@	-	sisartansa␣
jb001:004	13b	@	-	syömään␣
jb001:004	13a	%case	LOC	
jb001:004	14a	@	-	ja␣
jb001:004	14c	@	-	juomaan␣
jb001:004	14b	%case	LOC	
jb001:004	15	@	-	kanssansa
jb001:004	-	(.)	-	.␣
jb001:005	jb001:005	jb001:005	VERSE	Job␣1:5␣
jb001:005	1a	@	-	Mutta␣
jb001:005	(1b)	-	UNTRANSLATED	
jb001:005	2	@	-	kun␣
jb001:005	4 (5a) 5b	@	-	pitopäivät␣
jb001:005	3	(@)	-	olivat␣
jb001:005	sem%3	@	-	kiertonsa␣
jb001:005	3	@	-	kiertäneet
jb001:005	(6a)	-	UNTRANSLATED	
jb001:005	-	(,)	-	,␣
jb001:005	6b	@	-	lähetti␣
jb001:005	7	@	-	Job␣
jb001:005	6b	@	-	sanan␣
jb001:005	8a	@	-	ja␣
jb001:005	8b	@	-	pyhitti␣
jb001:005	pers%8b	@	-	heidät
jb001:005	(9a)	-	UNTRANSLATED	
jb001:005	-	(;)	-	;␣
jb001:005	9b	(@)	-	hän␣
jb001:005	9b	@	-	nousi␣
jb001:005	9b	@	-	varhain␣
jb001:005	10b	@	-	aamulla␣
jb001:005	10a	%case	LOC	
jb001:005	11a	@	-	ja␣
jb001:005	11b	@	-	uhrasi␣
jb001:005	12	@	-	polttouhreja
jb001:005	-	(,)	-	,␣
jb001:005	-	(@)	-	yhtä␣
jb001:005	13	@	-	monta␣
jb001:005	-	(@)	-	kuin␣
jb001:005	14	@	-	heitä␣
jb001:005	-	(@)	-	oli
jb001:005	-	(.)	-	.␣
jb001:005	15	@	-	Sillä␣
jb001:005	17	@	-	Job␣
jb001:005	16	@	-	ajatteli
jb001:005	-	(:)	-	:␣
jb001:005	-	(@)	-	"
jb001:005	18	@	-	Ehkä␣
jb001:005	20	@	-	poikani␣
jb001:005	19	(@)	-	ovat␣
jb001:005	19	@	-	tehneet␣
jb001:005	19	@	-	syntiä␣
jb001:005	21a	@	-	ja␣
jb001:005	23b	@	-	sydämessään␣
jb001:005	23a	%case	LOC	
jb001:005	21b	@	-	luopuneet␣
jb001:005	22	@	-	Jumalasta
jb001:005	-	(@)	-	"
jb001:005	-	(.)	-	.␣
jb001:005	24	@	-	Näin␣
jb001:005	26	@	-	Job␣
jb001:005	25	@	-	teki␣
jb001:005	27 (28a) 28b	@	-	aina
jb001:005	-	(.)	-	.␣
jb001:006	jb001:006	jb001:006	VERSE	Job␣1:6␣
jb001:006	1a	@	-	Mutta␣
jb001:006	(1b)	-	UNTRANSLATED	
jb001:006	-	(@)	-	kun␣
jb001:006	-	(@)	-	eräänä␣
jb001:006	(2a) 2b	@	-	päivänä␣
jb001:006	(3a)	-	UNTRANSLATED	
jb001:006	(5a) 5b	@	-	Jumalan␣
jb001:006	4	@	-	pojat␣
jb001:006	3b	@	-	tulivat␣
jb001:006	6a	@	-	ja␣
jb001:006	6b	@	-	asettuivat␣
jb001:006	8	@	-	Herran␣
jb001:006	7	@	-	eteen
jb001:006	(9a)	-	UNTRANSLATED	
jb001:006	-	(,)	-	,␣
jb001:006	9b	@	-	tuli␣
jb001:006	10	@	-	myöskin␣
jb001:006	(11a) 11b	@	-	saatana␣
jb001:006	pers%12b	@	-	heidän␣
jb001:006	12b	@	-	joukossansa
jb001:006	12a	%case	LOC	
jb001:006	-	(.)	-	.␣
jb001:007	jb001:007	jb001:007	VERSE	Job␣1:7␣
jb001:007	1a	@	-	Niin␣
jb001:007	2	@	-	Herra␣
jb001:007	1b	@	-	kysyi␣
jb001:007	(4a) 4b	@	-	saatanalta
jb001:007	3	%case	LOC	
jb001:007	-	(:)	-	:␣
jb001:007	-	(@)	-	"
jb001:007	5b	@	-	Mistä␣
jb001:007	5a	%case	LOC	
jb001:007	6	(@)	-	sinä␣
jb001:007	6	@	-	tulet
jb001:007	(7a)	-	UNTRANSLATED	
jb001:007	-	(?)	-	?
jb001:007	-	(@)	-	"␣
jb001:007	(8a) 8b	@	-	Saatana␣
jb001:007	7b	@	-	vastasi␣
jb001:007	10	@	-	Herralle␣
jb001:007	9	%case	LOC	
jb001:007	11a	@	-	ja␣
jb001:007	11b	@	-	sanoi
jb001:007	-	(:)	-	:␣
jb001:007	-	(@)	-	"
jb001:007	13b	@	-	Maata␣
jb001:007	13a	%case	PTV	
jb001:007	12b	@	-	kiertämästä␣
jb001:007	12a	%case	LOC	
jb001:007	14a	@	-	ja␣
jb001:007	15	@	-	siellä␣
jb001:007	14c	@	-	kuljeksimasta
jb001:007	14b	%case	LOC	
jb001:007	-	(@)	-	"
jb001:007	-	(.)	-	.␣
jb001:008	jb001:008	jb001:008	VERSE	Job␣1:8␣
jb001:008	1a	@	-	Niin␣
jb001:008	2	@	-	Herra␣
jb001:008	1b	@	-	sanoi␣
jb001:008	(4a) 4b	@	-	saatanalle
jb001:008	3	%case	LOC	
jb001:008	-	(:)	-	:␣
