1j001:001	1j001:001	1j001:001	VERSE	1Jh␣1:1␣
1j001:001	1	@	-	Mikä␣
1j001:001	2	(@)	-	on␣
1j001:001	4a	@	-	alusta␣
1j001:001	3	%case	LOC	
1j001:001	2	@	-	ollut
1j001:001	4b	,	-	,␣
1j001:001	5	@	-	minkä␣
1j001:001	6a	(@)	-	olemme␣
1j001:001	6a	@	-	kuulleet
1j001:001	6b	,	-	,␣
1j001:001	7	@	-	minkä␣
1j001:001	11a	@	-	omin␣
1j001:001	10 (9)	@	-	silmin␣
1j001:001	8	@	-	nähneet
1j001:001	11b	,	-	,␣
1j001:001	12	@	-	mitä␣
1j001:001	13	@	-	katselimme␣
1j001:001	14	@	-	ja␣
1j001:001	(15) 16	@	-	käsin␣
1j001:001	17	%pers	?	
1j001:001	18	@	-	kosketimme
1j001:001	-	(,)	-	,␣
1j001:001	-	(@)	-	siitä␣
1j001:001	-	(@)	-	me␣
1j001:001	-	(@)	-	puhumme
1j001:001	-	(:)	-	:␣
1j001:001	(22) 23a	@	-	elämän␣
1j001:001	(20) 21	@	-	Sanasta␣
1j001:001	19	%case	LOC	
1j001:001	23b	-	-	-␣
1j001:002	1j001:002	1j001:002	VERSE	1Jh␣1:2␣
1j001:002	1	@	-	ja␣
1j001:002	(2) 3	@	-	elämä␣
1j001:002	4a	@	-	ilmestyi
1j001:002	4b	,	-	,␣
1j001:002	5	@	-	ja␣
1j001:002	6	(@)	-	me␣
1j001:002	6	(@)	-	olemme␣
1j001:002	6	@	-	nähneet␣
1j001:002	-	(@)	-	sen␣
1j001:002	7	@	-	ja␣
1j001:002	8	@	-	todistamme␣
1j001:002	-	(@)	-	siitä␣
1j001:002	9	@	-	ja␣
1j001:002	10	@	-	julistamme␣
1j001:002	11	@	-	teille␣
1j001:002	12	@	-	sen␣
1j001:002	(14) 15	@	-	iankaikkisen␣
1j001:002	13	@	-	elämän
1j001:002	-	(,)	-	,␣
1j001:002	16	@	-	joka␣
1j001:002	17	@	-	oli␣
1j001:002	(19) 20	@	-	Isän␣
1j001:002	18	@	-	tykönä␣
1j001:002	21	@	-	ja␣
