2x001:001	2x001:001	2x001:001	VERSE	2Ak␣1:1␣
2x001:001	(1a)	-	UNTRANSLATED	
2x001:001	2	@	-	Salomo
2x001:001	-	(,)	-	,␣
2x001:001	4	@	-	Daavidin␣
2x001:001	3	@	-	poika
2x001:001	-	(,)	-	,␣
2x001:001	1b	@	-	vahvistui␣
2x001:001	6	@	-	kuninkuudessansa
2x001:001	5	%case	LOC	
2x001:001	-	(,)	-	,␣
2x001:001	7a	@	-	ja␣
2x001:001	7b	@	-	Herra
2x001:001	-	(,)	-	,␣
2x001:001	pers%8	@	-	hänen␣
2x001:001	8	@	-	Jumalansa
2x001:001	-	(,)	-	,␣
2x001:001	-	(@)	-	oli␣
2x001:001	pers%9	@	-	hänen␣
2x001:001	9	@	-	kanssansa␣
2x001:001	10a	@	-	ja␣
2x001:001	10b	@	-	teki␣
2x001:001	pers%10b	@	-	hänet␣
2x001:001	11b	@	-	ylen␣
2x001:001	11a	%case	?	
2x001:001	10b	@	-	suureksi
2x001:001	-	(.)	-	.␣
2x001:002	2x001:002	2x001:002	VERSE	2Ak␣1:2␣
2x001:002	1a	@	-	Ja␣
2x001:002	2	@	-	Salomo␣
2x001:002	1b	@	-	antoi␣
2x001:002	1b	@	-	kutsun␣
2x001:002	3b	@	-	koko␣
2x001:002	3a	%case	?	
2x001:002	4	@	-	Israelille
2x001:002	-	(,)	-	,␣
2x001:002	(6a) 6b	@	-	tuhannen-~/tuhannenpäämiehille␣
2x001:002	7a	@	-	ja␣
2x001:002	5b (7b) 7c	@	-	sadanpäämiehille
2x001:002	5a	%case	LOC	
2x001:002	(8a)	-	UNTRANSLATED	
2x001:002	-	(,)	-	,␣
2x001:002	8c	@	-	tuomareille␣
2x001:002	8b	%case	LOC	
2x001:002	9a	@	-	ja␣
2x001:002	9c	@	-	kaikille␣
2x001:002	9b	%case	LOC	
2x001:002	10	@	-	ruhtinaille␣
2x001:002	11b	@	-	koko␣
2x001:002	11a	%case	?	
2x001:002	12	@	-	Israelissa
