jr001:001	jr001:001	jr001:001	VERSE	Jer␣1:1␣
jr001:001	2	@	-	Jeremian
jr001:001	-	(,)	-	,␣
jr001:001	4	@	-	Hilkian␣
jr001:001	3	@	-	pojan
jr001:001	-	(,)	-	,␣
jr001:001	1	@	-	sanat
jr001:001	-	(.)	-	.␣
jr001:001	7	@	-	Tämä␣
jr001:001	-	(@)	-	oli␣
jr001:001	8b	@	-	Anatotissa
jr001:001	8a	%case	LOC	
jr001:001	-	(,)	-	,␣
jr001:001	10	@	-	Benjaminin␣
jr001:001	9b	@	-	maassa
jr001:001	9a	%case	LOC	
jr001:001	-	(,)	-	,␣
jr001:001	-	(@)	-	asuvia␣
jr001:001	(6a) 6b	@	-	pappeja
jr001:001	5	%case	PTV	
jr001:001	-	(.)	-	.␣
jr001:002	jr001:002	jr001:002	VERSE	Jer␣1:2␣
jr001:002	1 5	@	-	Hänelle␣
jr001:002	2	@	-	tuli␣
jr001:002	4	@	-	Herran␣
jr001:002	3	@	-	sana␣
jr001:002	11	@	-	Juudan␣
jr001:002	10	@	-	kuninkaan␣
jr001:002	7	@	-	Joosian
jr001:002	-	(,)	-	,␣
jr001:002	9	@	-	Aamonin␣
jr001:002	8	@	-	pojan
jr001:002	-	(,)	-	,␣
jr001:002	6b	@	-	päivinä
jr001:002	6a	%case	ESS	
jr001:002	-	(,)	-	,␣
jr001:002	pers%15b	@	-	tämän␣
jr001:002	12b 13	@	-	kolmantenatoista␣
jr001:002	12a	%case	ESS	
jr001:002	14 15b	@	-	hallitusvuotena
jr001:002	15a	%case	ESS	
jr001:002	-	(,)	-	,␣
jr001:003	jr001:003	jr001:003	VERSE	Jer␣1:3␣
jr001:003	1a	@	-	ja␣
jr001:003	1b	@	-	tuli␣
jr001:003	-	(@)	-	vielä␣
jr001:003	7	@	-	Juudan␣
jr001:003	6	@	-	kuninkaan␣
jr001:003	3	@	-	Joojakimin
jr001:003	-	(,)	-	,␣
jr001:003	5	@	-	Joosian␣
jr001:003	4	@	-	pojan
jr001:003	-	(,)	-	,␣
jr001:003	2b	@	-	päivinä␣
jr001:003	2a	%case	ESS	
jr001:003	-	(@)	-	ja␣
jr001:003	8	@	-	aina␣
jr001:003	17	@	-	Juudan␣
jr001:003	16	@	-	kuninkaan␣
jr001:003	13b	@	-	Sidkian
jr001:003	13a	%case	GEN	
jr001:003	-	(,)	-	,␣
jr001:003	15	@	-	Joosian␣
jr001:003	14	@	-	pojan
jr001:003	-	(,)	-	,␣
jr001:003	10 11	@	-	yhdennentoista␣
jr001:003	12	@	-	vuoden␣
jr001:003	9	@	-	loppumiseen␣
jr001:003	8	@	-	asti
jr001:003	-	(,)	-	,␣
jr001:003	18	@	-	jolloin␣
jr001:003	20	@	-	Jerusalemin␣
jr001:003	-	(@)	-	asukkaat␣
jr001:003	22b	@	-	viidentenä␣
jr001:003	22a	%case	ESS	
jr001:003	21b	@	-	kuukautena␣
jr001:003	21a	%case	ESS	
jr001:003	19	@	-	vietiin␣
jr001:003	19	@	-	pakkosiirtolaisuuteen
jr001:003	-	(.)	-	.␣
jr001:004	jr001:004	jr001:004	VERSE	Jer␣1:4␣
jr001:004	(1a)	-	UNTRANSLATED	
jr001:004	4	@	-	Minulle␣
jr001:004	1b	@	-	tuli␣
jr001:004	-	(@)	-	tämä␣
jr001:004	3	@	-	Herran␣
jr001:004	2	@	-	sana
jr001:004	(5a) (5b)	-	UNTRANSLATED	
jr001:004	-	(:)	-	:␣
jr001:005	jr001:005	jr001:005	VERSE	Jer␣1:5␣
jr001:005	-	(@)	-	"
jr001:005	-	(@)	-	Jo␣
jr001:005	1a 1b	@	-	ennenkuin␣
jr001:005	3	(@)	-	minä␣
jr001:005	3	@	-	valmistin␣
jr001:005	pers%3	@	-	sinut␣
jr001:005	4b	(@)	-	äidin␣
jr001:005	4b	@	-	kohdussa
jr001:005	4a	%case	LOC	
jr001:005	-	(,)	-	,␣
jr001:005	5	(@)	-	minä␣
jr001:005	pers%5	@	-	sinut␣
jr001:005	5	@	-	tunsin
jr001:005	-	(,)	-	,␣
jr001:005	6a	@	-	ja␣
jr001:005	6b 6c	@	-	ennenkuin␣
jr001:005	7	(@)	-	sinä␣
jr001:005	8b	@	-	äidistä␣
jr001:005	8a	%case	LOC	
jr001:005	7	@	-	synnyit
jr001:005	-	(,)	-	,␣
jr001:005	9	(@)	-	minä␣
jr001:005	pers%9	@	-	sinut␣
jr001:005	9	@	-	pyhitin
jr001:005	-	(;)	-	;␣
jr001:005	12	(@)	-	minä␣
jr001:005	12	@	-	asetin␣
jr001:005	pers%12	@	-	sinut␣
jr001:005	11b	@	-	kansojen␣
jr001:005	11a	%case	GEN	
jr001:005	10	@	-	profeetaksi
jr001:005	-	(@)	-	"
jr001:005	-	(.)	-	.␣
jr001:006	jr001:006	jr001:006	VERSE	Jer␣1:6␣
jr001:006	1a	@	-	Mutta␣
jr001:006	1b	(@)	-	minä␣
jr001:006	1b	@	-	sanoin
jr001:006	-	(:)	-	:␣
jr001:006	-	(@)	-	"
jr001:006	2	@	-	Voi␣
jr001:006	3	@	-	Herra
jr001:006	-	(,)	-	,␣
jr001:006	4	@	-	Herra
jr001:006	-	(!)	-	!␣
jr001:006	5	@	-	Katso
jr001:006	-	(,)	-	,␣
jr001:006	6	@	-	en␣
jr001:006	7	(@)	-	minä␣
jr001:006	7	@	-	kykene␣
jr001:006	8	@	-	puhumaan
jr001:006	-	(,)	-	,␣
jr001:006	9	@	-	sillä␣
jr001:006	11	@	-	minä␣
jr001:006	-	(@)	-	olen␣
jr001:006	10	@	-	nuori
jr001:006	-	(.)	-	.
jr001:006	-	(@)	-	"␣
jr001:007	jr001:007	jr001:007	VERSE	Jer␣1:7␣
jr001:007	1a	@	-	Niin␣
jr001:007	2	@	-	Herra␣
jr001:007	1b	@	-	sanoi␣
jr001:007	3	@	-	minulle
jr001:007	-	(:)	-	:␣
