mk001:001	mk001:001	mk001:001	VERSE	Mk␣1:1␣
mk001:001	4	@	-	Jeesuksen␣
mk001:001	5a	@	-	Kristuksen
mk001:001	-	(,)	-	,␣
mk001:001	7a	@	-	Jumalan␣
mk001:001	6	@	-	Pojan
mk001:001	-	(,)	-	,␣
mk001:001	(2) 3	@	-	evankeliumin␣
mk001:001	1	@	-	alku
mk001:001	7b 7c	.	-	.␣
mk001:002	mk001:002	mk001:002	VERSE	Mk␣1:2␣
mk001:002	1	@	-	Niinkuin␣
mk001:002	2	(@)	-	on␣
mk001:002	2	@	-	kirjoitettuna␣
mk001:002	(6) 7a	@	-	profeetta␣
mk001:002	(4) 5	@	-	Esaiaan␣
mk001:002	3	%case	GEN	
mk001:002	(4) 5	(@)	-	kirjassa
mk001:002	7b	:	-	:␣
mk001:002	7b	@	-	"
mk001:002	8	@	-	Katso
mk001:002	-	(,)	-	,␣
mk001:002	9	(@)	-	minä␣
mk001:002	9	@	-	lähetän␣
mk001:002	(10) 11	@	-	enkelini␣
mk001:002	12	%pers	?	
mk001:002	15a	@	-	sinun␣
mk001:002	14	@	-	edelläsi
mk001:002	13	%case	LOC	
mk001:002	-	(,)	-	,␣
mk001:002	-	(@)	-	ja␣
mk001:002	16	@	-	hän␣
mk001:002	17	(@)	-	on␣
mk001:002	17	@	-	valmistava␣
mk001:002	20a	@	-	sinun␣
mk001:002	(18) 19	@	-	tiesi
mk001:002	20b	@	-	"
mk001:002	20b	.	-	.␣
mk001:003	mk001:003	mk001:003	VERSE	Mk␣1:3␣
mk001:003	-	(@)	-	"
mk001:003	2	@	-	Huutavan␣
mk001:003	1	@	-	ääni␣
mk001:003	-	(@)	-	kuuluu␣
mk001:003	(4) 5a	@	-	erämaassa
mk001:003	3	%case	LOC	
mk001:003	5b	:	-	:␣
mk001:003	5b	@	-	'
mk001:003	6	@	-	Valmistakaa␣
mk001:003	9a	@	-	Herralle␣
mk001:003	(7) 8	@	-	tie
mk001:003	9b	,	-	,␣
mk001:003	11	@	-	tehkää␣
mk001:003	(12) 13	@	-	polut␣
mk001:003	14a	@	-	hänelle␣
mk001:003	10	@	-	tasaisiksi
mk001:003	14b	@	-	'
mk001:003	14b	@	-	"
mk001:003	14b	,	-	,␣
mk001:004	mk001:004	mk001:004	VERSE	Mk␣1:4␣
mk001:004	1	@	-	niin␣
mk001:004	2a	@	-	Johannes␣
mk001:004	(3a) 4	@	-	Kastaja␣
mk001:004	9	@	-	saarnasi␣
mk001:004	(6) 7	@	-	erämaassa␣
mk001:004	5	%case	LOC	
mk001:004	(8)	-	UNTRANSLATED	
mk001:004	11	@	-	parannuksen␣
mk001:004	10	@	-	kastetta␣
mk001:004	14a	@	-	syntien␣
mk001:004	13	@	-	anteeksisaamiseksi
mk001:004	12	%case	TRA	
mk001:004	14b	.	-	.␣
mk001:005	mk001:005	mk001:005	VERSE	Mk␣1:5␣
mk001:005	1	@	-	Ja␣
mk001:005	5	@	-	koko␣
mk001:005	(6) 7	@	-	Juudean␣
mk001:005	8	@	-	maa␣
mk001:005	9	@	-	ja␣
mk001:005	12a	@	-	kaikki␣
mk001:005	(10) 11	@	-	jerusalemilaiset␣
mk001:005	2	@	-	vaelsivat␣
mk001:005	4	@	-	hänen␣
mk001:005	3	@	-	tykönsä
mk001:005	12b	,	-	,␣
mk001:005	13	@	-	ja␣
mk001:005	16	@	-	hän␣
mk001:005	15	%case	NOM	
mk001:005	14	@	-	kastoi␣
mk001:005	14	(@)	-	heidät␣
mk001:005	19	@	-	Jordanin␣
mk001:005	(18) 20	@	-	virrassa
mk001:005	17	%case	LOC	
mk001:005	-	(,)	-	,␣
mk001:005	21	(@)	-	kun␣
mk001:005	21	(@)	-	he␣
mk001:005	21	@	-	tunnustivat␣
mk001:005	(22) 23	@	-	syntinsä
mk001:005	24a	%pers	3	
mk001:005	24b	.	-	.␣
mk001:006	mk001:006	mk001:006	VERSE	Mk␣1:6␣
mk001:006	1	@	-	Ja␣
mk001:006	(3) 4	@	-	Johanneksella␣
mk001:006	2	@	-	oli␣
mk001:006	5	@	-	puku␣
mk001:006	6 7	@	-	kamelinkarvoista␣
mk001:006	8	@	-	ja␣
mk001:006	(12) 13	@	-	vyötäisillään␣
mk001:006	14	%pers	3	
mk001:006	11	%case	LOC	
mk001:006	10 9	@	-	nahkavyö
mk001:006	-	(;)	-	;␣
mk001:006	15	@	-	ja␣
mk001:006	16	(@)	-	hän␣
mk001:006	16	@	-	söi␣
mk001:006	17	@	-	heinäsirkkoja␣
mk001:006	18	@	-	ja␣
mk001:006	19 20a	@	-	metsähunajaa
mk001:006	20b	.	-	.␣
mk001:007	mk001:007	mk001:007	VERSE	Mk␣1:7␣
mk001:007	1	@	-	Ja␣
mk001:007	2	(@)	-	hän␣
mk001:007	2	@	-	saarnasi␣
mk001:007	3a	@	-	sanoen
mk001:007	3b	:	-	:␣
