ca001:001	ca001:001	ca001:001	VERSE	KV␣1:1␣
ca001:001	4b	@	-	Salomon␣
ca001:001	3 4a	%case	GEN	
ca001:001	1 (2a) 2b	@	-	korkea␣
ca001:001	1 (2a) 2b	@	-	veisu
ca001:001	-	(.)	-	.␣
ca001:002	ca001:002	ca001:002	VERSE	KV␣1:2␣
ca001:002	1	(@)	-	Hän␣
ca001:002	1	@	-	suudelkoon␣
ca001:002	pers%1	@	-	minua␣
ca001:002	3	@	-	suunsa␣
ca001:002	2b	@	-	suudelmilla
ca001:002	2a	%case	LOC	
ca001:002	-	(.)	-	.␣
ca001:002	4	@	-	Sillä␣
ca001:002	pers%6	@	-	sinun␣
ca001:002	6	@	-	rakkautesi␣
ca001:002	-	(@)	-	on␣
ca001:002	5	@	-	suloisempi␣
ca001:002	7a	@	-	kuin␣
ca001:002	7b	@	-	viini
ca001:002	-	(.)	-	.␣
ca001:003	ca001:003	ca001:003	VERSE	KV␣1:3␣
ca001:003	3	@	-	Suloinen␣
ca001:003	-	(@)	-	on␣
ca001:003	2	@	-	voiteittesi␣
ca001:003	1b	@	-	tuoksu
ca001:003	1a	%case	NOM	
ca001:003	-	(,)	-	,␣
ca001:003	5	@	-	vuodatettu␣
ca001:003	4	@	-	öljy␣
ca001:003	-	(@)	-	on␣
ca001:003	pers%6	@	-	sinun␣
ca001:003	6	@	-	nimesi
ca001:003	-	(;)	-	;␣
ca001:003	7 8	@	-	sentähden␣
ca001:003	pers%10	@	-	sinua␣
ca001:003	9	@	-	nuoret␣
ca001:003	9	@	-	naiset␣
ca001:003	10	@	-	rakastavat
ca001:003	-	(.)	-	.␣
ca001:004	ca001:004	ca001:004	VERSE	KV␣1:4␣
ca001:004	1	@	-	Vedä␣
ca001:004	pers%1	@	-	minut␣
ca001:004	2	@	-	mukaasi
ca001:004	-	(,)	-	,␣
ca001:004	3	@	-	rientäkäämme
ca001:004	-	(!)	-	!␣
ca001:004	(5a) 5b	@	-	Kuningas␣
ca001:004	4	(@)	-	on␣
ca001:004	4	@	-	tuonut␣
ca001:004	pers%4	@	-	minut␣
ca001:004	6	@	-	kammioihinsa
ca001:004	-	(.)	-	.␣
ca001:004	7	(@)	-	Me␣
ca001:004	7	@	-	riemuitsemme␣
ca001:004	8a	@	-	ja␣
ca001:004	8b	@	-	iloitsemme␣
ca001:004	9	@	-	sinusta
ca001:004	-	(,)	-	,␣
ca001:004	10	(@)	-	me␣
ca001:004	10	@	-	ylistämme␣
ca001:004	pers%11	@	-	sinun␣
ca001:004	11	@	-	rakkauttasi␣
ca001:004	12a	@	-	enemmän␣
ca001:004	12a	@	-	kuin␣
ca001:004	12b	@	-	viiniä
ca001:004	-	(;)	-	;␣
ca001:004	13	@	-	syystä␣
ca001:004	14	(@)	-	he␣
ca001:004	pers%14	@	-	sinua␣
ca001:004	14	@	-	rakastavat
ca001:004	-	(.)	-	.␣
ca001:005	ca001:005	ca001:005	VERSE	KV␣1:5␣
