nu001:001	nu001:001	nu001:001	VERSE	4Ms␣1:1␣
nu001:001	1a	@	-	Ja␣
nu001:001	2	@	-	Herra␣
nu001:001	1b	@	-	puhui␣
nu001:001	4	@	-	Moosekselle␣
nu001:001	3	%case	LOC	
nu001:001	6	@	-	Siinain␣
nu001:001	5b	@	-	erämaassa␣
nu001:001	5a	%case	LOC	
nu001:001	7b 8	@	-	ilmestysmajassa␣
nu001:001	7a	%case	LOC	
nu001:001	(11a) 11b	@	-	toisen␣
nu001:001	10b	@	-	kuukauden␣
nu001:001	10a	%case	GEN	
nu001:001	9b	@	-	ensimmäisenä␣
nu001:001	9a	%case	ESS	
nu001:001	sem%9b	@	-	päivänä
nu001:001	-	(,)	-	,␣
nu001:001	(13a) 13b	@	-	toisena␣
nu001:001	12b	@	-	vuotena␣
nu001:001	12a	%case	ESS	
nu001:001	-	(@)	-	siitä
nu001:001	-	(,)	-	,␣
nu001:001	14a	@	-	kun␣
nu001:001	pers%14b	@	-	he␣
nu001:001	14b	(@)	-	olivat␣
nu001:001	14b	@	-	lähteneet␣
nu001:001	16	@	-	Egyptin␣
nu001:001	15b	@	-	maasta
nu001:001	15a	%case	LOC	
nu001:001	-	(,)	-	,␣
nu001:001	17a 17b	@	-	sanoen
nu001:001	-	(:)	-	:␣
nu001:002	nu001:002	nu001:002	VERSE	4Ms␣1:2␣
