2s001:001	2s001:001	2s001:001	VERSE	2Sm␣1:1␣
2s001:001	(1a) (1b)	-	UNTRANSLATED	
2s001:001	4	@	-	Saulin␣
2s001:001	3	@	-	kuoleman␣
2s001:001	2	@	-	jälkeen
2s001:001	-	(,)	-	,␣
2s001:001	5a	@	-	kun␣
2s001:001	5b	@	-	Daavid
2s001:001	-	(,)	-	,␣
2s001:001	7b	@	-	voitettuaan␣
2s001:001	7a	%case	PTV	
2s001:001	(9a) 9b	@	-	amalekilaiset
2s001:001	8	%case	NOM	
2s001:001	-	(,)	-	,␣
2s001:001	6	(@)	-	oli␣
2s001:001	6	@	-	palannut␣
2s001:001	6	@	-	takaisin␣
2s001:001	10a	@	-	ja␣
2s001:001	10b	@	-	ollut␣
2s001:001	(11)	-	UNTRANSLATED	
2s001:001	12b	@	-	Siklagissa␣
2s001:001	12a	%case	LOC	
2s001:001	14	@	-	pari␣
2s001:001	13	@	-	päivää
2s001:001	-	(,)	-	,␣
2s001:002	2s001:002	2s001:002	VERSE	2Sm␣1:2␣
2s001:002	(1a) (1b)	-	UNTRANSLATED	
2s001:002	6	@	-	tuli␣
2s001:002	(3a) 3b	@	-	kolmantena␣
2s001:002	2b	@	-	päivänä␣
2s001:002	2a	%case	ESS	
2s001:002	(4a) (4b)	-	UNTRANSLATED	
2s001:002	-	(@)	-	eräs␣
2s001:002	5	@	-	mies␣
2s001:002	(8a) 8b	@	-	leiristä␣
2s001:002	7	%case	LOC	
2s001:002	10	@	-	Saulin␣
2s001:002	9b	@	-	luota
2s001:002	9a	%case	?	
2s001:002	(11a)	-	UNTRANSLATED	
2s001:002	-	(,)	-	,␣
2s001:002	11b	@	-	vaatteet␣
2s001:002	12	@	-	reväistyinä␣
2s001:002	13a	@	-	ja␣
2s001:002	13b	@	-	multaa␣
2s001:002	15	@	-	pään␣
2s001:002	14	@	-	päällä
2s001:002	-	(.)	-	.␣
2s001:002	16a	@	-	Ja␣
2s001:002	(16b)	-	UNTRANSLATED	
2s001:002	17b	@	-	tullessaan␣
2s001:002	17a	%case	LOC	
2s001:002	19	@	-	Daavidin␣
2s001:002	18	@	-	luo␣
2s001:002	(20a)	-	UNTRANSLATED	
2s001:002	20b	(@)	-	hän␣
2s001:002	20b	@	-	heittäytyi␣
2s001:002	21	@	-	maahan␣
2s001:002	22a	@	-	ja␣
2s001:002	22b	@	-	osoitti␣
2s001:002	22b	@	-	kunnioitusta
2s001:002	-	(.)	-	.␣
2s001:003	2s001:003	2s001:003	VERSE	2Sm␣1:3␣
2s001:003	(1a)	-	UNTRANSLATED	
2s001:003	3	@	-	Daavid␣
2s001:003	1b	@	-	kysyi␣
2s001:003	2	@	-	häneltä
2s001:003	-	(:)	-	:␣
2s001:003	-	(@)	-	"
2s001:003	4 5b	@	-	Mistä␣
2s001:003	5a	%case	LOC	
2s001:003	6	@	-	tulet
2s001:003	(7a)	-	UNTRANSLATED	
2s001:003	-	(?)	-	?
2s001:003	-	(@)	-	"␣
2s001:003	7b	(@)	-	Hän␣
2s001:003	7b	@	-	vastasi␣
2s001:003	8	@	-	hänelle
2s001:003	-	(:)	-	:␣
2s001:003	-	(@)	-	"
2s001:003	11	(@)	-	Minä␣
2s001:003	11	(@)	-	olen␣
2s001:003	11	@	-	päässyt␣
2s001:003	11	@	-	pakoon␣
2s001:003	10	@	-	Israelin␣
2s001:003	9b	@	-	leiristä
2s001:003	9a	%case	LOC	
2s001:003	-	(@)	-	"
2s001:003	-	(.)	-	.␣
2s001:004	2s001:004	2s001:004	VERSE	2Sm␣1:4␣
2s001:004	1a	@	-	Niin␣
2s001:004	3	@	-	Daavid␣
2s001:004	1b	@	-	sanoi␣
2s001:004	2	@	-	hänelle
2s001:004	-	(:)	-	:␣
2s001:004	-	(@)	-	"
2s001:004	4	@	-	Miten␣
2s001:004	5	@	-	on␣
2s001:004	(6a) 6b	@	-	asiat
2s001:004	-	(?)	-	?␣
2s001:004	7	@	-	Kerro␣
2s001:004	8	%inflection	ACT.IMP.2S	
2s001:004	9	@	-	minulle
2s001:004	(10a)	-	UNTRANSLATED	
2s001:004	-	(.)	-	.
2s001:004	-	(@)	-	"␣
2s001:004	10b	(@)	-	Hän␣
2s001:004	10b	@	-	vastasi
2s001:004	(11)	-	UNTRANSLATED	
2s001:004	-	(:)	-	:␣
2s001:004	-	(@)	-	"
2s001:004	(13a) 13b	@	-	Väki␣
2s001:004	12	(@)	-	on␣
2s001:004	12	@	-	paennut␣
2s001:004	(15a) 15b	@	-	taistelusta
2s001:004	14	%case	LOC	
2s001:004	(16a) (16b)	-	UNTRANSLATED	
2s001:004	-	(,)	-	,␣
2s001:004	17	@	-	paljon␣
2s001:004	(20a) 20b	@	-	väkeä␣
2s001:004	19	%case	PTV	
2s001:004	18	(@)	-	on␣
2s001:004	18	@	-	kaatunut␣
2s001:004	21a	@	-	ja␣
2s001:004	21b	@	-	kuollut
2s001:004	-	(;)	-	;␣
2s001:004	22b	@	-	myöskin␣
2s001:004	22a	%clitic	kin	
2s001:004	23	@	-	Saul␣
2s001:004	24a	@	-	ja␣
2s001:004	pers%25	@	-	hänen␣
2s001:004	25	@	-	poikansa␣
2s001:004	24b	@	-	Joonatan␣
2s001:004	26	(@)	-	ovat␣
2s001:004	26	@	-	kuolleet
2s001:004	-	(@)	-	"
2s001:004	-	(.)	-	.␣
