2t001:001	2t001:001	2t001:001	VERSE	2Tm␣1:1␣
2t001:001	1	@	-	Paavali
2t001:001	-	(,)	-	,␣
2t001:001	7	@	-	Jumalan␣
2t001:001	6	@	-	tahdosta␣
2t001:001	5	%case	LOC	
2t001:001	3	@	-	Kristuksen␣
2t001:001	4	@	-	Jeesuksen␣
2t001:001	2	@	-	apostoli
2t001:001	-	(,)	-	,␣
2t001:001	2	@	-	lähetetty␣
2t001:001	-	(@)	-	julistamaan␣
2t001:001	9	@	-	lupausta␣
2t001:001	8	%case	PTV	
2t001:001	-	(@)	-	siitä␣
2t001:001	10	@	-	elämästä
2t001:001	-	(,)	-	,␣
2t001:001	11	@	-	joka␣
2t001:001	-	(@)	-	on␣
2t001:001	13	@	-	Kristuksessa␣
2t001:001	14	@	-	Jeesuksessa
2t001:001	12	%case	LOC	
2t001:001	-	(,)	-	,␣
2t001:002	2t001:002	2t001:002	VERSE	2Tm␣1:2␣
2t001:002	2	@	-	rakkaalle␣
2t001:002	3a	@	-	pojalleni␣
2t001:002	1	@	-	Timoteukselle
2t001:002	3b	.	-	.␣
2t001:002	4	@	-	Armo
2t001:002	-	(,)	-	,␣
2t001:002	5	@	-	laupeus␣
2t001:002	-	(@)	-	ja␣
2t001:002	6	@	-	rauha␣
2t001:002	9	@	-	Isältä␣
2t001:002	8	@	-	Jumalalta␣
2t001:002	7	%case	LOC	
2t001:002	10	@	-	ja␣
2t001:002	11	@	-	Kristukselta␣
2t001:002	12	@	-	Jeesukselta
2t001:002	-	(,)	-	,␣
2t001:002	15a	@	-	meidän␣
2t001:002	(13) 14	@	-	Herraltamme
2t001:002	-	(!)	-	!␣
2t001:003	2t001:003	2t001:003	VERSE	2Tm␣1:3␣
2t001:003	1 2	(@)	-	Minä␣
2t001:003	1 2	@	-	kiitän␣
2t001:003	(3) 4a	@	-	Jumalaa
2t001:003	4b	,	-	,␣
2t001:003	5	@	-	jota␣
2t001:003	8	@	-	esivanhemmistani␣
2t001:003	7	@	-	asti␣
2t001:003	6	@	-	palvelen␣
2t001:003	10	@	-	puhtaalla␣
2t001:003	11a	@	-	omallatunnolla␣
2t001:003	9	%case	LOC	
2t001:003	11b	-	-	-␣
2t001:003	12	@	-	samoinkuin␣
2t001:003	14 (15) 18	(@)	-	minä␣
2t001:003	13	@	-	lakkaamatta␣
2t001:003	14 (15) 18	@	-	muistan␣
2t001:003	17	@	-	sinua␣
2t001:003	16	%case	PTV	
2t001:003	(20) 21	@	-	rukouksissani␣
2t001:003	22	%pers	?	
2t001:003	19	%case	LOC	
2t001:003	23	@	-	öin␣
2t001:003	24	@	-	ja␣
2t001:003	25a	@	-	päivin
2t001:003	25b	,	-	,␣
2t001:004	2t001:004	2t001:004	VERSE	2Tm␣1:4␣
2t001:004	1	@	-	haluten
2t001:004	-	(,)	-	,␣
2t001:004	4	@	-	muistaessani␣
2t001:004	(6) 7a	@	-	kyyneleitäsi
2t001:004	5	%pers	?	
2t001:004	-	(,)	-	,␣
