1c001:001	1c001:001	1c001:001	VERSE	1Kr␣1:1␣
1c001:001	1	@	-	Paavali
1c001:001	-	(,)	-	,␣
1c001:001	4	@	-	Kristuksen␣
1c001:001	5	@	-	Jeesuksen␣
1c001:001	2	@	-	kutsuttu␣
1c001:001	3	@	-	apostoli␣
1c001:001	8	@	-	Jumalan␣
1c001:001	7	@	-	tahdosta
1c001:001	6	%case	LOC	
1c001:001	-	(,)	-	,␣
1c001:001	9	@	-	ja␣
1c001:001	(11) 12	@	-	veli␣
1c001:001	10	@	-	Soostenes␣
1c001:002	1c001:002	1c001:002	VERSE	1Kr␣1:2␣
1c001:002	8a	@	-	Korintossa␣
1c001:002	7	%case	LOC	
1c001:002	(5) 6	@	-	olevalle␣
1c001:002	(3) 4	@	-	Jumalan␣
1c001:002	(1) 2	@	-	seurakunnalle
1c001:002	8b	,	-	,␣
1c001:002	11	@	-	Kristuksessa␣
1c001:002	12a	@	-	Jeesuksessa␣
1c001:002	10	%case	LOC	
1c001:002	9	@	-	pyhitetyille
1c001:002	12b	,	-	,␣
1c001:002	13	(@)	-	jotka␣
1c001:002	13	(@)	-	ovat␣
1c001:002	13	@	-	kutsutut␣
1c001:002	-	(@)	-	ja␣
1c001:002	14a	@	-	pyhät
1c001:002	14b	,	-	,␣
1c001:002	15	@	-	ynnä␣
1c001:002	16	@	-	kaikille
1c001:002	-	(,)	-	,␣
1c001:002	17	@	-	jotka␣
1c001:002	18	@	-	avuksi␣
1c001:002	18	@	-	huutavat␣
1c001:002	23	@	-	meidän␣
1c001:002	(21) 22	@	-	Herramme␣
1c001:002	24	@	-	Jeesuksen␣
1c001:002	25	@	-	Kristuksen␣
1c001:002	(19) 20	@	-	nimeä␣
1c001:002	27	@	-	kaikissa␣
1c001:002	28a	@	-	paikkakunnissa
1c001:002	26	%case	LOC	
1c001:002	28b	,	-	,␣
1c001:002	30	@	-	niin␣
1c001:002	29	@	-	omissaan␣
1c001:002	30	@	-	kuin␣
1c001:002	31a	@	-	meidänkin
1c001:002	31b	.	-	.␣
1c001:003	1c001:003	1c001:003	VERSE	1Kr␣1:3␣
1c001:003	1	@	-	Armo␣
1c001:003	2	@	-	teille␣
1c001:003	3	@	-	ja␣
1c001:003	4	@	-	rauha␣
1c001:003	6	@	-	Jumalalta
1c001:003	5	%case	LOC	
1c001:003	-	(,)	-	,␣
1c001:003	8	@	-	meidän␣
1c001:003	7	@	-	Isältämme
1c001:003	-	(,)	-	,␣
1c001:003	9	@	-	ja␣
1c001:003	10	@	-	Herralta␣
1c001:003	11	@	-	Jeesukselta␣
1c001:003	12a	@	-	Kristukselta
1c001:003	-	(!)	-	!␣
1c001:004	1c001:004	1c001:004	VERSE	1Kr␣1:4␣
1c001:004	1	(@)	-	Minä␣
1c001:004	1	@	-	kiitän␣
1c001:004	(2) 3	@	-	Jumalaani␣
1c001:004	4	%pers	?	
1c001:004	5	@	-	aina␣
1c001:004	7	@	-	teidän␣
1c001:004	6	@	-	tähtenne␣
1c001:004	9	@	-	siitä␣
1c001:004	(11) 12	@	-	Jumalan␣
