ne001:001	ne001:001	ne001:001	VERSE	Neh␣1:1␣
ne001:001	2	@	-	Nehemian
ne001:001	-	(,)	-	,␣
ne001:001	4	@	-	Hakaljan␣
ne001:001	3	@	-	pojan
ne001:001	-	(,)	-	,␣
ne001:001	1	@	-	kertomus
ne001:001	(5a) (5b)	-	UNTRANSLATED	
ne001:001	-	(.)	-	.␣
ne001:001	6b 7	@	-	Kislev-kuussa
ne001:001	6a	%case	LOC	
ne001:001	-	(,)	-	,␣
ne001:001	10	@	-	kahdentenakymmenentenä␣
ne001:001	9	@	-	vuotena
ne001:001	-	(,)	-	,␣
ne001:001	11b	@	-	minun␣
ne001:001	12	@	-	ollessani␣
ne001:001	11a	%inflection	COP.ACT.INF2.INE.-1	
ne001:001	13b	@	-	Suusanin␣
ne001:001	13a	%case	GEN	
ne001:001	(14a) 14b	@	-	linnassa
ne001:001	-	(,)	-	,␣
ne001:002	ne001:002	ne001:002	VERSE	Neh␣1:2␣
ne001:002	(1a)	-	UNTRANSLATED	
ne001:002	1b	@	-	tuli␣
ne001:002	2	@	-	Hanani
ne001:002	-	(,)	-	,␣
ne001:002	3	@	-	eräs␣
ne001:002	pers%4b	@	-	minun␣
ne001:002	4b	@	-	veljistäni
ne001:002	4a	%case	LOC	
ne001:002	(5)	-	UNTRANSLATED	
ne001:002	-	(,)	-	,␣
ne001:002	6a	@	-	ja␣
ne001:002	-	(@)	-	muita␣
ne001:002	6b	@	-	miehiä␣
ne001:002	7b	@	-	Juudasta
ne001:002	7a	%case	LOC	
ne001:002	-	(.)	-	.␣
ne001:002	8a	@	-	Ja␣
ne001:002	8b	(@)	-	minä␣
ne001:002	8b	@	-	kyselin␣
ne001:002	pers%8b	@	-	heiltä␣
ne001:002	(10a) 10b	@	-	juutalaisista
ne001:002	9	%case	LOC	
ne001:002	-	(,)	-	,␣
ne001:002	11a	@	-	siitä␣
ne001:002	11b	@	-	pelastuneesta␣
ne001:002	11b	@	-	joukosta
ne001:002	-	(,)	-	,␣
ne001:002	12	@	-	joka␣
ne001:002	(15a) 15b	@	-	vankeudesta␣
ne001:002	14	%case	LOC	
ne001:002	-	(@)	-	palanneena␣
ne001:002	13	@	-	oli␣
ne001:002	13	@	-	jäljellä
ne001:002	-	(,)	-	,␣
ne001:002	16a	@	-	ja␣
ne001:002	17	@	-	Jerusalemista
ne001:002	16b	%case	LOC	
ne001:002	-	(.)	-	.␣
ne001:003	ne001:003	ne001:003	VERSE	Neh␣1:3␣
ne001:003	1a	@	-	Ja␣
ne001:003	1b	(@)	-	he␣
ne001:003	1b	@	-	sanoivat␣
ne001:003	2	@	-	minulle
ne001:003	(3a) (3b)	-	UNTRANSLATED	
ne001:003	-	(:)	-	:␣
ne001:003	-	(@)	-	"
ne001:003	4	@	-	Jotka␣
ne001:003	(7a) 7b	@	-	vankeudesta␣
ne001:003	6	%case	LOC	
ne001:003	-	(@)	-	palanneina␣
ne001:003	5	@	-	ovat␣
ne001:003	5	@	-	jäljellä␣
ne001:003	8	@	-	siinä␣
ne001:003	9b	@	-	maakunnassa
ne001:003	9a	%case	LOC	
ne001:003	-	(,)	-	,␣
ne001:003	-	(@)	-	ne␣
ne001:003	-	(@)	-	ovat␣
ne001:003	11	@	-	suuressa␣
ne001:003	10b	@	-	kurjuudessa␣
ne001:003	10a	%case	LOC	
ne001:003	12a	@	-	ja␣
ne001:003	12c	@	-	häväistyksen␣
ne001:003	12b	@	-	alaisina
ne001:003	-	(;)	-	;␣
ne001:003	13a	@	-	ja␣
ne001:003	14	@	-	Jerusalemin␣
ne001:003	13b	@	-	muuri␣
ne001:003	15	(@)	-	on␣
ne001:003	15	@	-	revitty␣
ne001:003	15	@	-	maahan
ne001:003	-	(,)	-	,␣
ne001:003	16a	@	-	ja␣
ne001:003	pers%16b	@	-	sen␣
ne001:003	16b	@	-	portit␣
ne001:003	17	(@)	-	ovat␣
ne001:003	18b	@	-	tulella␣
ne001:003	18a	%case	LOC	
ne001:003	17	@	-	poltetut
ne001:003	-	(@)	-	"
ne001:003	-	(.)	-	.␣
ne001:004	ne001:004	ne001:004	VERSE	Neh␣1:4␣
ne001:004	(1a) (1b)	-	UNTRANSLATED	
ne001:004	(4a) 4b (5a) 5b	@	-	Tämän␣
ne001:004	3	%case	GEN	
ne001:004	2b	@	-	kuultuani␣
ne001:004	2a	%inflection	PSS.PCP2.-1.TEMP	
ne001:004	6	(@)	-	minä␣
ne001:004	6	@	-	istuin␣
ne001:004	9	@	-	monta␣
ne001:004	9	@	-	päivää␣
ne001:004	7b	@	-	itkien␣
ne001:004	7a	%inflection	ACT.INF2.MAN	
ne001:004	8a	@	-	ja␣
ne001:004	8b	@	-	murehtien
ne001:004	-	(,)	-	,␣
ne001:004	10a	@	-	ja␣
ne001:004	pers%10b	@	-	minä␣
ne001:004	11	@	-	paastosin␣
ne001:004	10b	%case	?	
ne001:004	12a	@	-	ja␣
ne001:004	12b	@	-	rukoilin␣
ne001:004	(15a) 15b	@	-	taivaan␣
ne001:004	14	@	-	Jumalan␣
ne001:004	13a 13b	@	-	edessä
ne001:004	-	(.)	-	.␣
ne001:005	ne001:005	ne001:005	VERSE	Neh␣1:5␣
ne001:005	(1a)	-	UNTRANSLATED	
ne001:005	1b	(@)	-	Minä␣
ne001:005	1b	@	-	sanoin
ne001:005	-	(:)	-	:␣
