2p001:001	2p001:001	2p001:001	VERSE	2Pt␣1:1␣
2p001:001	1	@	-	Simeon␣
2p001:001	2	@	-	Pietari
2p001:001	-	(,)	-	,␣
2p001:001	6	@	-	Jeesuksen␣
2p001:001	7	@	-	Kristuksen␣
2p001:001	3	@	-	palvelija␣
2p001:001	4	@	-	ja␣
2p001:001	5	@	-	apostoli
2p001:001	-	(,)	-	,␣
2p001:001	8	@	-	niille
2p001:001	-	(,)	-	,␣
2p001:001	8	@	-	jotka␣
2p001:001	11	(@)	-	ovat␣
2p001:001	11	@	-	saaneet␣
2p001:001	9	@	-	yhtä␣
2p001:001	9	@	-	kalliin␣
2p001:001	12	@	-	uskon␣
2p001:001	9	@	-	kuin␣
2p001:001	10	@	-	mekin␣
2p001:001	17	@	-	meidän␣
2p001:001	(15) 16	@	-	Jumalamme␣
2p001:001	18	@	-	ja␣
2p001:001	19	@	-	Vapahtajan␣
2p001:001	20	@	-	Jeesuksen␣
2p001:001	21a	@	-	Kristuksen␣
2p001:001	14	@	-	vanhurskaudessa
2p001:001	13	%case	LOC	
2p001:001	21b	.	-	.␣
2p001:002	2p001:002	2p001:002	VERSE	2Pt␣1:2␣
2p001:002	1	@	-	Armo␣
2p001:002	3	@	-	ja␣
2p001:002	4	@	-	rauha␣
2p001:002	5	@	-	lisääntyköön␣
2p001:002	2	@	-	teille␣
2p001:002	(8) 9	@	-	Jumalan␣
2p001:002	10	@	-	ja␣
2p001:002	14a	@	-	meidän␣
2p001:002	(12) 13	@	-	Herramme␣
2p001:002	11	@	-	Jeesuksen␣
2p001:002	7	@	-	tuntemisen␣
2p001:002	6	@	-	kautta
2p001:002	14b	.	-	.␣
2p001:003	2p001:003	2p001:003	VERSE	2Pt␣1:3␣
2p001:003	1	@	-	Koska␣
2p001:003	7	@	-	hänen␣
2p001:003	5	@	-	jumalallinen␣
2p001:003	(4) 6	@	-	voimansa␣
2p001:003	13	(@)	-	on␣
2p001:003	13	@	-	lahjoittanut␣
2p001:003	3	@	-	meille␣
2p001:003	2	@	-	kaiken
2p001:003	-	(,)	-	,␣
2p001:003	8	@	-	mikä␣
2p001:003	10	@	-	elämään␣
2p001:003	11	@	-	ja␣
2p001:003	12	@	-	jumalisuuteen␣
2p001:003	pro%9	@	-	tarvitaan
2p001:003	-	(,)	-	,␣
2p001:003	17	@	-	hänen␣
2p001:003	(15) 16	@	-	tuntemisensa␣
2p001:003	14	@	-	kautta
2p001:003	-	(,)	-	,␣
2p001:003	17	@	-	joka␣
2p001:003	18	(@)	-	on␣
2p001:003	18	@	-	kutsunut␣
2p001:003	19	@	-	meidät␣
2p001:003	21	@	-	kirkkaudellaan␣
2p001:003	20	%pers	3	
2p001:003	22	@	-	ja␣
2p001:003	23a	@	-	täydellisyydellään
2p001:003	23b	,	-	,␣
2p001:004	2p001:004	2p001:004	VERSE	2Pt␣1:4␣
2p001:004	2	@	-	joiden␣
2p001:004	1	@	-	kautta␣
2p001:004	9a	(@)	-	hän␣
2p001:004	9a	(@)	-	on␣
2p001:004	9a	@	-	lahjoittanut␣
2p001:004	7	@	-	meille␣
2p001:004	4	@	-	kalliit␣
2p001:004	5	@	-	ja␣
2p001:004	6	@	-	mitä␣
2p001:004	6	@	-	suurimmat␣
2p001:004	(3) 8	@	-	lupaukset
2p001:004	9b	,	-	,␣
2p001:004	10	@	-	että␣
2p001:004	13	(@)	-	te␣
2p001:004	12	@	-	niiden␣
2p001:004	11	@	-	kautta␣
2p001:004	13	@	-	tulisitte␣
2p001:004	14	@	-	jumalallisesta␣
2p001:004	16	@	-	luonnosta␣
2p001:004	15	@	-	osallisiksi␣
2p001:004	-	(@)	-	ja␣
2p001:004	17	@	-	pelastuisitte␣
2p001:004	18	@	-	siitä␣
2p001:004	24a	@	-	turmeluksesta
2p001:004	-	(,)	-	,␣
2p001:004	18	@	-	joka␣
2p001:004	(20) 21	@	-	maailmassa␣
2p001:004	19	%case	LOC	
2p001:004	23	@	-	himojen␣
2p001:004	22	@	-	tähden␣
2p001:004	-	(@)	-	vallitsee
2p001:004	24b	,	-	,␣
2p001:005	2p001:005	2p001:005	VERSE	2Pt␣1:5␣
2p001:005	1	@	-	niin␣
2p001:005	7	@	-	pyrkikää␣
2p001:005	2	@	-	juuri␣
2p001:005	3	@	-	sentähden␣
2p001:005	(4)	-	UNTRANSLATED	
2p001:005	6	@	-	kaikella␣
2p001:005	5	@	-	ahkeruudella␣
2p001:005	8	@	-	osoittamaan␣
2p001:005	(10) 11	@	-	uskossanne␣
2p001:005	12	%pers	?	
2p001:005	9	%case	LOC	
2p001:005	(13) 14a	@	-	avuja
2p001:005	14b	,	-	,␣
2p001:005	(17) 18	@	-	avuissa␣
2p001:005	15	%case	LOC	
2p001:005	(16)	-	UNTRANSLATED	
2p001:005	(19) 20a	@	-	ymmärtäväisyyttä
2p001:005	20b	,	-	,␣
2p001:006	2p001:006	2p001:006	VERSE	2Pt␣1:6␣
2p001:006	(3) 4	@	-	ymmärtäväisyydessä␣
2p001:006	1	%case	LOC	
2p001:006	(2)	-	UNTRANSLATED	
2p001:006	(5) 6a	@	-	itsenne␣
2p001:006	(5) 6a	@	-	hillitsemistä
2p001:006	6b	,	-	,␣
2p001:006	10 (9)	@	-	itsenne␣
2p001:006	10 (9)	@	-	hillitsemisessä␣
2p001:006	7	%case	LOC	
2p001:006	(8)	-	UNTRANSLATED	
2p001:006	(11) 12a	@	-	kärsivällisyyttä
2p001:006	12b	,	-	,␣
2p001:006	(15) 16	@	-	kärsivällisyydessä␣
2p001:006	13	%case	LOC	
2p001:006	(14)	-	UNTRANSLATED	
2p001:006	(17) 18a	@	-	jumalisuutta
2p001:006	18b	,	-	,␣
2p001:007	2p001:007	2p001:007	VERSE	2Pt␣1:7␣
2p001:007	(3) 4	@	-	jumalisuudessa␣
2p001:007	1	%case	LOC	
2p001:007	(2)	-	UNTRANSLATED	
2p001:007	(5) 6a	@	-	veljellistä␣
2p001:007	(5) 6a	@	-	rakkautta
2p001:007	6b	,	-	,␣
2p001:007	10 (9)	@	-	veljellisessä␣
2p001:007	10 (9)	@	-	rakkaudessa␣
2p001:007	7	%case	LOC	
2p001:007	(8)	-	UNTRANSLATED	
2p001:007	-	(@)	-	yhteistä␣
2p001:007	(11) 12a	@	-	rakkautta
2p001:007	12b	.	-	.␣
2p001:008	2p001:008	2p001:008	VERSE	2Pt␣1:8␣
2p001:008	2	@	-	Sillä␣
2p001:008	-	(@)	-	jos␣
2p001:008	3	@	-	teillä␣
2p001:008	4	@	-	on␣
2p001:008	1	@	-	nämä␣
2p001:008	5	@	-	ja␣
2p001:008	6	(@)	-	ne␣
2p001:008	6	@	-	yhä␣
2p001:008	6	@	-	enenevät
2p001:008	-	(,)	-	,␣
2p001:008	-	(@)	-	niin␣
2p001:008	-	(@)	-	ne␣
2p001:008	7	@	-	eivät␣
2p001:008	11	(@)	-	salli␣
2p001:008	-	(@)	-	teidän␣
2p001:008	11	@	-	olla␣
2p001:008	8	@	-	toimettomia␣
2p001:008	9	@	-	eikä␣
2p001:008	10	@	-	hedelmättömiä␣
2p001:008	16	@	-	meidän␣
2p001:008	(14) 15	@	-	Herramme␣
2p001:008	17	@	-	Jeesuksen␣
2p001:008	18	@	-	Kristuksen␣
2p001:008	(13) 19a	@	-	tuntemisessa
2p001:008	12	%case	LOC	
2p001:008	19b	.	-	.␣
2p001:009	2p001:009	2p001:009	VERSE	2Pt␣1:9␣
2p001:009	1	@	-	Jolla␣
2p001:009	2	@	-	sitävastoin␣
2p001:009	3	@	-	ei␣
2p001:009	5a	@	-	niitä␣
2p001:009	4	@	-	ole
2p001:009	-	(,)	-	,␣
2p001:009	7	(@)	-	se␣
2p001:009	7	@	-	on␣
2p001:009	6	@	-	sokea
2p001:009	-	(,)	-	,␣
2p001:009	8a	@	-	likinäköinen
2p001:009	8b	,	-	,␣
2p001:009	10 9	(@)	-	on␣
2p001:009	10 9	@	-	unhottanut␣
2p001:009	(11) 12	@	-	puhdistuneensa␣
2p001:009	14	@	-	entisistä␣
2p001:009	(13) 16a	@	-	synneistänsä
2p001:009	15	%pers	3	
2p001:009	16b	.	-	.␣
2p001:010	2p001:010	2p001:010	VERSE	2Pt␣1:10␣
2p001:010	4	@	-	Pyrkikää␣
2p001:010	1	@	-	sentähden
2p001:010	-	(,)	-	,␣
2p001:010	3a	@	-	veljet
2p001:010	-	(,)	-	,␣
2p001:010	2a	@	-	sitä␣
2p001:010	2a	@	-	enemmän␣
2p001:010	11a	@	-	tekemään␣
2p001:010	(7) 8	@	-	kutsumisenne␣
2p001:010	6	%pers	?	
2p001:010	9	@	-	ja␣
2p001:010	10	@	-	valitsemisenne␣
2p001:010	5	@	-	lujaksi
2p001:010	11b	;	-	;␣
2p001:010	13	@	-	sillä␣
2p001:010	-	(@)	-	jos␣
2p001:010	12	@	-	sen␣
2p001:010	14	@	-	teette
2p001:010	-	(,)	-	,␣
2p001:010	15 16	@	-	ette␣
2p001:010	18a	@	-	koskaan␣
2p001:010	17	@	-	lankea
2p001:010	18b	;	-	;␣
2p001:011	2p001:011	2p001:011	VERSE	2Pt␣1:11␣
2p001:011	2	@	-	sillä␣
2p001:011	1	@	-	näin␣
2p001:011	5	@	-	teille␣
2p001:011	3	@	-	runsain␣
