on001:001	on001:001	on001:001	VERSE	Jna␣1:1␣
on001:001	(1a)	-	UNTRANSLATED	
on001:001	5	@	-	Joonalle
on001:001	4	%case	LOC	
on001:001	-	(,)	-	,␣
on001:001	7	@	-	Amittain␣
on001:001	6	@	-	pojalle
on001:001	-	(,)	-	,␣
on001:001	1b	@	-	tuli␣
on001:001	8a 8b	@	-	tämä␣
on001:001	3	@	-	Herran␣
on001:001	2	@	-	sana
on001:001	-	(:)	-	:␣
on001:002	on001:002	on001:002	VERSE	Jna␣1:2␣
on001:002	-	(@)	-	"
on001:002	1	@	-	Nouse
on001:002	-	(,)	-	,␣
on001:002	2	@	-	mene␣
on001:002	4	@	-	Niiniveen
on001:002	3	%case	LOC	
on001:002	-	(,)	-	,␣
on001:002	5a	@	-	siihen␣
on001:002	(6a) 6b	@	-	suureen␣
on001:002	5b	@	-	kaupunkiin
on001:002	-	(,)	-	,␣
on001:002	7a	@	-	ja␣
on001:002	7b	@	-	saarnaa␣
on001:002	pers%8	@	-	sitä␣
on001:002	8	@	-	vastaan
on001:002	-	(;)	-	;␣
on001:002	9	@	-	sillä␣
on001:002	pers%11	@	-	heidän␣
on001:002	11	@	-	pahuutensa␣
on001:002	10	(@)	-	on␣
on001:002	10	@	-	noussut␣
on001:002	pers%12b	@	-	minun␣
on001:002	12b	@	-	kasvojeni␣
on001:002	12a	@	-	eteen
on001:002	-	(@)	-	"
on001:002	-	(.)	-	.␣
on001:003	on001:003	on001:003	VERSE	Jna␣1:3␣
on001:003	1a	@	-	Mutta␣
on001:003	2	@	-	Joona␣
on001:003	1b	@	-	nousi␣
on001:003	3b	@	-	paetaksensa␣
on001:003	3a	%case	TRA	
on001:003	4	@	-	Tarsiiseen␣
on001:003	6	@	-	Herran␣
on001:003	5c	@	-	kasvojen␣
on001:003	5b	@	-	edestä␣
on001:003	5a	%case	LOC	
on001:003	7a	@	-	ja␣
on001:003	7b	@	-	meni␣
on001:003	7b	@	-	alas␣
on001:003	8	@	-	Jaafoon␣
on001:003	9a	@	-	ja␣
on001:003	9b	@	-	löysi␣
on001:003	10	@	-	laivan
on001:003	-	(,)	-	,␣
on001:003	-	(@)	-	joka␣
on001:003	11	(@)	-	oli␣
on001:003	11	@	-	lähtevä␣
on001:003	12	@	-	Tarsiiseen
on001:003	-	(.)	-	.␣
on001:003	13a	@	-	Ja␣
on001:003	13b	(@)	-	hän␣
on001:003	13b	@	-	suoritti␣
on001:003	14	@	-	laivamaksun␣
on001:003	15a	@	-	ja␣
on001:003	15b	@	-	astui␣
on001:003	16	@	-	siihen␣
on001:003	17b	@	-	mennäkseen␣
on001:003	17a	%case	TRA	
on001:003	pers%18	@	-	heidän␣
on001:003	18	@	-	kanssansa␣
on001:003	19	@	-	Tarsiiseen
on001:003	-	(,)	-	,␣
on001:003	20a	@	-	pois␣
on001:003	21	@	-	Herran␣
on001:003	20c	@	-	kasvojen␣
on001:003	20b	@	-	edestä
on001:003	-	(.)	-	.␣
on001:004	on001:004	on001:004	VERSE	Jna␣1:4␣
on001:004	1a	@	-	Mutta␣
on001:004	1b	@	-	Herra␣
on001:004	2	@	-	heitti␣
on001:004	4	@	-	suuren␣
on001:004	3	@	-	tuulen␣
on001:004	(6a) 6b	@	-	merelle
on001:004	5	%case	LOC	
on001:004	-	(,)	-	,␣
on001:004	7a	@	-	niin␣
on001:004	7a	@	-	että␣
on001:004	10b	@	-	merellä␣
on001:004	10a	%case	LOC	
on001:004	7b	@	-	nousi␣
on001:004	9	@	-	suuri␣
on001:004	8	@	-	myrsky␣
on001:004	11a	@	-	ja␣
on001:004	(11b) 11c	@	-	laiva␣
on001:004	13b	(@)	-	oli␣
on001:004	13b	@	-	särkymäisillään
on001:004	12 13a	%case	?	
on001:004	-	(.)	-	.␣
on001:005	on001:005	on001:005	VERSE	Jna␣1:5␣
on001:005	1a	@	-	Niin␣
on001:005	(2a) 2b	@	-	merimiehet␣
on001:005	1b	@	-	pelkäsivät␣
on001:005	3a	@	-	ja␣
