1x001:001	1x001:001	1x001:001	VERSE	1Ak␣1:1␣
1x001:001	1	@	-	Aadam
1x001:001	-	(,)	-	,␣
1x001:001	2	@	-	Seet
1x001:001	-	(,)	-	,␣
1x001:001	3	@	-	Enos
1x001:001	-	(,)	-	,␣
1x001:002	1x001:002	1x001:002	VERSE	1Ak␣1:2␣
1x001:002	1	@	-	Keenan
1x001:002	-	(,)	-	,␣
1x001:002	2	@	-	Mahalalel
1x001:002	-	(,)	-	,␣
1x001:002	3	@	-	Jered
1x001:002	-	(,)	-	,␣
1x001:003	1x001:003	1x001:003	VERSE	1Ak␣1:3␣
1x001:003	1	@	-	Hanok
1x001:003	-	(,)	-	,␣
1x001:003	2	@	-	Metusalah
1x001:003	-	(,)	-	,␣
1x001:003	3	@	-	Lemek
1x001:003	-	(,)	-	,␣
1x001:004	1x001:004	1x001:004	VERSE	1Ak␣1:4␣
1x001:004	1	@	-	Nooa
1x001:004	-	(,)	-	,␣
1x001:004	2	@	-	Seem
1x001:004	-	(,)	-	,␣
1x001:004	3	@	-	Haam␣
1x001:004	4a	@	-	ja␣
1x001:004	4b	@	-	Jaafet
1x001:004	-	(.)	-	.␣
1x001:005	1x001:005	1x001:005	VERSE	1Ak␣1:5␣
1x001:005	2	@	-	Jaafetin␣
1x001:005	1	@	-	pojat␣
1x001:005	-	(@)	-	olivat␣
1x001:005	3	@	-	Goomer
1x001:005	(4a)	-	UNTRANSLATED	
1x001:005	-	(,)	-	,␣
1x001:005	4b	@	-	Maagog
1x001:005	(5a)	-	UNTRANSLATED	
1x001:005	-	(,)	-	,␣
1x001:005	5b	@	-	Maadai
1x001:005	(6a)	-	UNTRANSLATED	
1x001:005	-	(,)	-	,␣
1x001:005	6b	@	-	Jaavan
1x001:005	(7a)	-	UNTRANSLATED	
1x001:005	-	(,)	-	,␣
1x001:005	7b	@	-	Tuubal
1x001:005	(8a)	-	UNTRANSLATED	
1x001:005	-	(,)	-	,␣
1x001:005	8b	@	-	Mesek␣
1x001:005	9a	@	-	ja␣
1x001:005	9b	@	-	Tiiras
1x001:005	-	(.)	-	.␣
1x001:006	1x001:006	1x001:006	VERSE	1Ak␣1:6␣
1x001:006	1a	@	-	Ja␣
1x001:006	2	@	-	Goomerin␣
1x001:006	1b	@	-	pojat␣
1x001:006	-	(@)	-	olivat␣
1x001:006	3	@	-	Askenas
1x001:006	(4a)	-	UNTRANSLATED	
1x001:006	-	(,)	-	,␣
1x001:006	4b	@	-	Diifat␣
1x001:006	5a	@	-	ja␣
1x001:006	5b	@	-	Toogarma
1x001:006	-	(.)	-	.␣
1x001:007	1x001:007	1x001:007	VERSE	1Ak␣1:7␣
1x001:007	1a	@	-	Ja␣
1x001:007	2	@	-	Jaavanin␣
1x001:007	1b	@	-	pojat␣
1x001:007	-	(@)	-	olivat␣
1x001:007	3	@	-	Elisa␣
1x001:007	4a	@	-	ja␣
1x001:007	4b	@	-	Tarsisa
1x001:007	-	(,)	-	,␣
1x001:007	5	@	-	kittiläiset␣
1x001:007	6a	@	-	ja␣
1x001:007	6b	@	-	roodanilaiset
1x001:007	-	(.)	-	.␣
1x001:008	1x001:008	1x001:008	VERSE	1Ak␣1:8␣
1x001:008	2	@	-	Haamin␣
1x001:008	1	@	-	pojat␣
1x001:008	-	(@)	-	olivat␣
1x001:008	3	@	-	Kuus
1x001:008	(4a)	-	UNTRANSLATED	
1x001:008	-	(,)	-	,␣
1x001:008	4b	@	-	Misraim
1x001:008	-	(,)	-	,␣
1x001:008	5	@	-	Puut␣
1x001:008	6a	@	-	ja␣
1x001:008	6b	@	-	Kanaan
1x001:008	-	(.)	-	.␣
1x001:009	1x001:009	1x001:009	VERSE	1Ak␣1:9␣
1x001:009	1a	@	-	Ja␣
1x001:009	2	@	-	Kuusin␣
1x001:009	1b	@	-	pojat␣
1x001:009	-	(@)	-	olivat␣
1x001:009	3	@	-	Seba
1x001:009	(4a)	-	UNTRANSLATED	
1x001:009	-	(,)	-	,␣
1x001:009	4b	@	-	Havila
1x001:009	(5a)	-	UNTRANSLATED	
1x001:009	-	(,)	-	,␣
1x001:009	5b	@	-	Sabta
1x001:009	(6a)	-	UNTRANSLATED	
1x001:009	-	(,)	-	,␣
1x001:009	6b	@	-	Raema␣
1x001:009	7a	@	-	ja␣
1x001:009	7b	@	-	Sabteka
1x001:009	-	(.)	-	.␣
1x001:009	8a	@	-	Ja␣
1x001:009	9	@	-	Raeman␣
1x001:009	8b	@	-	pojat␣
1x001:009	-	(@)	-	olivat␣
1x001:009	10	@	-	Saba␣
1x001:009	11a	@	-	ja␣
1x001:009	11b	@	-	Dedan
1x001:009	-	(.)	-	.␣
1x001:010	1x001:010	1x001:010	VERSE	1Ak␣1:10␣
1x001:010	1a	@	-	Ja␣
1x001:010	1b	@	-	Kuusille␣
1x001:010	2	@	-	syntyi␣
1x001:010	4	@	-	Nimrod
1x001:010	3	%case	NOM	
1x001:010	-	(;)	-	;␣
1x001:010	5	@	-	hän␣
1x001:010	7b	@	-	oli␣
1x001:010	7a	%case	?	
1x001:010	6	@	-	ensimmäinen␣
1x001:010	8	@	-	valtias␣
1x001:010	9b	@	-	maan␣
1x001:010	9a	@	-	päällä
1x001:010	-	(.)	-	.␣
1x001:011	1x001:011	1x001:011	VERSE	1Ak␣1:11␣
1x001:011	1a	@	-	Ja␣
1x001:011	1b	@	-	Misraimille␣
1x001:011	2	@	-	syntyivät␣
1x001:011	5	@	-	luudilaiset
1x001:011	3	%case	NOM	
1x001:011	(6a)	-	UNTRANSLATED	
1x001:011	-	(,)	-	,␣
1x001:011	7	@	-	anamilaiset
1x001:011	6b	%case	NOM	
1x001:011	(8a)	-	UNTRANSLATED	
1x001:011	-	(,)	-	,␣
1x001:011	9	@	-	lehabilaiset
1x001:011	8b	%case	NOM	
1x001:011	(10a)	-	UNTRANSLATED	
1x001:011	-	(,)	-	,␣
1x001:011	11	@	-	naftuhilaiset
1x001:011	10b	%case	NOM	
1x001:011	-	(,)	-	,␣
1x001:012	1x001:012	1x001:012	VERSE	1Ak␣1:12␣
1x001:012	(1a)	-	UNTRANSLATED	
1x001:012	2	@	-	patrokselaiset␣
1x001:012	1b	%case	NOM	
1x001:012	3a	@	-	ja␣
1x001:012	4	@	-	kasluhilaiset
1x001:012	3b	%case	NOM	
1x001:012	-	(,)	-	,␣
1x001:012	5	@	-	joista␣
1x001:012	7a 7b	%case	LOC	
1x001:012	8	@	-	filistealaiset␣
1x001:012	6	(@)	-	ovat␣
1x001:012	6	@	-	lähteneet
1x001:012	-	(,)	-	,␣
1x001:012	9a	@	-	sekä␣
1x001:012	10	@	-	kaftorilaiset
1x001:012	9b	%case	NOM	
1x001:012	-	(.)	-	.␣
1x001:013	1x001:013	1x001:013	VERSE	1Ak␣1:13␣
1x001:013	1a	@	-	Ja␣
1x001:013	1b	@	-	Kanaanille␣
1x001:013	2	@	-	syntyivät␣
1x001:013	4	@	-	Siidon
1x001:013	3	%case	NOM	
1x001:013	-	(,)	-	,␣
1x001:013	pers%5	@	-	hänen␣
1x001:013	5	@	-	esikoisensa
1x001:013	-	(,)	-	,␣
1x001:013	6a	@	-	ja␣
1x001:013	7	@	-	Heet
1x001:013	6b	%case	NOM	
1x001:013	-	(,)	-	,␣
1x001:014	1x001:014	1x001:014	VERSE	1Ak␣1:14␣
1x001:014	1a	@	-	sekä␣
1x001:014	(2a) 2b	@	-	jebusilaiset
1x001:014	1b	%case	NOM	
1x001:014	(3a)	-	UNTRANSLATED	
1x001:014	-	(,)	-	,␣
1x001:014	(4a) 4b	@	-	amorilaiset
1x001:014	3b	%case	NOM	
1x001:014	(5a)	-	UNTRANSLATED	
1x001:014	-	(,)	-	,␣
1x001:014	(6a) 6b	@	-	girgasilaiset
1x001:014	5b	%case	NOM	
1x001:014	-	(,)	-	,␣
1x001:015	1x001:015	1x001:015	VERSE	1Ak␣1:15␣
1x001:015	(1a)	-	UNTRANSLATED	
1x001:015	(2a) 2b	@	-	hivviläiset
1x001:015	1b	%case	NOM	
1x001:015	(3a)	-	UNTRANSLATED	
1x001:015	-	(,)	-	,␣
1x001:015	(4a) 4b	@	-	arkilaiset
1x001:015	3b	%case	NOM	
1x001:015	(5a)	-	UNTRANSLATED	
1x001:015	-	(,)	-	,␣
1x001:015	(6a) 6b	@	-	siiniläiset
1x001:015	5b	%case	NOM	
1x001:015	-	(,)	-	,␣
1x001:016	1x001:016	1x001:016	VERSE	1Ak␣1:16␣
1x001:016	(1a)	-	UNTRANSLATED	
1x001:016	(2a) 2b	@	-	arvadilaiset
1x001:016	1b	%case	NOM	
1x001:016	(3a)	-	UNTRANSLATED	
