ma001:001	ma001:001	ma001:001	VERSE	Mal␣1:1␣
ma001:001	1	@	-	Ennustus
ma001:001	-	(,)	-	,␣
ma001:001	3	@	-	Herran␣
ma001:001	2	@	-	sana␣
ma001:001	5	@	-	Israelille
ma001:001	4	%case	LOC	
ma001:001	-	(,)	-	,␣
ma001:001	7	@	-	Malakian␣
ma001:001	6b	@	-	kautta
ma001:001	6a	%case	?	
ma001:001	-	(.)	-	.␣
ma001:002	ma001:002	ma001:002	VERSE	Mal␣1:2␣
ma001:002	1	(@)	-	Minä␣
ma001:002	1	(@)	-	olen␣
ma001:002	2	@	-	teitä␣
ma001:002	1	@	-	rakastanut
ma001:002	-	(,)	-	,␣
ma001:002	3	@	-	sanoo␣
ma001:002	4	@	-	Herra
ma001:002	-	(.)	-	.␣
ma001:002	5a	@	-	Mutta␣
ma001:002	5b	(@)	-	te␣
ma001:002	5b	@	-	sanotte
ma001:002	-	(:)	-	:␣
ma001:002	-	(@)	-	"
ma001:002	6b	@	-	Missä␣
ma001:002	6a	%case	LOC	
ma001:002	7	(@)	-	sinä␣
ma001:002	7	(@)	-	olet␣
ma001:002	7	@	-	osoittanut␣
ma001:002	7	@	-	rakkautesi␣
ma001:002	pers%7	@	-	meihin
ma001:002	-	(?)	-	?
ma001:002	-	(@)	-	"␣
ma001:002	8a 8b	@	-	Eikö␣
ma001:002	10	@	-	Eesau␣
ma001:002	-	(@)	-	ollut␣
ma001:002	11b	@	-	Jaakobin␣
ma001:002	11a	%case	GEN	
ma001:002	9	@	-	veli
ma001:002	-	(,)	-	,␣
ma001:002	12	@	-	sanoo␣
ma001:002	13	@	-	Herra
ma001:002	-	(,)	-	,␣
ma001:002	14a	@	-	ja␣
ma001:002	16	@	-	Jaakobia␣
ma001:002	15	%case	PTV	
ma001:002	14b	(@)	-	minä␣
ma001:002	14b	@	-	rakastin
ma001:002	-	(,)	-	,␣
ma001:003	ma001:003	ma001:003	VERSE	Mal␣1:3␣
ma001:003	1a	@	-	mutta␣
ma001:003	2	@	-	Eesauta␣
ma001:003	1b	%case	PTV	
ma001:003	3	(@)	-	minä␣
ma001:003	3	@	-	vihasin
ma001:003	-	(;)	-	;␣
ma001:003	4a	@	-	ja␣
ma001:003	4b	(@)	-	minä␣
ma001:003	4b	@	-	tein␣
ma001:003	pers%6	@	-	hänen␣
ma001:003	6	@	-	vuorensa␣
ma001:003	5	%case	NOM.GEN	
ma001:003	7	@	-	autioiksi␣
ma001:003	8a	@	-	ja␣
ma001:003	-	(@)	-	annoin␣
ma001:003	pers%9	@	-	hänen␣
ma001:003	9	@	-	perintöosansa␣
ma001:003	8b	%case	NOM.GEN	
ma001:003	11	@	-	erämaan␣
ma001:003	10b	@	-	aavikkosusille
ma001:003	10a	%case	LOC	
ma001:003	-	(.)	-	.␣
ma001:004	ma001:004	ma001:004	VERSE	Mal␣1:4␣
ma001:004	1	@	-	Jos␣
ma001:004	3	@	-	Edom␣
ma001:004	2	@	-	sanoo
ma001:004	-	(:)	-	:␣
