ek001:001	ek001:001	ek001:001	VERSE	Hel␣1:1␣
ek001:001	(1a) (1b)	-	UNTRANSLATED	
ek001:001	2b	@	-	Kolmantenakymmenentenä␣
ek001:001	2a	%case	ESS	
ek001:001	3	@	-	vuotena
ek001:001	-	(,)	-	,␣
ek001:001	4b	@	-	neljännessä␣
ek001:001	4b	(@)	-	kuussa
ek001:001	4a	%case	LOC	
ek001:001	-	(,)	-	,␣
ek001:001	6b	@	-	kuukauden␣
ek001:001	6a	%case	GEN	
ek001:001	5b	@	-	viidentenä␣
ek001:001	5a	%case	ESS	
ek001:001	5b	(@)	-	päivänä
ek001:001	-	(,)	-	,␣
ek001:001	7a	@	-	kun␣
ek001:001	7b	@	-	minä␣
ek001:001	-	(@)	-	olin␣
ek001:001	(9a) 9b	@	-	pakkosiirtolaisten␣
ek001:001	8b	@	-	joukossa␣
ek001:001	8a	%case	LOC	
ek001:001	11 12	@	-	Kebar-joen␣
ek001:001	10	@	-	varrella
ek001:001	-	(,)	-	,␣
ek001:001	13	@	-	aukenivat␣
ek001:001	(14a) 14b	@	-	taivaat
ek001:001	-	(,)	-	,␣
ek001:001	15a	@	-	ja␣
ek001:001	15b	(@)	-	minä␣
ek001:001	15b	@	-	näin␣
ek001:001	17	@	-	Jumalan␣
ek001:001	16	@	-	näkyjä
ek001:001	-	(.)	-	.␣
ek001:002	ek001:002	ek001:002	VERSE	Hel␣1:2␣
ek001:002	2b	@	-	Kuukauden␣
ek001:002	2a	%case	GEN	
ek001:002	1b	@	-	viidentenä␣
ek001:002	1a	%case	ESS	
ek001:002	1b	(@)	-	päivänä
ek001:002	(3)	-	UNTRANSLATED	
ek001:002	-	(,)	-	,␣
ek001:002	(7a) 7b	@	-	kuningas␣
ek001:002	8	@	-	Joojakinin␣
ek001:002	6b	@	-	pakkosiirtolaisuuden␣
ek001:002	6a	%case	GEN	
ek001:002	(5a) 5b	@	-	viidentenä␣
ek001:002	(4a) 4b	@	-	vuotena
ek001:002	-	(,)	-	,␣
ek001:003	ek001:003	ek001:003	VERSE	Hel␣1:3␣
ek001:003	2	@	-	tuli␣
ek001:003	1	%case	?	
ek001:003	4	@	-	Jumalan␣
ek001:003	3	@	-	sana␣
ek001:003	(9a) 9b	@	-	pappi␣
ek001:003	6	@	-	Hesekielille
ek001:003	5	%case	LOC	
ek001:003	-	(,)	-	,␣
ek001:003	8	@	-	Buusin␣
ek001:003	7	@	-	pojalle
ek001:003	-	(,)	-	,␣
ek001:003	11	@	-	Kaldean␣
ek001:003	10b	@	-	maassa␣
ek001:003	10a	%case	LOC	
ek001:003	13 14	@	-	Kebar-joen␣
ek001:003	12	@	-	varrella
ek001:003	-	(,)	-	,␣
ek001:003	15a	@	-	ja␣
ek001:003	pers%16	@	-	hänen␣
ek001:003	16	@	-	päällensä␣
ek001:003	15b	@	-	tuli␣
ek001:003	17	@	-	siellä␣
ek001:003	19	@	-	Herran␣
ek001:003	18	@	-	käsi
ek001:003	-	(.)	-	.␣
ek001:004	ek001:004	ek001:004	VERSE	Hel␣1:4␣
ek001:004	1a	@	-	Ja␣
ek001:004	1b	(@)	-	minä␣
ek001:004	1b	@	-	näin
ek001:004	-	(,)	-	,␣
ek001:004	2a	@	-	ja␣
ek001:004	2b	@	-	katso
ek001:004	-	(:)	-	:␣
ek001:004	3 4	@	-	myrskytuuli␣
ek001:004	5	@	-	tuli␣
ek001:004	(7a) 7b	@	-	pohjoisesta
ek001:004	6	%case	LOC	
ek001:004	-	(,)	-	,␣
ek001:004	9	@	-	suuri␣
ek001:004	8	@	-	pilvi␣
ek001:004	10a	@	-	ja␣
ek001:004	11	@	-	leimahteleva␣
ek001:004	10b	@	-	tuli
ek001:004	-	(,)	-	,␣
ek001:004	12a	@	-	ja␣
ek001:004	pro%13	@	-	pilveä␣
ek001:004	14	@	-	ympäröitsi␣
ek001:004	12b	@	-	hohde
ek001:004	-	(,)	-	,␣
ek001:004	15a	@	-	ja␣
ek001:004	pers%15c	@	-	tulen␣
ek001:004	15c	@	-	keskeltä␣
ek001:004	15b	%case	LOC	
ek001:004	16b	@	-	näkyi␣
ek001:004	16a	@	-	ikäänkuin␣
ek001:004	(17a) 17b	@	-	hehkuvaa␣
