jg001:001	jg001:001	jg001:001	VERSE	Tm␣1:1␣
jg001:001	(1a) (1b)	-	UNTRANSLATED	
jg001:001	4	@	-	Joosuan␣
jg001:001	3	@	-	kuoleman␣
jg001:001	2	@	-	jälkeen␣
jg001:001	(5a)	-	UNTRANSLATED	
jg001:001	6 7	@	-	israelilaiset␣
jg001:001	5b	@	-	kysyivät␣
jg001:001	8b	@	-	Herralta␣
jg001:001	8a	%case	LOC	
jg001:001	9a 9b	@	-	ja␣
jg001:001	9a 9b	@	-	sanoivat
jg001:001	-	(:)	-	:␣
jg001:001	-	(@)	-	"
jg001:001	10	@	-	Kenen␣
jg001:001	12	@	-	meistä␣
jg001:001	11	(@)	-	on␣
jg001:001	15b	@	-	ensiksi␣
jg001:001	15a	%case	?	
jg001:001	11	@	-	lähdettävä␣
jg001:001	(14a) 14b	@	-	kanaanilaisia␣
jg001:001	13	@	-	vastaan
jg001:001	-	(,)	-	,␣
jg001:001	16b	@	-	sotimaan␣
jg001:001	16a	%case	LOC	
jg001:001	pers%17	@	-	heitä␣
jg001:001	17	@	-	vastaan
jg001:001	(1a/2)	-	UNTRANSLATED	
jg001:001	-	(?)	-	?
jg001:001	-	(@)	-	"␣
jg001:001	2/2	@	-	Herra␣
jg001:001	1b/2	@	-	vastasi
jg001:001	-	(:)	-	:␣
jg001:002	jg001:002	jg001:002	VERSE	Tm␣1:2␣
jg001:002	-	(@)	-	"
jg001:002	3	@	-	Juuda␣
jg001:002	4	@	-	lähteköön
jg001:002	-	(;)	-	;␣
jg001:002	5	@	-	katso
jg001:002	-	(,)	-	,␣
jg001:002	6	(@)	-	minä␣
jg001:002	6	@	-	annan␣
jg001:002	(8a) 8b	@	-	maan␣
jg001:002	7	%case	GEN	
jg001:002	pers%9b	@	-	hänen␣
jg001:002	9b	@	-	käsiinsä
jg001:002	9a	%case	LOC	
jg001:002	-	(@)	-	"
jg001:002	-	(.)	-	.␣
jg001:003	jg001:003	jg001:003	VERSE	Tm␣1:3␣
jg001:003	1a	@	-	Niin␣
jg001:003	2	@	-	Juuda␣
jg001:003	1b	@	-	sanoi␣
jg001:003	4	@	-	veljellensä␣
jg001:003	3b	@	-	Simeonille
jg001:003	3a	%case	LOC	
jg001:003	-	(:)	-	:␣
jg001:003	-	(@)	-	"
jg001:003	5	@	-	Lähde␣
jg001:003	pers%6	@	-	minun␣
jg001:003	6	@	-	kanssani␣
jg001:003	pers%7b	@	-	minun␣
jg001:003	7b	@	-	arpaosaani
jg001:003	7a	%case	LOC	
jg001:003	-	(,)	-	,␣
jg001:003	8a	@	-	ja␣
jg001:003	8b	@	-	sotikaamme␣
jg001:003	9b	@	-	kanaanilaisia␣
jg001:003	9a	@	-	vastaan
jg001:003	-	(,)	-	,␣
jg001:003	10a	@	-	niin␣
jg001:003	12	@	-	minäkin␣
jg001:003	11	%clitic	kin	
jg001:003	10b	@	-	tulen␣
jg001:003	pers%13	@	-	sinun␣
jg001:003	13	@	-	kanssasi␣
jg001:003	pers%14b	@	-	sinun␣
jg001:003	14b	@	-	arpaosaasi
jg001:003	14a	%case	LOC	
jg001:003	-	(@)	-	"
jg001:003	-	(.)	-	.␣
jg001:003	15a	@	-	Niin␣
jg001:003	17	@	-	Simeon␣
jg001:003	15b	@	-	lähti␣
jg001:003	pers%16	@	-	hänen␣
jg001:003	16	@	-	kanssaan
jg001:003	-	(.)	-	.␣
jg001:004	jg001:004	jg001:004	VERSE	Tm␣1:4␣
jg001:004	1a	@	-	Ja␣
jg001:004	2	@	-	Juuda␣
jg001:004	1b	@	-	lähti
jg001:004	-	(,)	-	,␣
jg001:004	3a	@	-	ja␣
jg001:004	4	@	-	Herra␣
jg001:004	3b	@	-	antoi␣
jg001:004	(6a) 6b	@	-	kanaanilaiset␣
jg001:004	5	%case	NOM	
jg001:004	7a	@	-	ja␣
jg001:004	(7b) 7c	@	-	perissiläiset␣
jg001:004	pers%8b	@	-	heidän␣
jg001:004	8b	@	-	käsiinsä
jg001:004	8a	%case	LOC	
jg001:004	-	(;)	-	;␣
jg001:004	9a	@	-	ja␣
jg001:004	9b	(@)	-	he␣
jg001:004	9b	@	-	voittivat␣
jg001:004	pers%9b	@	-	heidät␣
jg001:004	10b	@	-	Besekissä␣
jg001:004	10a	%case	LOC	
jg001:004	-	(-)	-	-␣
jg001:004	11 12	@	-	kymmenentuhatta␣
jg001:004	13	@	-	miestä
jg001:004	-	(.)	-	.␣
jg001:005	jg001:005	jg001:005	VERSE	Tm␣1:5␣
jg001:005	1a	@	-	Ja␣
jg001:005	1b	(@)	-	he␣
jg001:005	1b	@	-	kohtasivat␣
jg001:005	3	@	-	Adoni-Besekin␣
jg001:005	2	%case	GEN	
jg001:005	4b	@	-	Besekissä␣
jg001:005	4a	%case	LOC	
jg001:005	5a	@	-	ja␣
jg001:005	5b	@	-	taistelivat␣
jg001:005	pers%6	@	-	häntä␣
jg001:005	6	@	-	vastaan␣
jg001:005	7a	@	-	ja␣
jg001:005	7b	@	-	voittivat␣
jg001:005	(9a) 9b	@	-	kanaanilaiset␣
jg001:005	8	%case	NOM	
jg001:005	10a	@	-	ja␣
jg001:005	(11a) 11b	@	-	perissiläiset
jg001:005	10b	%case	NOM	
jg001:005	-	(.)	-	.␣
jg001:006	jg001:006	jg001:006	VERSE	Tm␣1:6␣
jg001:006	1a	@	-	Ja␣
jg001:006	2	@	-	Adoni-Besek␣
jg001:006	1b	@	-	pakeni
jg001:006	-	(,)	-	,␣
jg001:006	3a	@	-	mutta␣
jg001:006	3b	(@)	-	he␣
jg001:006	3b	@	-	ajoivat␣
jg001:006	pers%4	@	-	häntä␣
jg001:006	4	@	-	takaa␣
jg001:006	5a	@	-	ja␣
jg001:006	5b	@	-	ottivat␣
jg001:006	6	@	-	hänet␣
jg001:006	5b	@	-	kiinni␣
jg001:006	7a	@	-	ja␣
jg001:006	7b	@	-	hakkasivat␣
jg001:006	pers%10	@	-	häneltä␣
jg001:006	10 9	@	-	peukalot␣
jg001:006	8	%case	NOM	
jg001:006	11a	@	-	ja␣
jg001:006	11b	@	-	isotvarpaat
jg001:006	-	(.)	-	.␣
jg001:007	jg001:007	jg001:007	VERSE	Tm␣1:7␣
jg001:007	1a	@	-	Silloin␣
