hb001:001	hb001:001	hb001:001	VERSE	Heb␣1:1␣
hb001:001	-	(@)	-	Sittenkuin␣
hb001:001	(5) 6	@	-	Jumala␣
hb001:001	4	@	-	muinoin␣
hb001:001	1	@	-	monesti␣
hb001:001	2	@	-	ja␣
hb001:001	3	@	-	monella␣
hb001:001	3	@	-	tapaa␣
hb001:001	7	(@)	-	oli␣
hb001:001	7	@	-	puhunut␣
hb001:001	(8) 9	@	-	isille␣
hb001:001	(11) 12	@	-	profeettain␣
hb001:001	10	@	-	kautta
hb001:001	-	(,)	-	,␣
hb001:002	hb001:002	hb001:002	VERSE	Heb␣1:2␣
hb001:002	6	(@)	-	on␣
hb001:002	6	(@)	-	hän␣
hb001:002	5	@	-	näinä␣
hb001:002	2	@	-	viimeisinä␣
hb001:002	1	%case	ESS	
hb001:002	(3) 4	@	-	päivinä␣
hb001:002	6	@	-	puhunut␣
hb001:002	7	@	-	meille␣
hb001:002	9a	@	-	Pojan␣
hb001:002	8	@	-	kautta
hb001:002	9b	,	-	,␣
hb001:002	10	@	-	jonka␣
hb001:002	11	(@)	-	hän␣
hb001:002	11	(@)	-	on␣
hb001:002	11	@	-	pannut␣
hb001:002	13a	@	-	kaiken␣
hb001:002	12	@	-	perilliseksi
hb001:002	13b	,	-	,␣
hb001:002	15	@	-	jonka␣
hb001:002	14	@	-	kautta␣
hb001:002	17	(@)	-	hän␣
hb001:002	16	@	-	myös␣
hb001:002	17	(@)	-	on␣
hb001:002	(18) 19a	@	-	maailman␣
hb001:002	17	@	-	luonut␣
hb001:003	hb001:003	hb001:003	VERSE	Heb␣1:3␣
hb001:003	-	(@)	-	ja␣
hb001:003	1	@	-	joka
hb001:003	-	(,)	-	,␣
hb001:003	2	@	-	ollen␣
hb001:003	-	(@)	-	hänen␣
hb001:003	(4) 5	@	-	kirkkautensa␣
hb001:003	3	@	-	säteily␣
hb001:003	6	@	-	ja␣
hb001:003	10a	@	-	hänen␣
hb001:003	(8) 9	@	-	olemuksensa␣
hb001:003	7	@	-	kuva␣
hb001:003	12	@	-	ja␣
hb001:003	11	@	-	kantaen␣
hb001:003	(13) 14	@	-	kaikki␣
hb001:003	(17) 18	@	-	voimansa␣
hb001:003	19a	%pers	3	
hb001:003	(15) 16	@	-	sanalla
hb001:003	19b	,	-	,␣
hb001:003	24	(@)	-	on
hb001:003	-	(,)	-	,␣
hb001:003	23	@	-	toimitettuaan␣
hb001:003	20	@	-	puhdistuksen␣
hb001:003	(21) 22	@	-	synneistä
hb001:003	-	(,)	-	,␣
hb001:003	24	@	-	istunut␣
hb001:003	(27) 28	@	-	Majesteetin␣
hb001:003	26	@	-	oikealle␣
hb001:003	26	@	-	puolelle␣
hb001:003	25	%case	LOC	
hb001:003	30a	@	-	korkeuksissa
hb001:003	29	%case	LOC	
hb001:003	30b	,	-	,␣
hb001:004	hb001:004	hb001:004	VERSE	Heb␣1:4␣
hb001:004	3	@	-	tullen␣
hb001:004	(4) 5	@	-	enkeleitä␣
hb001:004	1	@	-	niin␣
hb001:004	1	@	-	paljoa␣
hb001:004	2	@	-	korkeammaksi
hb001:004	-	(,)	-	,␣
hb001:004	6	@	-	kuin␣
