jl001:001	jl001:001	jl001:001	VERSE	Jl␣1:1␣
jl001:001	2	@	-	Herran␣
jl001:001	1	@	-	sana
jl001:001	-	(,)	-	,␣
jl001:001	3	@	-	joka␣
jl001:001	4	@	-	tuli␣
jl001:001	6	@	-	Jooelille
jl001:001	5	%case	LOC	
jl001:001	-	(,)	-	,␣
jl001:001	8	@	-	Petuelin␣
jl001:001	7	@	-	pojalle
jl001:001	-	(.)	-	.␣
jl001:002	jl001:002	jl001:002	VERSE	Jl␣1:2␣
jl001:002	1	@	-	Kuulkaa␣
jl001:002	2	@	-	tämä
jl001:002	-	(,)	-	,␣
jl001:002	1	(@)	-	te␣
jl001:002	(3a) 3b	@	-	vanhimmat
jl001:002	-	(,)	-	,␣
jl001:002	4a	@	-	ja␣
jl001:002	4b	@	-	ottakaa␣
jl001:002	4b	@	-	korviinne
jl001:002	-	(,)	-	,␣
jl001:002	5	@	-	kaikki␣
jl001:002	(7a) 7b	@	-	maan␣
jl001:002	6	@	-	asukkaat
jl001:002	-	(.)	-	.␣
jl001:002	8a	@	-	Onko␣
jl001:002	9	@	-	tällaista␣
jl001:002	8b	@	-	tapahtunut␣
jl001:002	pers%10b	@	-	teidän␣
jl001:002	10b	@	-	päivinänne␣
jl001:002	10a	%case	ESS	
jl001:002	(11a) 11b	@	-	taikka␣
jl001:002	pers%13	@	-	teidän␣
jl001:002	13	@	-	isienne␣
jl001:002	12b	@	-	päivinä
jl001:002	-	(?)	-	?␣
jl001:002	12a	%case	?	
jl001:003	jl001:003	jl001:003	VERSE	Jl␣1:3␣
jl001:003	3	@	-	Kertokaa␣
jl001:003	1	@	-	tämä␣
jl001:003	2b	@	-	lapsillenne
jl001:003	-	(,)	-	,␣
jl001:003	2a	%case	?	
jl001:003	4a	@	-	ja␣
jl001:003	pers%4b	@	-	teidän␣
jl001:003	4b	@	-	lapsenne␣
jl001:003	-	(@)	-	kertokoot␣
jl001:003	-	(@)	-	sen␣
jl001:003	5b	@	-	lapsillensa␣
jl001:003	5a	%case	LOC	
jl001:003	6a	@	-	ja␣
jl001:003	pers%6b	@	-	heidän␣
jl001:003	6b	@	-	lapsensa␣
jl001:003	8	@	-	tulevalle␣
jl001:003	7b	@	-	polvelle
jl001:003	7a	%case	LOC	
jl001:003	-	(:)	-	:␣
jl001:004	jl001:004	jl001:004	VERSE	Jl␣1:4␣
jl001:004	1	(@)	-	Mitä␣
jl001:004	(2a) 2b	@	-	kalvajasirkalta␣
jl001:004	1	@	-	jäi
jl001:004	-	(,)	-	,␣
jl001:004	-	(@)	-	sen␣
jl001:004	3	@	-	söi␣
jl001:004	(4a) 4b	@	-	heinäsirkka
jl001:004	-	(.)	-	.␣
