2c001:001	2c001:001	2c001:001	VERSE	2Kr␣1:1␣
2c001:001	1	Paavali	PR.SG.NOM	Paavali
2c001:001	-	(,)	PUNC	,␣
2c001:001	7	Jumala	SG.GEN	Jumalan␣
2c001:001	6	tahto	SG.ELA	tahdosta␣
2c001:001	5	%case	LOC	
2c001:001	3	Kristus	PR.SG.GEN	Kristuksen␣
2c001:001	4	Jeesus	PR.SG.GEN	Jeesuksen␣
2c001:001	2	apostoli	SG.NOM	apostoli
2c001:001	-	(,)	PUNC	,␣
2c001:001	8	ja	CNJ	ja␣
2c001:001	(10) 11	veli	SG.NOM	veli␣
2c001:001	9	Timoteus	PR.SG.NOM	Timoteus␣
2c001:001	19	Korintto	PR.SG.INE	Korintossa␣
2c001:001	18	%case	LOC	
2c001:001	(16) 17	olla:oleva	COP.ACT.PCP1.SG.ALL	olevalle␣
2c001:001	(14) 15	Jumala	SG.GEN	Jumalan␣
2c001:001	(12) 13	seurakunta	SG.ALL	seurakunnalle␣
2c001:001	20	ynnä		ynnä␣
2c001:001	23	kaikki	INDEF.PL.ALL	kaikille␣
2c001:001	(21) 22	pyhä	ADJ.PL.ALL	pyhille␣
2c001:001	(24) (25)	-	UNTRANSLATED	
2c001:001	27	koko	ADJ	koko␣
2c001:001	(28) 29a	Akaia	PR.SG.INE	Akaiassa
2c001:001	26	%case	LOC	
2c001:001	29b	.	PUNC	.␣
2c001:002	2c001:002	2c001:002	VERSE	2Kr␣1:2␣
2c001:002	1	armo	SG.NOM	Armo␣
2c001:002	2	te	PERS.PL.ALL	teille␣
2c001:002	3	ja	CNJ	ja␣
2c001:002	4	rauha	SG.NOM	rauha␣
2c001:002	6	Jumala	SG.ABL	Jumalalta
2c001:002	5	%case	LOC	
2c001:002	-	(,)	PUNC	,␣
2c001:002	8	me	PERS.PL.GEN	meidän␣
2c001:002	7	Isä	SG.ABL.-1	Isältämme
2c001:002	5	%case	LOC	
2c001:002	-	(,)	PUNC	,␣
2c001:002	9	ja	CNJ	ja␣
2c001:002	10	Herra	SG.ABL	Herralta␣
2c001:002	11	Jeesus	PR.SG.ABL	Jeesukselta␣
2c001:002	12a	Kristus	PR.SG.ABL	Kristukselta
2c001:002	-	(!)	PUNC	!␣
2c001:003	2c001:003	2c001:003	VERSE	2Kr␣1:3␣
2c001:003	1	kiittää:kiitetty	PSS.PCP2.SG.NOM	Kiitetty␣
2c001:003	1	(olla)	COP.ACT.IMP.3S	olkoon␣
2c001:003	8	me	PERS.PL.GEN	meidän␣
2c001:003	(6) 7	Herra	NOM&SGGEN.-1	Herramme␣
2c001:003	9	Jeesus	PR.SG.GEN	Jeesuksen␣
2c001:003	10a	Kristus	PR.SG.GEN	Kristuksen␣
2c001:003	(2) 3	Jumala	SG.NOM	Jumala␣
2c001:003	4	ja	CNJ	ja␣
2c001:003	5	Isä	SG.NOM	Isä
2c001:003	-	(,)	PUNC	,␣
2c001:003	(13) 14	laupeus	SG.GEN	laupeuden␣
2c001:003	(11) 12	Isä	SG.NOM	Isä␣
2c001:003	15	ja	CNJ	ja␣
2c001:003	17	kaikki	INDEF.SG.GEN	kaiken␣
2c001:003	18a	lohdutus	DER.SG.GEN	lohdutuksen␣
2c001:003	16	Jumala	SG.NOM	Jumala
2c001:003	18b	,	PUNC	,␣
2c001:004	2c001:004	2c001:004	VERSE	2Kr␣1:4␣
2c001:004	1	joka	REL.INDEF.SG.NOM	joka␣
2c001:004	2	lohduttaa	ACT.PRES.3S	lohduttaa␣
2c001:004	3	me	PERS.PL.PTV	meitä␣
2c001:004	5	kaikki	INDEF.SG.INE	kaikessa␣
2c001:004	(6) 7	ahdistus	DER.SG.INE.-1	ahdistuksessamme
2c001:004	8	%pers	?	
2c001:004	4	%case	LOC	
2c001:004	-	(,)	PUNC	,␣
2c001:004	9	että	SUBORD	että␣
2c001:004	12	me	PERS.PL.NOM	me␣
2c001:004	19	se	DEM.SG.ADE	sillä␣
2c001:004	20	lohdutus	DER.SG.ADE	lohdutuksella
2c001:004	18	%case	LOC	
2c001:004	-	(,)	PUNC	,␣
2c001:004	21	joka	REL.SG.ADE	jolla␣
2c001:004	(25) 26a	Jumala	SG.NOM	Jumala␣
2c001:004	24	%case	NOM	
2c001:004	22	(me)	PERS.PL.PTV	meitä␣
2c001:004	23	itse	REFL.SG.PTV.-1	itseämme␣
2c001:004	22	lohduttaa	ACT.PRES.3S	lohduttaa
2c001:004	-	(,)	PUNC	,␣
2c001:004	(10) 11	voida	ACT.COND.1P	voisimme␣
2c001:004	13	lohduttaa	INF1.LAT	lohduttaa␣
2c001:004	14	ne	DEM.PL.PTV	niitä
2c001:004	-	(,)	PUNC	,␣
2c001:004	14	joka	REL.PL.NOM	jotka␣
2c001:004	16	kaikkinainen	ADJ.SG.INE	kaikkinaisessa␣
