rv001:001	rv001:001	rv001:001	VERSE	Ilm␣1:1␣
rv001:001	2	Jeesus	PR.SG.GEN	Jeesuksen␣
rv001:001	3	Kristus	PR.SG.GEN	Kristuksen␣
rv001:001	1	ilmestys	SG.NOM	ilmestys
rv001:001	-	(,)	PUNC	,␣
rv001:001	4	joka	REL.SG.GEN	jonka␣
rv001:001	(7) 8	Jumala	SG.NOM	Jumala␣
rv001:001	5	antaa	ACT.PAST.3S	antoi␣
rv001:001	6	hän	PERS.SG.ALL	hänelle
rv001:001	-	(,)	PUNC	,␣
rv001:001	9	näyttää	INF1.TRA.-3	näyttääkseen␣
rv001:001	(10) 11	palvelija	DER.PL.ALL.-3	palvelijoillensa
rv001:001	12	%pers	3	
rv001:001	-	(,)	PUNC	,␣
rv001:001	13	mikä	INT.REL.SG.PTV	mitä␣
rv001:001	17a	pian	ADV	pian␣
rv001:001	16	%case	?	
rv001:001	15	tapahtua	ACT.INF3.INS	tapahtuman␣
rv001:001	14	pitää	ACT.PRES.3S	pitää
rv001:001	17b	;	PUNC	;␣
rv001:001	18	ja	CNJ	ja␣
rv001:001	-	(se)	DEM.SG.GEN	sen␣
rv001:001	19	(hän)	PERS.SG.NOM	hän␣
rv001:001	20	lähettää:lähettämä	PCPA.NOM&SGGEN.-3	lähettämänsä␣
rv001:001	24	%pers	3	
rv001:001	(22) 23	enkeli	SG.GEN	enkelin␣
rv001:001	21	kautta	PREP	kautta␣
rv001:001	19	antaa	ACT.PAST.3S	antoi␣
rv001:001	19	tieto	SG.TRA	tiedoksi␣
rv001:001	(25) 26	palvelija	DER.SG.ALL.-3	palvelijalleen␣
rv001:001	27	%pers	3	
rv001:001	28a	Johannes	PR.SG.ALL	Johannekselle
rv001:001	28b	,	PUNC	,␣
rv001:002	rv001:002	rv001:002	VERSE	Ilm␣1:2␣
rv001:002	1	joka	REL.INDEF.SG.NOM	joka␣
rv001:002	-	(tässä)	ADV	tässä␣
rv001:002	2	todistaa	ACT.PRES.3S	todistaa␣
rv001:002	(5) 6	Jumala	SG.GEN	Jumalan␣
rv001:002	(3) 4	sana	SG.GEN	sanan␣
