ru001:001	ru001:001	ru001:001	VERSE	Ruut␣1:1␣
ru001:001	(1a) (1b)	-	UNTRANSLATED	
ru001:001	2b	se	DEM.SG.ILL	Siihen␣
ru001:001	2b	aika	SG.ILL	aikaan␣
ru001:001	2a	kun	SUBORD	kun␣
ru001:001	(4a) 4b	tuomari	PL.NOM	tuomarit␣
ru001:001	3	hallita	ACT.PAST.3P	hallitsivat
ru001:001	(5a)	-	UNTRANSLATED	
ru001:001	-	(,)	PUNC	,␣
ru001:001	5b	tulla	ACT.PAST.3S	tuli␣
ru001:001	6	nälän_hätä	SG.NOM	nälänhätä␣
ru001:001	7b	maa	SG.ILL	maahan
ru001:001	7a	%case	LOC	
ru001:001	-	(.)	PUNC	.␣
ru001:001	8a	silloin	ADV	Silloin␣
ru001:001	-	(muuan)	INDEF.SG.NOM	muuan␣
ru001:001	11	Juuda	PR.SG.GEN	Juudan␣
ru001:001	10b	Beetlehem	PR.SG.GEN	Beetlehemin␣
ru001:001	10a	%case	GEN	
ru001:001	9	mies	SG.NOM	mies␣
ru001:001	8b	lähteä	ACT.PAST.3S	lähti␣
ru001:001	-	(sieltä)	ADV	sieltä␣
ru001:001	12a	ja	CNJ	ja␣
ru001:001	12b	asettua	DER.ACT.PAST.3S	asettui␣
ru001:001	16b	vaimo	NOM&SGGEN.-3	vaimonsa␣
ru001:001	17a	ja	CNJ	ja␣
ru001:001	17b	2	NUM.SG.GEN	kahden␣
ru001:001	18	poika	NOM&SGGEN.-3	poikansa␣
ru001:001	16a	kanssa	POST	kanssa␣
ru001:001	(15)	-	UNTRANSLATED	
ru001:001	12b	muukalainen	ADJ.SG.ESS	muukalaisena␣
ru001:001	12b	asua	INF3.ILL	asumaan␣
ru001:001	14	Mooab	PR.SG.GEN	Mooabin␣
ru001:001	13b	maa	SG.ILL	maahan
ru001:001	13a	%case	LOC	
ru001:001	-	(.)	PUNC	.␣
ru001:002	ru001:002	ru001:002	VERSE	Ruut␣1:2␣
ru001:002	(1a)	-	UNTRANSLATED	
ru001:002	(2a) 2b	mies	SG.GEN	Miehen␣
ru001:002	1b	nimi	SG.NOM	nimi␣
ru001:002	-	(olla)	COP.ACT.PAST.3S	oli␣
ru001:002	3	Elimelek	PR.SG.NOM	Elimelek
ru001:002	(4a)	-	UNTRANSLATED	
ru001:002	-	(,)	PUNC	,␣
ru001:002	pers%5	hän	PERS.SG.GEN	hänen␣
ru001:002	5	vaimo	NOM&SGGEN.-3	vaimonsa␣
ru001:002	4b	nimi	SG.NOM	nimi␣
ru001:002	-	(olla)	COP.ACT.PAST.3S	oli␣
ru001:002	6	Noomi	PR.SG.NOM	Noomi␣
ru001:002	7a	ja	CNJ	ja␣
ru001:002	pers%9	hän	PERS.SG.GEN	hänen␣
ru001:002	8	2	NUM.SG.GEN	kahden␣
ru001:002	9	poika	NOM&SGGEN.-3	poikansa␣
ru001:002	7b	nimi	PL.NOM	nimet␣
ru001:002	10	Mahlon	PR.SG.NOM	Mahlon␣
ru001:002	11a	ja	CNJ	ja␣
ru001:002	11b	Kiljon	PR.SG.NOM	Kiljon
ru001:002	-	(;)	PUNC	;␣
ru001:002	-	(he)	PERS.PL.NOM	he␣
ru001:002	-	(olla)	COP.ACT.PAST.3P	olivat␣
ru001:002	12	efratilainen	DER.ADJ.PL.PTV	efratilaisia␣
ru001:002	14	Juuda	PR.SG.GEN	Juudan␣
ru001:002	13b	Beetlehem	PR.SG.ELA	Beetlehemistä
ru001:002	13a	%case	LOC	
ru001:002	-	(.)	PUNC	.␣
ru001:002	15a	niin	ADV.AD-A	Niin␣
ru001:002	15b	(he)	PERS.PL.NOM	he␣
ru001:002	15b	tulla	ACT.PAST.3P	tulivat␣
ru001:002	17	Mooab	PR.SG.GEN	Mooabin␣
ru001:002	16	maa	SG.ILL	maahan␣
ru001:002	18a	ja	CNJ	ja␣
ru001:002	18b	oleskella	ACT.PAST.3P	oleskelivat␣
ru001:002	19	siellä	ADV	siellä
ru001:002	-	(.)	PUNC	.␣
ru001:003	ru001:003	ru001:003	VERSE	Ruut␣1:3␣
ru001:003	1a	ja	CNJ	Ja␣
ru001:003	2	Elimelek	PR.SG.NOM	Elimelek
ru001:003	-	(,)	PUNC	,␣
ru001:003	4	Noomi	PR.SG.GEN	Noomin␣
ru001:003	3	mies	SG.NOM	mies
ru001:003	-	(,)	PUNC	,␣
ru001:003	1b	kuolla	ACT.PAST.3S	kuoli
ru001:003	-	(,)	PUNC	,␣
ru001:003	5a	ja	CNJ	ja␣
ru001:003	pro%6	Noomi	PR.SG.NOM	Noomi␣
ru001:003	5b	jäädä	ACT.PAST.3S	jäi␣
ru001:003	5b	jälkeen	PREP	jälkeen␣
ru001:003	7b	2	NUM.SG.GEN	kahden␣
ru001:003	8	poika	NOM&SGGEN.-3	poikansa␣
ru001:003	7a	kanssa	POST	kanssa
ru001:003	-	(.)	PUNC	.␣
ru001:004	ru001:004	ru001:004	VERSE	Ruut␣1:4␣
ru001:004	(1a)	-	UNTRANSLATED	
ru001:004	1b	(nämä)	DEM.PL.NOM	Nämä␣
ru001:004	1b	ottaa	ACT.PAST.3P	ottivat␣
ru001:004	2	itse	REFL.SG.ALL.-3	itselleen␣
ru001:004	4	mooabilainen	DER.ADJ.PL.NOM	mooabilaiset␣
ru001:004	3	vaimo	PL.NOM	vaimot
ru001:004	-	(;)	PUNC	;␣
ru001:004	(6a) 6b	toinen	INDEF.SG.GEN	toisen␣
ru001:004	5	nimi	SG.NOM	nimi␣
ru001:004	-	(olla)	COP.ACT.PAST.3S	oli␣
ru001:004	7	Orpa	PR.SG.NOM	Orpa␣
ru001:004	8a	ja	CNJ	ja␣
ru001:004	(9a) 9b	toinen	INDEF.SG.GEN	toisen␣
ru001:004	8b	nimi	SG.NOM	nimi␣
ru001:004	10	Ruut	PR.SG.NOM	Ruut
ru001:004	-	(.)	PUNC	.␣
ru001:004	11a	ja	CNJ	Ja␣
ru001:004	11b	(he)	PERS.PL.NOM	he␣
ru001:004	11b	asua	ACT.PAST.3P	asuivat␣
ru001:004	12	siellä	ADV	siellä␣
ru001:004	13a	noin=suunnilleen	AD-A	noin␣
ru001:004	13b	10	NUM.SG.NOM	kymmenen␣
ru001:004	14	vuosi	SG.PTV	vuotta
ru001:004	-	(.)	PUNC	.␣
ru001:005	ru001:005	ru001:005	VERSE	Ruut␣1:5␣
ru001:005	1a	ja	CNJ	Ja␣
ru001:005	2	myös	ADV	myös␣
ru001:005	pers%3	nuo	DEM.PL.NOM	nuo␣
ru001:005	3	molemmat	INDEF.PL.NOM	molemmat
ru001:005	-	(,)	PUNC	,␣
ru001:005	4	Mahlon	PR.SG.NOM	Mahlon␣
ru001:005	5a	ja	CNJ	ja␣
ru001:005	5b	Kiljon	PR.SG.NOM	Kiljon
ru001:005	-	(,)	PUNC	,␣
ru001:005	1b	kuolla	ACT.PAST.3P	kuolivat
ru001:005	-	(,)	PUNC	,␣
ru001:005	6a	niin	ADV.AD-A	niin␣
ru001:005	6a	että	SUBORD	että␣
ru001:005	(7a) 7b	vaimo	SG.NOM	vaimo␣
ru001:005	6b	jäädä	ACT.PAST.3S	jäi␣
ru001:005	6b	yksin	ADV	yksin␣
ru001:005	6b	jälkeen	PREP	jälkeen␣
ru001:005	8b	2	NUM.SG.ELA	kahdesta␣
ru001:005	8a	%case	LOC	
ru001:005	9	poika	SG.ELA.-3	pojastaan␣
ru001:005	10a	ja	CNJ	ja␣
ru001:005	10c	mies	SG.ELA.-3	miehestään
ru001:005	10b	%case	LOC	
ru001:005	-	(.)	PUNC	.␣
ru001:006	ru001:006	ru001:006	VERSE	Ruut␣1:6␣
ru001:006	1a	silloin	ADV	Silloin␣
ru001:006	2	hän	PERS.SG.NOM	hän␣
ru001:006	1b	nousta	ACT.PAST.3S	nousi␣
ru001:006	3b	miniä	CMT.-3	miniöineen␣
ru001:006	3a	%case	CMT	
ru001:006	4b	palata	INF1.TRA.-3	palataksensa␣
ru001:006	4a	%case	TRA	
ru001:006	4b	takaisin	ADV	takaisin␣
ru001:006	6	Mooab	PR.SG.GEN	Mooabin␣
ru001:006	5b	maa	SG.ELA	maasta
ru001:006	5a	%case	LOC	
ru001:006	-	(,)	PUNC	,␣
ru001:006	7	sillä	SUBORD	sillä␣
ru001:006	8	(hän)	PERS.SG.NOM	hän␣
ru001:006	8	(olla)	COP.ACT.PAST.3S	oli␣
ru001:006	8	kuulla	ACT.PCP2.PERF	kuullut␣
ru001:006	10	Mooab	PR.SG.GEN	Mooabin␣
ru001:006	9b	maa	SG.INE	maassa
ru001:006	9a	%case	LOC	
ru001:006	-	(,)	PUNC	,␣
ru001:006	11	että	SUBORD	että␣
ru001:006	13	Herra	SG.NOM	Herra␣
ru001:006	12	(olla)	COP.ACT.PAST.3S	oli␣
ru001:006	12	pitää	ACT.PCP2.PERF	pitänyt␣
ru001:006	15	kansa	SG.ELA.-3	kansastansa␣
ru001:006	14	%case	LOC	
ru001:006	12	huoli	SG.GEN	huolen␣
ru001:006	16a	ja	CNJ	ja␣
ru001:006	16b	antaa	ACT.PCP2.PERF	antanut␣
ru001:006	17	se	DEM.SG.ALL	sille␣
ru001:006	18	leipä	SG.PTV	leipää
ru001:006	-	(.)	PUNC	.␣
ru001:007	ru001:007	ru001:007	VERSE	Ruut␣1:7␣
ru001:007	1a	niin	ADV.AD-A	Niin␣
ru001:007	1b	(hän)	PERS.SG.NOM	hän␣
ru001:007	1b	lähteä	ACT.PAST.3S	lähti␣
ru001:007	9	yhdessä	ADV	yhdessä␣
ru001:007	7b	molemmat	INDEF.PL.GEN	molempien␣
ru001:007	8	miniä	PL.GEN.-3	miniäinsä␣
ru001:007	7a	kanssa	POST	kanssa␣
ru001:007	3a	se	DEM.SG.ELA	siitä␣
ru001:007	3b	paikka	SG.ELA	paikasta
ru001:007	2	%case	LOC	
ru001:007	-	(,)	PUNC	,␣
ru001:007	4	joka	REL.SG.INE	jossa␣
