am001:001	am001:001	am001:001	VERSE	Aam␣1:1␣
am001:001	2	Aamos	PR.SG.GEN	Aamoksen␣
am001:001	1	sana	PL.NOM	sanat
am001:001	-	(,)	PUNC	,␣
am001:001	-	(hän)	PERS.SG.GEN	hänen
am001:001	-	(,)	PUNC	,␣
am001:001	3	joka	REL.SG.ADE	jolla␣
am001:001	4	olla	COP.ACT.PAST.3S	oli␣
am001:001	5b	lammas_lauma	PL.PTV	lammaslaumoja␣
am001:001	5a	%case	PTV	
am001:001	6b	Tekoa	PR.SG.INE	Tekoassa
am001:001	6a	%case	LOC	
am001:001	-	(;)	PUNC	;␣
am001:001	7	mikä	INT.REL.SG.PTV	mitä␣
am001:001	8	(hän)	PERS.SG.NOM	hän␣
am001:001	8	näky	SG.INE	näyssä␣
am001:001	8	nähdä	ACT.PAST.3S	näki␣
am001:001	10	Israel	PR.SG.ELA	Israelista␣
am001:001	9	%case	LOC	
am001:001	12	Ussia	PR.SG.GEN	Ussian
am001:001	-	(,)	PUNC	,␣
am001:001	14	Juuda	PR.SG.GEN	Juudan␣
am001:001	13	kuningas	SG.GEN	kuninkaan
am001:001	-	(,)	PUNC	,␣
am001:001	11b	päivä	PL.ESS	päivinä␣
am001:001	11a	%case	ESS	
am001:001	15a	ja	CNJ	ja␣
am001:001	16	Jerobeam	PR.SG.GEN	Jerobeamin
am001:001	-	(,)	PUNC	,␣
am001:001	18	Jooas	PR.SG.GEN	Jooaan␣
am001:001	17	poika	SG.GEN	pojan
am001:001	-	(,)	PUNC	,␣
am001:001	20	Israel	PR.SG.GEN	Israelin␣
am001:001	19	kuningas	SG.GEN	kuninkaan
am001:001	-	(,)	PUNC	,␣
am001:001	15c	päivä	PL.ESS	päivinä
am001:001	15b	%case	ESS	
am001:001	-	(,)	PUNC	,␣
am001:001	21	2	NUM.SG.NOM	kaksi␣
am001:001	21	vuosi	SG.PTV	vuotta␣
am001:001	22a 22b	ennen	PREP	ennen␣
am001:001	(23a) 23b	maan_järistys	SG.PTV	maanjäristystä
am001:001	-	(.)	PUNC	.␣
