lv001:001	lv001:001	lv001:001	VERSE	3Ms␣1:1␣
lv001:001	1a	ja	CNJ	Ja␣
lv001:001	5	Herra	SG.NOM	Herra␣
lv001:001	1b	kutsua	ACT.PAST.3S	kutsui␣
lv001:001	3	Mooses	PR.SG.GEN	Mooseksen␣
lv001:001	2	%case	GEN	
lv001:001	4a	ja	CNJ	ja␣
lv001:001	4b	puhua	ACT.PAST.3S	puhui␣
lv001:001	6	hän	PERS.SG.ALL	hänelle␣
lv001:001	7a	sisältä	POST	sisältä␣
lv001:001	7b 8	ilmestys_maja	SG.ELA	ilmestysmajasta␣
lv001:001	9a 9b	sanoa	ACT.INF2.MAN	sanoen
lv001:001	-	(:)	PUNC	:␣
lv001:002	lv001:002	lv001:002	VERSE	3Ms␣1:2␣
lv001:002	-	(")	PUNC.LEFT	"
lv001:002	1	puhua	ACT.IMP.2S	Puhu␣
lv001:002	3 4	israelilainen	DER.ADJ.PL.ALL	israelilaisille␣
lv001:002	2	%case	LOC	
lv001:002	5a	ja	CNJ	ja␣
lv001:002	5b	sanoa	ACT.PRES.NEG	sano␣
lv001:002	6	he	PERS.PL.ALL	heille
lv001:002	-	(:)	PUNC	:␣
lv001:002	8	jos	SUBORD	Jos␣
lv001:002	7	joku	INDEF.SG.NOM	joku␣
lv001:002	10	te	PERS.PL.ELA	teistä␣
lv001:002	tasp%9	tahtoa	ACT.PRES.3S	tahtoo␣
lv001:002	9	tuoda	INF1.LAT	tuoda␣
lv001:002	11	uhri_lahja	SG.GEN	uhrilahjan␣
lv001:002	12b	Herra	SG.ALL	Herralle
lv001:002	12a	%case	LOC	
lv001:002	-	(,)	PUNC	,␣
lv001:002	-	(niin)	ADV.AD-A	niin␣
lv001:002	19	tuoda	ACT.IMP.2P	tuokaa␣
lv001:002	21	uhri_lahja	NOM&SGGEN.-2	uhrilahjanne␣
lv001:002	20	%case	NOM.GEN	
lv001:002	(14a) 14b	karja	SG.ELA	karjasta
lv001:002	13	%case	LOC	
lv001:002	-	(,)	PUNC	,␣
lv001:002	-	(joko)	CNJ	joko␣
lv001:002	(16a) 16b	raavas	PL.ELA	raavaista␣
lv001:002	15	%case	LOC	
lv001:002	17a	tai	CNJ	tai␣
lv001:002	(18a) 18b	lammas	PL.ELA	lampaista
lv001:002	17b	%case	LOC	
lv001:002	-	(.)	PUNC	.␣
lv001:003	lv001:003	lv001:003	VERSE	3Ms␣1:3␣
lv001:003	1	jos	SUBORD	Jos␣
lv001:003	pers%3	hän	PERS.SG.GEN	hänen␣
lv001:003	3	uhri_lahja	NOM&SGGEN.-3	uhrilahjansa␣
lv001:003	-	(olla)	COP.ACT.PRES.3S	on␣
lv001:003	2 (5a) 5b	raavas_poltto_uhri	SG.NOM	raavaspolttouhri
lv001:003	4	%case	NOM	
lv001:003	-	(,)	PUNC	,␣
lv001:003	8	tuoda	ACT.IMP.3S	tuokoon␣
lv001:003	7	virheetön	DER.ADJ.SG.GEN	virheettömän␣
lv001:003	6	uros_puoli	SG.GEN	urospuolen
lv001:003	-	(;)	PUNC	;␣
lv001:003	11 12	ilmestys_maja	SG.GEN	ilmestysmajan␣
lv001:003	10	ovi	SG.ALL	ovelle␣
lv001:003	9	%case	LOC	
lv001:003	13	(hän)	PERS.SG.NOM	hän␣
lv001:003	13	tuoda	ACT.IMP.3S	tuokoon␣
lv001:003	14	se	DEM.SG.GEN	sen
lv001:003	-	(,)	PUNC	,␣
lv001:003	15a	että	SUBORD	että␣
lv001:003	17	Herra	SG.GEN	Herran␣
lv001:003	16a 16b	%case	GEN	
lv001:003	15b	mieli_suosio	SG.NOM	mielisuosio␣
lv001:003	-	(tulla)	ACT.COND.3S	tulisi␣
lv001:003	pers%15b	hän	PERS.SG.GEN	hänen␣
lv001:003	sem%15b	osa	SG.TRA.-3	osaksensa
lv001:003	-	(.)	PUNC	.␣
lv001:004	lv001:004	lv001:004	VERSE	3Ms␣1:4␣
lv001:004	1a	ja	CNJ	Ja␣
lv001:004	1b	(hän)	PERS.SG.NOM	hän␣
lv001:004	1b	laskea	ACT.IMP.3S	laskekoon␣
lv001:004	2	käsi	NOM&SGGEN.-3	kätensä␣
lv001:004	(5a) 5b	poltto_uhri_teuras	SG.GEN	polttouhriteuraan␣
lv001:004	4	pää	SG.GEN	pään␣
lv001:004	3	päälle	PREP	päälle
lv001:004	-	(;)	PUNC	;␣
lv001:004	6a	niin	ADV.AD-A	niin␣
lv001:004	6b	(se)	DEM.SG.NOM	se␣
lv001:004	6b	(olla)	COP.ACT.PRES.3S	on␣
lv001:004	6b	olla	COP.ACT.PCP1.FUTR	oleva␣
lv001:004	6b	otollinen	DER.ADJ.SG.NOM	otollinen␣
lv001:004	-	(ja)	CNJ	ja␣
lv001:004	(7)	-	UNTRANSLATED	
lv001:004	8b	tuottaa	ACT.PCP1.FUTR	tuottava␣
lv001:004	8a	%case	NOM	
lv001:004	9	hän	PERS.SG.ALL	hänelle␣
lv001:004	8b	sovitus	DER.SG.GEN	sovituksen
lv001:004	-	(.)	PUNC	.␣
lv001:005	lv001:005	lv001:005	VERSE	3Ms␣1:5␣
lv001:005	1a	ja	CNJ	Ja␣
lv001:005	1b	(hän)	PERS.SG.NOM	hän␣
lv001:005	1b	teurastaa	ACT.IMP.3S	teurastakoon␣
lv001:005	3 (4a) 4b	mullikka	ADJ.SG.GEN	mullikan␣
lv001:005	2	%case	GEN	
lv001:005	6	Herra	SG.GEN	Herran␣
lv001:005	5b	kasvot	PL.GEN	kasvojen␣
lv001:005	5a	edessä	PREP	edessä
lv001:005	-	(,)	PUNC	,␣
lv001:005	7a	ja	CNJ	ja␣
lv001:005	(10a) 10b	pappi	PL.NOM	papit
lv001:005	-	(,)	PUNC	,␣
lv001:005	9	Aaron	PR.SG.GEN	Aaronin␣
lv001:005	8	poika	PL.NOM	pojat
lv001:005	-	(,)	PUNC	,␣
lv001:005	7b	tuoda	ACT.IMP.3P	tuokoot␣
lv001:005	(12a) 12b	veri	SG.GEN	veren␣
lv001:005	11	%case	GEN	
lv001:005	13a	ja	CNJ	ja␣
lv001:005	13b	vihmoa	ACT.IMP.3P	vihmokoot␣
lv001:005	(15a) 15b	veri	SG.GEN	veren␣
lv001:005	14	%case	GEN	
lv001:005	18	ympäri	ADV.-3	ympärinsä␣
