2p001:001	2p001:001	2p001:001	VERSE	2Pt␣1:1␣
2p001:001	1	Simeon	PR.SG.NOM	Simeon␣
2p001:001	2	Pietari	PR.SG.NOM	Pietari
2p001:001	-	(,)	PUNC	,␣
2p001:001	6	Jeesus	PR.SG.GEN	Jeesuksen␣
2p001:001	7	Kristus	PR.SG.GEN	Kristuksen␣
2p001:001	3	palvelija	DER.SG.NOM	palvelija␣
2p001:001	4	ja	CNJ	ja␣
2p001:001	5	apostoli	SG.NOM	apostoli
2p001:001	-	(,)	PUNC	,␣
2p001:001	8	ne	DEM.PL.ALL	niille
2p001:001	-	(,)	PUNC	,␣
2p001:001	8	joka	REL.PL.NOM	jotka␣
2p001:001	11	(olla)	COP.ACT.PRES.3P	ovat␣
2p001:001	11	saada	ACT.PCP2.PERF	saaneet␣
2p001:001	9	yhtä	AD-A	yhtä␣
2p001:001	9	kallis	ADJ.SG.GEN	kalliin␣
2p001:001	12	usko	SG.GEN	uskon␣
2p001:001	9	kuin	SUBORD	kuin␣
2p001:001	10	me	PERS.PL.NOM.-CLITIC	mekin␣
2p001:001	17	me	PERS.PL.GEN	meidän␣
2p001:001	(15) 16	Jumala	NOM&SGGEN.-1	Jumalamme␣
2p001:001	18	ja	CNJ	ja␣
2p001:001	19	Vapahtaja	SG.GEN	Vapahtajan␣
2p001:001	20	Jeesus	PR.SG.GEN	Jeesuksen␣
2p001:001	21a	Kristus	PR.SG.GEN	Kristuksen␣
2p001:001	14	vanhurskaus	DER.SG.INE	vanhurskaudessa
2p001:001	13	%case	LOC	
2p001:001	21b	.	PUNC	.␣
2p001:002	2p001:002	2p001:002	VERSE	2Pt␣1:2␣
2p001:002	1	armo	SG.NOM	Armo␣
2p001:002	3	ja	CNJ	ja␣
2p001:002	4	rauha	SG.NOM	rauha␣
2p001:002	5	lisääntyä	ACT.IMP.3S	lisääntyköön␣
2p001:002	2	te	PERS.PL.ALL	teille␣
2p001:002	(8) 9	Jumala	SG.GEN	Jumalan␣
2p001:002	10	ja	CNJ	ja␣
2p001:002	14a	me	PERS.PL.GEN	meidän␣
2p001:002	(12) 13	Herra	NOM&SGGEN.-1	Herramme␣
2p001:002	11	Jeesus	PR.SG.GEN	Jeesuksen␣
2p001:002	7	tunteminen	DER.SG.GEN	tuntemisen␣
2p001:002	6	kautta	PREP	kautta
2p001:002	14b	.	PUNC	.␣
2p001:003	2p001:003	2p001:003	VERSE	2Pt␣1:3␣
2p001:003	1	koska	SUBORD	Koska␣
2p001:003	7	hän	PERS.SG.GEN	hänen␣
2p001:003	5	jumalallinen	DER.ADJ.SG.NOM	jumalallinen␣
2p001:003	(4) 6	voima	DER.NOM&SGGEN.-3	voimansa␣
2p001:003	13	(olla)	COP.ACT.PRES.3S	on␣
2p001:003	13	lahjoittaa	ACT.PCP2.PERF	lahjoittanut␣
2p001:003	3	me	PERS.PL.ALL	meille␣
2p001:003	2	kaikki	INDEF.SG.GEN	kaiken
2p001:003	-	(,)	PUNC	,␣
2p001:003	8	mikä	INT.REL.INDEF.SG.NOM	mikä␣
2p001:003	10	elämä	DER.SG.ILL	elämään␣
2p001:003	11	ja	CNJ	ja␣
2p001:003	12	jumalisuus	DER.SG.ILL	jumalisuuteen␣
2p001:003	pro%9	tarvita	PSS.PRES	tarvitaan
2p001:003	-	(,)	PUNC	,␣
2p001:003	17	hän	PERS.SG.GEN	hänen␣
2p001:003	(15) 16	tunteminen	DER.NOM&SGGEN.-3	tuntemisensa␣
2p001:003	14	kautta	PREP	kautta
2p001:003	-	(,)	PUNC	,␣
2p001:003	17	joka	REL.INDEF.SG.NOM	joka␣
2p001:003	18	(olla)	COP.ACT.PRES.3S	on␣
2p001:003	18	kutsua	ACT.PCP2.PERF	kutsunut␣
2p001:003	19	me	PERS.PL.ACC	meidät␣
2p001:003	21	kirkkaus	DER.SG.ADE.-3	kirkkaudellaan␣
2p001:003	20	%pers	3	
2p001:003	22	ja	CNJ	ja␣
2p001:003	23a	täydellisyys	DER.SG.ADE.-3	täydellisyydellään
2p001:003	23b	,	PUNC	,␣
2p001:004	2p001:004	2p001:004	VERSE	2Pt␣1:4␣
2p001:004	2	joka	REL.PL.GEN	joiden␣
2p001:004	1	kautta	PREP	kautta␣
2p001:004	9a	(hän)	PERS.SG.NOM	hän␣
2p001:004	9a	(olla)	COP.ACT.PRES.3S	on␣
2p001:004	9a	lahjoittaa	ACT.PCP2.PERF	lahjoittanut␣
2p001:004	7	me	PERS.PL.ALL	meille␣
2p001:004	4	kallis	ADJ.PL.NOM	kalliit␣
2p001:004	5	ja	CNJ	ja␣
2p001:004	6	mikä	INT.REL.SG.PTV	mitä␣
2p001:004	6	suuri	ADJ.SUP.PL.NOM	suurimmat␣
2p001:004	(3) 8	lupaus	DER.PL.NOM	lupaukset
2p001:004	9b	,	PUNC	,␣
2p001:004	10	että	SUBORD	että␣
2p001:004	13	(te)	PERS.PL.NOM	te␣
2p001:004	12	ne	DEM.PL.GEN	niiden␣
2p001:004	11	kautta	PREP	kautta␣
2p001:004	13	tulla	ACT.COND.2P	tulisitte␣
2p001:004	14	jumalallinen	DER.ADJ.SG.ELA	jumalallisesta␣
2p001:004	16	luonto	SG.ELA	luonnosta␣
2p001:004	15	osallinen	DER.ADJ.PL.TRA	osallisiksi␣
2p001:004	-	(ja)	CNJ	ja␣
2p001:004	17	pelastua	DER.ACT.COND.2P	pelastuisitte␣
2p001:004	18	se	DEM.SG.ELA	siitä␣
2p001:004	24a	turmelus	SG.ELA	turmeluksesta
2p001:004	-	(,)	PUNC	,␣
2p001:004	18	joka	REL.INDEF.SG.NOM	joka␣
2p001:004	(20) 21	maailma	SG.INE	maailmassa␣
2p001:004	19	%case	LOC	
2p001:004	23	himo	PL.GEN	himojen␣
2p001:004	22	tähden	POST	tähden␣
2p001:004	-	(vallita)	ACT.PRES.3S	vallitsee
2p001:004	24b	,	PUNC	,␣
2p001:005	2p001:005	2p001:005	VERSE	2Pt␣1:5␣
2p001:005	1	niin	ADV.AD-A	niin␣
2p001:005	7	pyrkiä	ACT.IMP.2P	pyrkikää␣
2p001:005	2	juuri	ADV	juuri␣
2p001:005	3	sen_tähden	ADV	sentähden␣
2p001:005	(4)	-	UNTRANSLATED	
2p001:005	6	kaikki	INDEF.SG.ADE	kaikella␣
2p001:005	5	ahkeruus	DER.SG.ADE	ahkeruudella␣
2p001:005	8	osoittaa	INF3.ILL	osoittamaan␣
2p001:005	(10) 11	usko	SG.INE.-2	uskossanne␣
2p001:005	12	%pers	?	
2p001:005	9	%case	LOC	
2p001:005	(13) 14a	avu	PL.PTV	avuja
2p001:005	14b	,	PUNC	,␣
2p001:005	(17) 18	avu	PL.INE	avuissa␣
2p001:005	15	%case	LOC	
2p001:005	(16)	-	UNTRANSLATED	
2p001:005	(19) 20a	ymmärtäväisyys	DER.SG.PTV	ymmärtäväisyyttä
2p001:005	20b	,	PUNC	,␣
2p001:006	2p001:006	2p001:006	VERSE	2Pt␣1:6␣
2p001:006	(3) 4	ymmärtäväisyys	DER.SG.INE	ymmärtäväisyydessä␣
2p001:006	1	%case	LOC	
2p001:006	(2)	-	UNTRANSLATED	
2p001:006	(5) 6a	itse	REFL.NOM&SGGEN.-2	itsenne␣
2p001:006	(5) 6a	hillitseminen	DER.SG.PTV	hillitsemistä
2p001:006	6b	,	PUNC	,␣
2p001:006	10 (9)	itse	REFL.NOM&SGGEN.-2	itsenne␣
2p001:006	10 (9)	hillitseminen	DER.SG.INE	hillitsemisessä␣
2p001:006	7	%case	LOC	
2p001:006	(8)	-	UNTRANSLATED	
2p001:006	(11) 12a	kärsivällisyys	DER.SG.PTV	kärsivällisyyttä
2p001:006	12b	,	PUNC	,␣
2p001:006	(15) 16	kärsivällisyys	DER.SG.INE	kärsivällisyydessä␣
2p001:006	13	%case	LOC	
2p001:006	(14)	-	UNTRANSLATED	
