mt001:001	mt001:001	mt001:001	VERSE	Mt␣1:1␣
mt001:001	3	Jeesus	PR.SG.GEN	Jeesuksen␣
mt001:001	4	Kristus	PR.SG.GEN	Kristuksen
mt001:001	-	(,)	PUNC	,␣
mt001:001	6	Daavid	PR.SG.GEN	Daavidin␣
mt001:001	5	poika	SG.GEN	pojan
mt001:001	-	(,)	PUNC	,␣
mt001:001	8a	Aabraham	PR.SG.GEN	Aabrahamin␣
mt001:001	7	poika	SG.GEN	pojan
mt001:001	-	(,)	PUNC	,␣
mt001:001	1 2	synty_kirja	SG.NOM	syntykirja
mt001:001	8b	.	PUNC	.␣
mt001:002	mt001:002	mt001:002	VERSE	Mt␣1:2␣
mt001:002	1	Aabraham	PR.SG.ALL	Aabrahamille␣
mt001:002	2	syntyä	ACT.PAST.3S	syntyi␣
mt001:002	(3) 4a	Iisak	PR.SG.NOM	Iisak
mt001:002	4b	,	PUNC	,␣
mt001:002	5	Iisak	PR.SG.ALL	Iisakille␣
mt001:002	(6)	-	UNTRANSLATED	
mt001:002	7	syntyä	ACT.PAST.3S	syntyi␣
mt001:002	(8) 9a	Jaakob	PR.SG.NOM	Jaakob
mt001:002	9b	,	PUNC	,␣
mt001:002	10	Jaakob	PR.SG.ALL	Jaakobille␣
mt001:002	(11)	-	UNTRANSLATED	
mt001:002	12	syntyä	ACT.PAST.3S	syntyi␣
mt001:002	(13) 14	Juuda	PR.SG.NOM	Juuda␣
mt001:002	15	ja	CNJ	ja␣
mt001:002	18a	tämä	DEM.SG.GEN	tämän␣
mt001:002	(16) 17	veli	PL.NOM	veljet
mt001:002	18b	;	PUNC	;␣
mt001:003	mt001:003	mt001:003	VERSE	Mt␣1:3␣
mt001:003	1	Juuda	PR.SG.ALL	Juudalle␣
mt001:003	(2)	-	UNTRANSLATED	
mt001:003	3	syntyä	ACT.PAST.3S	syntyi␣
mt001:003	(4) 5	Faares	PR.SG.NOM	Faares␣
mt001:003	6	ja	CNJ	ja␣
mt001:003	(7) 8	Sera	PR.SG.NOM	Sera␣
mt001:003	(10) 11a	Taamar	PR.SG.ELA	Taamarista
mt001:003	9	%case	LOC	
mt001:003	11b	,	PUNC	,␣
mt001:003	12	Faares	PR.SG.ALL	Faareelle␣
mt001:003	(13)	-	UNTRANSLATED	
mt001:003	14	syntyä	ACT.PAST.3S	syntyi␣
