2t001:001	2t001:001	2t001:001	VERSE	2Tm␣1:1␣
2t001:001	1	Paavali	PR.SG.NOM	Paavali
2t001:001	-	(,)	PUNC	,␣
2t001:001	7	Jumala	SG.GEN	Jumalan␣
2t001:001	6	tahto	SG.ELA	tahdosta␣
2t001:001	5	%case	LOC	
2t001:001	3	Kristus	PR.SG.GEN	Kristuksen␣
2t001:001	4	Jeesus	PR.SG.GEN	Jeesuksen␣
2t001:001	2	apostoli	SG.NOM	apostoli
2t001:001	-	(,)	PUNC	,␣
2t001:001	2	lähettää:lähetetty	PSS.PCP2.SG.NOM	lähetetty␣
2t001:001	-	(julistaa)	INF3.ILL	julistamaan␣
2t001:001	9	lupaus	DER.SG.PTV	lupausta␣
2t001:001	8	%case	PTV	
2t001:001	-	(se)	DEM.SG.ELA	siitä␣
2t001:001	10	elämä	DER.SG.ELA	elämästä
2t001:001	-	(,)	PUNC	,␣
2t001:001	11	joka	REL.INDEF.SG.NOM	joka␣
2t001:001	-	(olla)	COP.ACT.PRES.3S	on␣
2t001:001	13	Kristus	PR.SG.INE	Kristuksessa␣
2t001:001	14	Jeesus	PR.SG.INE	Jeesuksessa
2t001:001	12	%case	LOC	
2t001:001	-	(,)	PUNC	,␣
2t001:002	2t001:002	2t001:002	VERSE	2Tm␣1:2␣
2t001:002	2	rakas	ADJ.SG.ALL	rakkaalle␣
2t001:002	3a	poika	SG.ALL.-1	pojalleni␣
2t001:002	1	Timoteus	PR.SG.ALL	Timoteukselle
2t001:002	3b	.	PUNC	.␣
2t001:002	4	armo	SG.NOM	Armo
2t001:002	-	(,)	PUNC	,␣
2t001:002	5	laupeus	SG.NOM	laupeus␣
2t001:002	-	(ja)	CNJ	ja␣
2t001:002	6	rauha	SG.NOM	rauha␣
2t001:002	9	Isä	SG.ABL	Isältä␣
2t001:002	8	Jumala	SG.ABL	Jumalalta␣
2t001:002	7	%case	LOC	
2t001:002	10	ja	CNJ	ja␣
2t001:002	11	Kristus	PR.SG.ABL	Kristukselta␣
2t001:002	12	Jeesus	PR.SG.ABL	Jeesukselta
2t001:002	-	(,)	PUNC	,␣
2t001:002	15a	me	PERS.PL.GEN	meidän␣
2t001:002	(13) 14	Herra	SG.ABL.-1	Herraltamme
2t001:002	-	(!)	PUNC	!␣
2t001:003	2t001:003	2t001:003	VERSE	2Tm␣1:3␣
2t001:003	1 2	(minä)	PERS.SG.NOM	Minä␣
2t001:003	1 2	kiittää	ACT.PRES.1S	kiitän␣
2t001:003	(3) 4a	Jumala	SG.PTV	Jumalaa
2t001:003	4b	,	PUNC	,␣
2t001:003	5	joka	REL.SG.PTV	jota␣
2t001:003	8	esi_vanhemmat	PL.ELA.-1	esivanhemmistani␣
2t001:003	7	asti	POST	asti␣
2t001:003	6	palvella	ACT.PRES.1S	palvelen␣
2t001:003	10	puhdas	ADJ.SG.ADE	puhtaalla␣
2t001:003	11a	oma_tunto	SG.ADE	omallatunnolla␣
2t001:003	9	%case	LOC	
2t001:003	11b	-	PUNC	-␣
2t001:003	12	samoin_kuin	SUBORD	samoinkuin␣
2t001:003	14 (15) 18	(minä)	PERS.SG.NOM	minä␣
2t001:003	13	lakata	INF3.ABE	lakkaamatta␣
2t001:003	14 (15) 18	muistaa	ACT.PRES.1S	muistan␣
2t001:003	17	sinä	PERS.SG.PTV	sinua␣
2t001:003	16	%case	PTV	
2t001:003	(20) 21	rukous	PL.INE.-1	rukouksissani␣
2t001:003	22	%pers	?	
2t001:003	19	%case	LOC	
