hb001:001	hb001:001	hb001:001	VERSE	Heb␣1:1␣
hb001:001	-	(sitten_kuin)	SUB	Sittenkuin␣
hb001:001	(5) 6	Jumala	SG.NOM	Jumala␣
hb001:001	4	muinoin	ADV	muinoin␣
hb001:001	1	monesti	ADV	monesti␣
hb001:001	2	ja	CNJ	ja␣
hb001:001	3	moni	INDEF.SG.ADE	monella␣
hb001:001	3	tapa	SG.PTV	tapaa␣
hb001:001	7	(olla)	COP.ACT.PAST.3S	oli␣
hb001:001	7	puhua	ACT.PCP2.PERF	puhunut␣
hb001:001	(8) 9	isä	PL.ALL	isille␣
hb001:001	(11) 12	profeetta	PL.GEN	profeettain␣
hb001:001	10	kautta	PREP	kautta
hb001:001	-	(,)	PUNC	,␣
hb001:002	hb001:002	hb001:002	VERSE	Heb␣1:2␣
hb001:002	6	(olla)	COP.ACT.PRES.3S	on␣
hb001:002	6	(hän)	PERS.SG.NOM	hän␣
hb001:002	5	nämä	DEM.PL.ESS	näinä␣
hb001:002	2	viimeinen	ADJ.PL.ESS	viimeisinä␣
hb001:002	1	%case	ESS	
hb001:002	(3) 4	päivä	PL.ESS	päivinä␣
hb001:002	6	puhua	ACT.PCP2.PERF	puhunut␣
hb001:002	7	me	PERS.PL.ALL	meille␣
hb001:002	9a	Poika	SG.GEN	Pojan␣
hb001:002	8	kautta	PREP	kautta
hb001:002	9b	,	PUNC	,␣
hb001:002	10	joka	REL.SG.GEN	jonka␣
hb001:002	11	(hän)	PERS.SG.NOM	hän␣
hb001:002	11	(olla)	COP.ACT.PRES.3S	on␣
hb001:002	11	panna	ACT.PCP2.PERF	pannut␣
hb001:002	13a	kaikki	INDEF.SG.GEN	kaiken␣
hb001:002	12	perillinen	SG.TRA	perilliseksi
hb001:002	13b	,	PUNC	,␣
hb001:002	15	joka	REL.SG.GEN	jonka␣
hb001:002	14	kautta	PREP	kautta␣
hb001:002	17	(hän)	PERS.SG.NOM	hän␣
hb001:002	16	myös	ADV	myös␣
hb001:002	17	(olla)	COP.ACT.PRES.3S	on␣
hb001:002	(18) 19a	maailma	SG.GEN	maailman␣
hb001:002	17	luoda	ACT.PCP2.PERF	luonut␣
hb001:003	hb001:003	hb001:003	VERSE	Heb␣1:3␣
hb001:003	-	(ja)	CNJ	ja␣
hb001:003	1	joka	REL.INDEF.SG.NOM	joka
hb001:003	-	(,)	PUNC	,␣
hb001:003	2	olla	COP.ACT.INF2.MAN	ollen␣
hb001:003	-	(hän)	PERS.SG.GEN	hänen␣
hb001:003	(4) 5	kirkkaus	DER.NOM&SGGEN.-3	kirkkautensa␣
hb001:003	3	säteily	DER.SG.NOM	säteily␣
hb001:003	6	ja	CNJ	ja␣
hb001:003	10a	hän	PERS.SG.GEN	hänen␣
hb001:003	(8) 9	olemus	NOM&SGGEN.-3	olemuksensa␣
hb001:003	7	kuva	SG.NOM	kuva␣
hb001:003	12	ja	CNJ	ja␣
hb001:003	11	kantaa	ACT.INF2.MAN	kantaen␣
hb001:003	(13) 14	kaikki	INDEF.SG.NOM	kaikki␣
hb001:003	(17) 18	voima	DER.NOM&SGGEN.-3	voimansa␣
hb001:003	19a	%pers	3	
hb001:003	(15) 16	sana	SG.ADE	sanalla
hb001:003	19b	,	PUNC	,␣
hb001:003	24	(olla)	COP.ACT.PRES.3S	on
hb001:003	-	(,)	PUNC	,␣
hb001:003	23	toimittaa	DER.PSS.PCP2.-3.TEMP	toimitettuaan␣
hb001:003	20	puhdistus	DER.SG.GEN	puhdistuksen␣
hb001:003	(21) 22	synti	PL.ELA	synneistä
hb001:003	-	(,)	PUNC	,␣
hb001:003	24	istua	ACT.PCP2.PERF	istunut␣
hb001:003	(27) 28	Majesteetti	SG.GEN	Majesteetin␣
hb001:003	26	oikea	ADJ.SG.ALL	oikealle␣
hb001:003	26	puoli=sivu,osapuoli,alue	SG.ALL	puolelle␣
hb001:003	25	%case	LOC	
hb001:003	30a	korkeus	DER.PL.INE	korkeuksissa
hb001:003	29	%case	LOC	
hb001:003	30b	,	PUNC	,␣
hb001:004	hb001:004	hb001:004	VERSE	Heb␣1:4␣
hb001:004	3	tulla	ACT.INF2.MAN	tullen␣
hb001:004	(4) 5	enkeli	PL.PTV	enkeleitä␣
hb001:004	1	niin	ADV.AD-A	niin␣
hb001:004	1	paljo	ADJ.SG.PTV	paljoa␣
hb001:004	2	korkea	ADJ.CMP.SG.TRA	korkeammaksi
hb001:004	-	(,)	PUNC	,␣
hb001:004	6	kuin	SUBORD	kuin␣
hb001:004	-	(hän)	PERS.SG.GEN	hänen␣
hb001:004	10	periä:perimä	PCPA.NOM&SGGEN.-3	perimänsä␣
hb001:004	11a	nimi	SG.NOM	nimi␣
hb001:004	7	olla	COP.ACT.PRES.3S	on␣
hb001:004	7	jalo	ADJ.CMP.SG.NOM	jalompi␣
hb001:004	8	kuin	SUBORD	kuin␣
hb001:004	9	he	PERS.PL.GEN	heidän
hb001:004	11b	.	PUNC	.␣
hb001:005	hb001:005	hb001:005	VERSE	Heb␣1:5␣
hb001:005	2	sillä	SUBORD	Sillä␣
hb001:005	1	kuka	INT.SG.ALL	kenelle␣
hb001:005	(5) 6a	enkeli	PL.ELA	enkeleistä␣
