2x001:001	2x001:001	2x001:001	VERSE	2Ak␣1:1␣
2x001:001	(1a)	-	UNTRANSLATED	
2x001:001	2	Salomo	PR.SG.NOM	Salomo
2x001:001	-	(,)	PUNC	,␣
2x001:001	4	Daavid	PR.SG.GEN	Daavidin␣
2x001:001	3	poika	SG.NOM	poika
2x001:001	-	(,)	PUNC	,␣
2x001:001	1b	vahvistua	DER.ACT.PAST.3S	vahvistui␣
2x001:001	6	kuninkuus	DER.SG.INE.-3	kuninkuudessansa
2x001:001	5	%case	LOC	
2x001:001	-	(,)	PUNC	,␣
2x001:001	7a	ja	CNJ	ja␣
2x001:001	7b	Herra	SG.NOM	Herra
2x001:001	-	(,)	PUNC	,␣
2x001:001	pers%8	hän	PERS.SG.GEN	hänen␣
2x001:001	8	Jumala	NOM&SGGEN.-3	Jumalansa
2x001:001	-	(,)	PUNC	,␣
2x001:001	-	(olla)	COP.ACT.PAST.3S	oli␣
2x001:001	pers%9	hän	PERS.SG.GEN	hänen␣
2x001:001	9	kanssa	POST.-3	kanssansa␣
2x001:001	10a	ja	CNJ	ja␣
2x001:001	10b	tehdä	ACT.PAST.3S	teki␣
2x001:001	pers%10b	hän	PERS.SG.ACC	hänet␣
2x001:001	11b	ylen	AD-A	ylen␣
2x001:001	11a	%case	?	
2x001:001	10b	suuri	ADJ.SG.TRA	suureksi
2x001:001	-	(.)	PUNC	.␣
2x001:002	2x001:002	2x001:002	VERSE	2Ak␣1:2␣
2x001:002	1a	ja	CNJ	Ja␣
2x001:002	2	Salomo	PR.SG.NOM	Salomo␣
2x001:002	1b	antaa	ACT.PAST.3S	antoi␣
2x001:002	1b	kutsu	SG.GEN	kutsun␣
2x001:002	3b	koko	ADJ	koko␣
2x001:002	3a	%case	?	
2x001:002	4	Israel	PR.SG.ALL	Israelille
2x001:002	-	(,)	PUNC	,␣
2x001:002	(6a) 6b	tuhannen_pää_mies	PL.ALL	tuhannen-~/tuhannenpäämiehille␣
2x001:002	7a	ja	CNJ	ja␣
2x001:002	5b (7b) 7c	sadan_pää_mies	PL.ALL	sadanpäämiehille
2x001:002	5a	%case	LOC	
2x001:002	(8a)	-	UNTRANSLATED	
2x001:002	-	(,)	PUNC	,␣
2x001:002	8c	tuomari	PL.ALL	tuomareille␣
2x001:002	8b	%case	LOC	
2x001:002	9a	ja	CNJ	ja␣
2x001:002	9c	kaikki	INDEF.PL.ALL	kaikille␣
2x001:002	9b	%case	LOC	
