nu001:001	nu001:001	nu001:001	VERSE	4Ms␣1:1␣
nu001:001	1a	ja	CNJ	Ja␣
nu001:001	2	Herra	SG.NOM	Herra␣
nu001:001	1b	puhua	ACT.PAST.3S	puhui␣
nu001:001	4	Mooses	PR.SG.ALL	Moosekselle␣
nu001:001	3	%case	LOC	
nu001:001	6	Siinai	PR.SG.GEN	Siinain␣
nu001:001	5b	erä_maa	SG.INE	erämaassa␣
nu001:001	5a	%case	LOC	
nu001:001	7b 8	ilmestys_maja	SG.INE	ilmestysmajassa␣
nu001:001	7a	%case	LOC	
nu001:001	(11a) 11b		ORD.SG.GEN	toisen␣
nu001:001	10b	kuu_kausi	SG.GEN	kuukauden␣
nu001:001	10a	%case	GEN	
nu001:001	9b		ORD.SG.ESS	ensimmäisenä␣
nu001:001	9a	%case	ESS	
nu001:001	sem%9b	päivä	SG.ESS	päivänä
nu001:001	-	(,)	PUNC	,␣
nu001:001	(13a) 13b		ORD.SG.ESS	toisena␣
nu001:001	12b	vuosi	SG.ESS	vuotena␣
nu001:001	12a	%case	ESS	
nu001:001	-	(se)	DEM.SG.ELA	siitä
nu001:001	-	(,)	PUNC	,␣
nu001:001	14a	kun	SUBORD	kun␣
nu001:001	pers%14b	he	PERS.PL.NOM	he␣
nu001:001	14b	(olla)	COP.ACT.PAST.3P	olivat␣
nu001:001	14b	lähteä	ACT.PCP2.PERF	lähteneet␣
nu001:001	16	Egypti	PR.SG.GEN	Egyptin␣
nu001:001	15b	maa	SG.ELA	maasta
nu001:001	15a	%case	LOC	
nu001:001	-	(,)	PUNC	,␣
nu001:001	17a 17b	sanoa	ACT.INF2.MAN	sanoen
nu001:001	-	(:)	PUNC	:␣
nu001:002	nu001:002	nu001:002	VERSE	4Ms␣1:2␣
nu001:002	-	(")	PUNC.LEFT	"
nu001:002	1	laskea	ACT.IMP.2P	Laskekaa␣
nu001:002	4	koko	ADJ	koko␣
nu001:002	6 7	Israel	PR.SG.GEN	Israelin␣
nu001:002	5	kansa	SG.GEN	kansan␣
nu001:002	3	väki_luku	SG.NOM	väkiluku␣
nu001:002	2	%case	NOM	
nu001:002	8b	suvuittain	DER.ADV	suvuittain␣
nu001:002	8a	%case	?	
nu001:002	-	(ja)	CNJ	ja␣
nu001:002	10 9b	perhe_kunnittain	DER.ADV	perhekunnittain
nu001:002	9a	%case	?	
nu001:002	-	(,)	PUNC	,␣
nu001:002	12	nimi	PL.GEN	nimien␣
nu001:002	11b	luku_määrä	SG.GEN	lukumäärän␣
nu001:002	11a	mukaan	POST	mukaan
nu001:002	-	(,)	PUNC	,␣
nu001:002	13	kaikki	INDEF.SG.NOM	kaikki␣
nu001:002	14	miehen_puoli	PL.NOM	miehenpuolet
nu001:002	-	(,)	PUNC	,␣
nu001:002	15b	pää_luku	SG.GEN	pääluvun␣
nu001:002	15a	mukaan	POST	mukaan
nu001:002	-	(.)	PUNC	.␣
nu001:003	nu001:003	nu001:003	VERSE	4Ms␣1:3␣
nu001:003	9	pitää	ACT.IMP.2P	Pitäkää␣
nu001:003	9	katselmus	SG.NOM	katselmus
nu001:003	-	(,)	PUNC	,␣
nu001:003	12	sinä	PERS.SG.NOM	sinä␣
nu001:003	13a	ja	CNJ	ja␣
nu001:003	13b	Aaron	PR.SG.NOM	Aaron
nu001:003	-	(,)	PUNC	,␣
nu001:003	5	kaikki	INDEF.PL.ELA	kaikista␣
nu001:003	8b	Israel	PR.SG.GEN	Israelin␣
nu001:003	8a	%case	GEN	
nu001:003	6 7	sota_kelpoinen	ADJ.PL.ELA	sotakelpoisista␣
nu001:003	-	(mies)	PL.ELA	miehistä
nu001:003	-	(,)	PUNC	,␣
nu001:003	1b 2 3	kaksi_kymmenvuotinen	ADJ.PL.ELA	kaksikymmenvuotisista␣
nu001:003	1a	%case	LOC	
nu001:003	4a	ja	CNJ	ja␣
nu001:003	cli%4b	se	DEM.SG.PTV	sitä␣
nu001:003	4b	vanha	ADJ.CMP.PL.ELA	vanhemmista
nu001:003	-	(,)	PUNC	,␣
