ep001:001	ep001:001	ep001:001	VERSE	Ef␣1:1␣
ep001:001	1	Paavali	PR.SG.NOM	Paavali
ep001:001	-	(,)	PUNC	,␣
ep001:001	7	Jumala	SG.GEN	Jumalan␣
ep001:001	6	tahto	SG.ELA	tahdosta␣
ep001:001	5	%case	LOC	
ep001:001	3	Kristus	PR.SG.GEN	Kristuksen␣
ep001:001	4	Jeesus	PR.SG.GEN	Jeesuksen␣
ep001:001	2	apostoli	SG.NOM	apostoli
ep001:001	-	(,)	PUNC	,␣
ep001:001	13a	Efeso	PR.SG.INE	Efesossa␣
ep001:001	12	%case	LOC	
ep001:001	(10) 11a	olla:oleva	COP.ACT.PCP1.PL.ALL	oleville␣
ep001:001	(8) 9	pyhä	ADJ.PL.ALL	pyhille␣
ep001:001	14	ja	CNJ	ja␣
ep001:001	15	uskova	ADJ.PL.ALL	uskoville␣
ep001:001	17	Kristus	PR.SG.INE	Kristuksessa␣
ep001:001	18a	Jeesus	PR.SG.INE	Jeesuksessa
ep001:001	16	%case	LOC	
ep001:001	18b	.	PUNC	.␣
ep001:002	ep001:002	ep001:002	VERSE	Ef␣1:2␣
ep001:002	1	armo	SG.NOM	Armo␣
ep001:002	2	te	PERS.PL.ALL	teille␣
ep001:002	3	ja	CNJ	ja␣
ep001:002	4	rauha	SG.NOM	rauha␣
ep001:002	6	Jumala	SG.ABL	Jumalalta
ep001:002	5	%case	LOC	
ep001:002	-	(,)	PUNC	,␣
ep001:002	8	me	PERS.PL.GEN	meidän␣
ep001:002	7	Isä	SG.ABL.-1	Isältämme
ep001:002	-	(,)	PUNC	,␣
ep001:002	9	ja	CNJ	ja␣
ep001:002	10	Herra	SG.ABL	Herralta␣
ep001:002	11	Jeesus	PR.SG.ABL	Jeesukselta␣
ep001:002	12a	Kristus	PR.SG.ABL	Kristukselta
ep001:002	12b	!	PUNC	!␣
ep001:003	ep001:003	ep001:003	VERSE	Ef␣1:3␣
ep001:003	1	ylistää:ylistetty	PSS.PCP2.SG.NOM	Ylistetty␣
ep001:003	-	(olla)	COP.ACT.IMP.3S	olkoon␣
ep001:003	8	me	PERS.PL.GEN	meidän␣
ep001:003	(6) 7	Herra	NOM&SGGEN.-1	Herramme␣
ep001:003	9	Jeesus	PR.SG.GEN	Jeesuksen␣
ep001:003	10a	Kristus	PR.SG.GEN	Kristuksen␣
ep001:003	(2) 3	Jumala	SG.NOM	Jumala␣
ep001:003	4	ja	CNJ	ja␣
ep001:003	5	Isä	SG.NOM	Isä
ep001:003	10b	,	PUNC	,␣
ep001:003	11	joka	REL.INDEF.SG.NOM	joka␣
ep001:003	12	(olla)	COP.ACT.PRES.3S	on␣
ep001:003	12	siunata	ACT.PCP2.PERF	siunannut␣
ep001:003	13	me	PERS.PL.PTV	meitä␣
ep001:003	(19) 20	taivaallinen	DER.ADJ.PL.INE	taivaallisissa␣
ep001:003	18	%case	LOC	
ep001:003	15	kaikki	INDEF.SG.ADE	kaikella␣
ep001:003	17	hengellinen	DER.ADJ.SG.ADE	hengellisellä␣
ep001:003	16	siunaus	DER.SG.ADE	siunauksella␣
ep001:003	14	%case	LOC	
ep001:003	22a	Kristus	PR.SG.INE	Kristuksessa
ep001:003	21	%case	LOC	
ep001:003	22b	,	PUNC	,␣
ep001:004	ep001:004	ep001:004	VERSE	Ef␣1:4␣
ep001:004	1	niin_kuin	SUBORD	niinkuin␣
ep001:004	2	(hän)	PERS.SG.NOM	hän␣
ep001:004	6	ennen	PREP	ennen␣
ep001:004	(3)	-	UNTRANSLATED	
ep001:004	8	maailma	SG.GEN	maailman␣
ep001:004	7	perustaminen	DER.SG.PTV	perustamista␣
ep001:004	2	(olla)	COP.ACT.PAST.3S	oli␣
ep001:004	5	hän	PERS.SG.INE	hänessä␣
ep001:004	4	%case	LOC	
ep001:004	2	valita	ACT.PCP2.PERF	valinnut␣
ep001:004	10	me	PERS.PL.ACC	meidät␣
ep001:004	9	olla	COP.INF3.ILL	olemaan␣
ep001:004	11	pyhä	ADJ.PL.NOM	pyhät␣
ep001:004	12	ja	CNJ	ja␣
ep001:004	13	nuhteeton	DER.ADJ.PL.NOM	nuhteettomat␣
ep001:004	15	hän	PERS.SG.GEN	hänen␣
ep001:004	14	edessä	PREP.-3	edessään
ep001:004	-	(,)	PUNC	,␣
ep001:004	17a	rakkaus	DER.SG.INE	rakkaudessa
ep001:004	16	%case	LOC	
ep001:004	17b	,	PUNC	,␣
ep001:005	ep001:005	ep001:005	VERSE	Ef␣1:5␣
ep001:005	1	edeltä_päin	ADV	edeltäpäin␣
ep001:005	1	määrätä	ACT.INF2.MAN	määräten␣
ep001:005	2	me	PERS.PL.ACC	meidät␣
ep001:005	4	lapseus	SG.ILL	lapseuteen
ep001:005	3	%case	LOC	
ep001:005	-	(,)	PUNC	,␣
ep001:005	9a	hän	PERS.SG.GEN	hänen␣
ep001:005	pro%8	yhteys	SG.ILL.-3	yhteyteensä␣
ep001:005	6	Jeesus	PR.SG.GEN	Jeesuksen␣
ep001:005	7	Kristus	PR.SG.GEN	Kristuksen␣
ep001:005	5	kautta	PREP	kautta
ep001:005	9b	,	PUNC	,␣
ep001:005	15a	hän	PERS.SG.GEN	hänen␣
ep001:005	15a	(oma)	ADJ.SG.GEN	oman␣
ep001:005	(13) 14	tahto	NOM&SGGEN.-3	tahtonsa␣
ep001:005	(11) 12	mieli_suosio	SG.GEN	mielisuosion␣
ep001:005	10	mukaan	POST	mukaan
ep001:005	15b	,	PUNC	,␣
ep001:006	ep001:006	ep001:006	VERSE	Ef␣1:6␣
ep001:006	-	(se)	DEM.SG.GEN	sen␣
ep001:006	(4) 5	armo	NOM&SGGEN.-3	armonsa␣
ep001:006	6	%pers	3	
ep001:006	3	kirkkaus	DER.SG.GEN	kirkkauden␣
ep001:006	2	kiitos	SG.TRA	kiitokseksi
ep001:006	1	%case	TRA	
ep001:006	-	(,)	PUNC	,␣
ep001:006	7	mikä	INT.REL.SG.GEN	minkä␣
ep001:006	8	(hän)	PERS.SG.NOM	hän␣
ep001:006	8	(olla)	COP.ACT.PRES.3S	on␣
ep001:006	8	lahjoittaa	ACT.PCP2.PERF	lahjoittanut␣
ep001:006	9	me	PERS.PL.ALL	meille␣
ep001:006	11	se	DEM.SG.INE	siinä␣
ep001:006	12a	rakastettu	ADJ.SG.INE	rakastetussa
ep001:006	10	%case	LOC	
ep001:006	12b	,	PUNC	,␣
ep001:007	ep001:007	ep001:007	VERSE	Ef␣1:7␣
ep001:007	2	joka	REL.SG.INE	jossa␣
ep001:007	1	%case	LOC	
ep001:007	3	(me)	PERS.PL.ADE	meillä␣
ep001:007	3	olla	COP.ACT.PRES.3S	on␣
ep001:007	(4) 5	lunastus	DER.SG.NOM	lunastus␣
ep001:007	9a	hän	PERS.SG.GEN	hänen␣
