2k001:001	2k001:001	2k001:001	VERSE	2Kn␣1:1␣
2k001:001	(1a)	-	UNTRANSLATED	
2k001:001	6	Ahab	PR.SG.GEN	Ahabin␣
2k001:001	5	kuolema	DER.SG.GEN	kuoleman␣
2k001:001	4	jälkeen	PREP	jälkeen␣
2k001:001	2	Mooab	PR.SG.NOM	Mooab␣
2k001:001	1b	luopua	ACT.PAST.3S	luopui␣
2k001:001	3b	Israel	PR.SG.ELA	Israelista
2k001:001	3a	%case	LOC	
2k001:001	-	(.)	PUNC	.␣
2k001:002	2k001:002	2k001:002	VERSE	2Kn␣1:2␣
2k001:002	(1a)	-	UNTRANSLATED	
2k001:002	2	Ahasja	PR.SG.NOM	Ahasja␣
2k001:002	1b	pudota	ACT.PAST.3S	putosi␣
2k001:002	7b	Samaria	PR.SG.INE	Samariassa␣
2k001:002	6 7a	%case	LOC	
2k001:002	5b	ylä_sali	NOM&SGGEN.-3	yläsalinsa␣
2k001:002	5a	%case	NOM.GEN	
2k001:002	(4a) 4b	ristikko	SG.GEN	ristikon␣
2k001:002	3	läpi	PREP	läpi␣
2k001:002	8a	ja	CNJ	ja␣
2k001:002	8b	maata	ACT.PAST.3S	makasi␣
2k001:002	8b	sairas	ADJ.SG.ESS	sairaana
2k001:002	-	(.)	PUNC	.␣
2k001:002	9a	ja	CNJ	Ja␣
2k001:002	9b	(hän)	PERS.SG.NOM	hän␣
2k001:002	9b	lähettää	ACT.PAST.3S	lähetti␣
2k001:002	10	sanan_saattaja	DER.PL.PTV	sanansaattajia␣
2k001:002	11a	ja	CNJ	ja␣
2k001:002	11b	sanoa	ACT.PAST.3S	sanoi␣
2k001:002	12	he	PERS.PL.ALL	heille
2k001:002	-	(:)	PUNC	:␣
2k001:002	-	(")	PUNC.LEFT	"
2k001:002	13	mennä	ACT.IMP.2P	Menkää␣
2k001:002	-	(ja)	CNJ	ja␣
2k001:002	14	kysyä	ACT.IMP.2P	kysykää␣
2k001:002	15b	Baal-Sebub	PR.SG.ABL	Baal-Sebubilta
2k001:002	15a	%case	LOC	
2k001:002	-	(,)	PUNC	,␣
2k001:002	17	Ekron	PR.SG.GEN	Ekronin␣
2k001:002	16	jumala	SG.ABL	jumalalta
2k001:002	-	(,)	PUNC	,␣
2k001:002	19	toipua	ACT.PRES.1S.-CLITIC	toivunko␣
2k001:002	18	%clitic	kO	
2k001:002	19	(minä)	PERS.SG.NOM	minä␣
2k001:002	21	tämä	DEM.SG.ELA	tästä␣
2k001:002	20b	tauti	SG.ELA	taudista
2k001:002	20a	%case	LOC	
2k001:002	-	(")	PUNC.RIGHT	"
2k001:002	-	(.)	PUNC	.␣
2k001:003	2k001:003	2k001:003	VERSE	2Kn␣1:3␣
2k001:003	1a	mutta	CNJ	Mutta␣
2k001:003	2	Herra	SG.GEN	Herran␣
2k001:003	1b	enkeli	SG.NOM	enkeli␣
2k001:003	3	(olla)	COP.ACT.PAST.3S	oli␣
2k001:003	3	sanoa	ACT.PCP2.PERF	sanonut␣
2k001:003	(6a) 6b	tisbeläinen	DER.ADJ.SG.ALL	tisbeläiselle␣
2k001:003	5	Elia	PR.SG.ALL	Elialle
2k001:003	4	%case	LOC	
2k001:003	-	(:)	PUNC	:␣
2k001:003	-	(")	PUNC.LEFT	"
2k001:003	7	nousta	ACT.IMP.2S	Nouse␣
2k001:003	-	(ja)	CNJ	ja␣
2k001:003	8	mennä	ACT.PRES.NEG	mene␣
2k001:003	12	Samaria	PR.SG.GEN	Samarian␣
2k001:003	11	kuningas	SG.GEN	kuninkaan␣
2k001:003	10	sanan_saattaja	DER.PL.PTV	sanansaattajia␣
2k001:003	9b	vastaan	POST	vastaan␣
2k001:003	9a	%case	LOC	
2k001:003	13a	ja	CNJ	ja␣
2k001:003	13b	sanoa	ACT.PRES.NEG	sano␣
2k001:003	14	he	PERS.PL.ALL	heille
2k001:003	-	(:)	PUNC	:␣
2k001:003	-	(')	PUNC.LEFT	'
2k001:003	16	ei	NEGV.3S.-CLITIC	Eikö␣
2k001:003	15a	%clitic	kO	
2k001:003	(15b) (15c)	-	UNTRANSLATED	
2k001:003	16	olla	COP.ACT.PRES.NEG	ole␣
2k001:003	17	Jumala	SG.PTV	Jumalaa␣
2k001:003	18b	Israel	PR.SG.INE	Israelissa
2k001:003	18a	%case	LOC	
2k001:003	-	(,)	PUNC	,␣
2k001:003	-	(koska)	SUBORD	koska␣
2k001:003	20	mennä	ACT.PRES.2P	menette␣
2k001:003	19	%inflection	ACT.PRES.2P	
2k001:003	21b	kysyä	INF3.ILL	kysymään␣
2k001:003	21a	%case	LOC	
2k001:003	21b	neuvo	SG.PTV	neuvoa␣
2k001:003	22b	Baal-Sebub	PR.SG.ABL	Baal-Sebubilta
2k001:003	22a	%case	LOC	
2k001:003	-	(,)	PUNC	,␣
2k001:003	24	Ekron	PR.SG.GEN	Ekronin␣
2k001:003	23	jumala	SG.ABL	jumalalta
2k001:003	-	(?)	PUNC	?
2k001:003	-	(')	PUNC.RIGHT	'␣
2k001:004	2k001:004	2k001:004	VERSE	2Kn␣1:4␣
2k001:004	(1a)	-	UNTRANSLATED	
2k001:004	1c	sen_tähden	ADV	Sentähden␣
2k001:004	1b	%case	?	
2k001:004	3	sanoa	ACT.PRES.3S	sanoo␣
2k001:004	4	Herra	SG.NOM	Herra␣
2k001:004	2	näin	ADV.AD-A	näin
2k001:004	-	(:)	PUNC	:␣
2k001:004	-	(')	PUNC.LEFT	'
2k001:004	(5a) 5b	vuode	SG.ELA	Vuoteesta
2k001:004	-	(,)	PUNC	,␣
2k001:004	6	joka	REL.SG.ILL	johon␣
2k001:004	8	%case	LOC	
2k001:004	7	(olla)	COP.ACT.PRES.2S	olet␣
2k001:004	7	nousta	ACT.PCP2.PERF	noussut
2k001:004	-	(,)	PUNC	,␣
2k001:004	9	ei	NEGV.2S	et␣
2k001:004	10	(sinä)	PERS.SG.NOM	sinä␣
2k001:004	-	(enää)	ADV	enää␣
2k001:004	10	astua	ACT.PRES.NEG	astu␣
2k001:004	10	alas	ADV	alas
2k001:004	(11)	-	UNTRANSLATED	
2k001:004	-	(,)	PUNC	,␣
2k001:004	12	sillä	SUBORD	sillä␣
2k001:004	(13)	-	UNTRANSLATED	
2k001:004	14	(sinä)	PERS.SG.GEN	sinun␣
2k001:004	14	(olla)	COP.ACT.PRES.3S	on␣
2k001:004	14	kuolla	PSS.PCP1.NECE	kuoltava
2k001:004	-	(')	PUNC.RIGHT	'
2k001:004	-	(.)	PUNC	.
2k001:004	-	(")	PUNC.RIGHT	"␣
2k001:004	15a	ja	CNJ	Ja␣
2k001:004	16	Elia	PR.SG.NOM	Elia␣
2k001:004	15b	lähteä	ACT.PAST.3S	lähti␣
2k001:004	15b	tiehensä	DER.ADV.-3	tiehensä
2k001:004	-	(.)	PUNC	.␣
2k001:005	2k001:005	2k001:005	VERSE	2Kn␣1:5␣
2k001:005	1a	kun	SUBORD	Kun␣
2k001:005	(2a) 2b	sanan_saattaja	DER.PL.NOM	sanansaattajat␣
2k001:005	-	(sitten)	ADV	sitten␣
2k001:005	1b	palata	ACT.PAST.3P	palasivat␣
2k001:005	pro%3	kuningas	SG.GEN	kuninkaan␣
2k001:005	3	luo	PREP	luo
2k001:005	(4a)	-	UNTRANSLATED	
2k001:005	-	(,)	PUNC	,␣
2k001:005	4b	kysyä	ACT.PAST.3S	kysyi␣
