pm000:001	pm000:001	pm000:001	VERSE	Flm␣0:1␣
pm000:001	1	Paavali	PR.SG.NOM	Paavali
pm000:001	-	(,)	PUNC	,␣
pm000:001	3	Kristus	PR.SG.GEN	Kristuksen␣
pm000:001	4	Jeesus	PR.SG.GEN	Jeesuksen␣
pm000:001	2	vanki	SG.NOM	vanki
pm000:001	-	(,)	PUNC	,␣
pm000:001	5	ja	CNJ	ja␣
pm000:001	(7) 8	veli	SG.NOM	veli␣
pm000:001	6	Timoteus	PR.SG.NOM	Timoteus␣
pm000:001	11	rakas	ADJ.SG.ALL	rakkaalle␣
pm000:001	(10) 9	Filemon	PR.SG.ALL	Filemonille
pm000:001	(12)	-	UNTRANSLATED	
pm000:001	-	(,)	PUNC	,␣
pm000:001	13	työ_toveri	SG.ALL.-1	työtoverillemme
pm000:001	14	%pers	?	
pm000:001	-	(,)	PUNC	,␣
pm000:002	pm000:002	pm000:002	VERSE	Flm␣0:2␣
pm000:002	1	ja	CNJ	ja␣
pm000:002	2	Appia	PR.SG.ALL	Appialle
pm000:002	-	(,)	PUNC	,␣
pm000:002	(3) 4	sisar	SG.ALL.-1	sisarellemme
pm000:002	-	(,)	PUNC	,␣
pm000:002	5	ja	CNJ	ja␣
pm000:002	6	Arkippus	PR.SG.ALL	Arkippukselle
pm000:002	-	(,)	PUNC	,␣
pm000:002	(7) 8	taistelu_toveri	SG.ALL.-1	taistelutoverillemme
pm000:002	9	%pers	?	
pm000:002	-	(,)	PUNC	,␣
pm000:002	10	ja	CNJ	ja␣
pm000:002	14	sinä	PERS.SG.GEN	sinun␣
pm000:002	13	koti	SG.INE.-2	kodissasi␣
pm000:002	pro%12	kokoontua:kokoontuva	ACT.PCP1.SG.ALL	kokoontuvalle␣
pm000:002	(11) 15a	seurakunta	SG.ALL	seurakunnalle
pm000:002	15b	.	PUNC	.␣
pm000:003	pm000:003	pm000:003	VERSE	Flm␣0:3␣
pm000:003	1	armo	SG.NOM	Armo␣
pm000:003	2	te	PERS.PL.ALL	teille␣
pm000:003	3	ja	CNJ	ja␣
pm000:003	4	rauha	SG.NOM	rauha␣
pm000:003	6	Jumala	SG.ABL	Jumalalta
pm000:003	5	%case	LOC	
pm000:003	-	(,)	PUNC	,␣
pm000:003	8	me	PERS.PL.GEN	meidän␣
pm000:003	7	Isä	SG.ABL.-1	Isältämme
pm000:003	-	(,)	PUNC	,␣
pm000:003	9	ja	CNJ	ja␣
pm000:003	10	Herra	SG.ABL	Herralta␣
pm000:003	11	Jeesus	PR.SG.ABL	Jeesukselta␣
pm000:003	12a	Kristus	PR.SG.ABL	Kristukselta
pm000:003	-	(!)	PUNC	!␣
pm000:004	pm000:004	pm000:004	VERSE	Flm␣0:4␣
pm000:004	1	(minä)	PERS.SG.NOM	Minä␣
pm000:004	1	kiittää	ACT.PRES.1S	kiitän␣
pm000:004	(2) 3	Jumala	SG.PTV.-1	Jumalaani␣
pm000:004	4	%pers	?	
pm000:004	5	aina	ADV	aina
pm000:004	-	(,)	PUNC	,␣
pm000:004	6 8	muistaa	ACT.INF2.INE.-1	muistaessani␣
pm000:004	7	sinä	PERS.SG.PTV	sinua␣
pm000:004	(10) 11	rukous	PL.INE.-1	rukouksissani
pm000:004	12a	%pers	?	
pm000:004	9	%case	LOC	
pm000:004	12b	,	PUNC	,␣
pm000:005	pm000:005	pm000:005	VERSE	Flm␣0:5␣
pm000:005	1	(sillä)	SUBORD	sillä␣
pm000:005	1	(minä)	PERS.SG.NOM	minä␣
pm000:005	1	(olla)	COP.ACT.PRES.1S	olen␣
pm000:005	1	kuulla	ACT.PCP2.PERF	kuullut␣
pm000:005	2	sinä	PERS.SG.GEN	sinun␣
pm000:005	(3) 4	rakkaus	DER.SG.ELA.-2	rakkaudestasi␣
pm000:005	5	ja	CNJ	ja␣
pm000:005	(6) 7a	usko	SG.ELA.-2	uskostasi
pm000:005	7b	,	PUNC	,␣
pm000:005	8	joka	REL.INDEF.SG.NOM	joka␣
