ob000:001	ob000:001	ob000:001	VERSE	Ob␣0:1␣
ob000:001	2	Obadja	PR.SG.GEN	Obadjan␣
ob000:001	1	näky	SG.NOM	näky
ob000:001	-	(.)	PUNC	.␣
ob000:001	5	Herra	SG.NOM	Herra
ob000:001	-	(,)	PUNC	,␣
ob000:001	6	Herra	SG.NOM	Herra␣
ob000:001	4	sanoa	ACT.PRES.3S	sanoo␣
ob000:001	7b	Edom	PR.SG.ELA	Edomista␣
ob000:001	7a	%case	LOC	
ob000:001	3	näin	ADV.AD-A	näin
ob000:001	-	(:)	PUNC	:␣
ob000:001	9	(me)	PERS.PL.NOM	Me␣
ob000:001	9	(olla)	COP.ACT.PRES.1P	olemme␣
ob000:001	9	kuulla	ACT.PCP2.PERF	kuulleet␣
ob000:001	8	sanoma	DER.SG.GEN	sanoman␣
ob000:001	11	Herra	SG.ABL	Herralta
ob000:001	10a 10b	%case	LOC	
ob000:001	-	(,)	PUNC	,␣
ob000:001	12a	ja	CNJ	ja␣
ob000:001	12b	sanan_saattaja	DER.SG.NOM	sanansaattaja␣
ob000:001	14	(olla)	COP.ACT.PRES.3S	on␣
ob000:001	14	lähettää	PSS.PCP2.PERF	lähetetty␣
ob000:001	13b	kansa_kunta	PL.ILL	kansakuntiin
ob000:001	13a	%case	LOC	
ob000:001	-	(:)	PUNC	:␣
ob000:001	-	(")	PUNC.LEFT	"
ob000:001	15	nousta	ACT.IMP.2P	Nouskaa
ob000:001	(16a)	-	UNTRANSLATED	
ob000:001	-	(,)	PUNC	,␣
ob000:001	16b	nousta	ACT.IMP.1P	nouskaamme␣
ob000:001	18b	sota	SG.ILL	sotaan␣
ob000:001	18a	%case	LOC	
ob000:001	pers%17	se	DEM.SG.PTV	sitä␣
ob000:001	17	vastaan	POST	vastaan
ob000:001	-	(!)	PUNC	!
ob000:001	-	(")	PUNC.RIGHT	"␣
ob000:002	ob000:002	ob000:002	VERSE	Ob␣0:2␣
ob000:002	1	katso	INTJ	Katso
ob000:002	-	(,)	PUNC	,␣
ob000:002	2	vähäinen	ADJ.SG.TRA	vähäiseksi␣
ob000:002	3	(minä)	PERS.SG.NOM	minä␣
ob000:002	3	tehdä	ACT.PRES.1S	teen␣
ob000:002	pers%3	sinä	PERS.SG.ACC	sinut␣
ob000:002	4b	kansa	PL.GEN	kansojen␣
ob000:002	4a	seassa	POST	seassa
ob000:002	-	(,)	PUNC	,␣
ob000:002	7	ylen	AD-A	ylen␣
ob000:002	5	halveksia:halveksittu	PSS.PCP2.SG.NOM	halveksittu␣
