es001:001	es001:001	es001:001	VERSE	Est␣1:1␣
es001:001	(1a) (1b)	-	UNTRANSLATED	
es001:001	3	Ahasveros	PR.SG.GEN	Ahasveroksen␣
es001:001	2b	aika	SG.ESS	aikana␣
es001:001	2a	%case	ESS	
es001:001	-	(-)	PUNC	-␣
es001:001	4	se	DEM.SG.GEN	sen␣
es001:001	5	Ahasveros	PR.SG.GEN	Ahasveroksen
es001:001	-	(,)	PUNC	,␣
es001:001	6a	joka	REL.INDEF.SG.NOM	joka␣
es001:001	6b	hallita	ACT.PAST.3S	hallitsi␣
es001:001	7b	Intia	PR.SG.ELA	Intiasta␣
es001:001	7a	%case	LOC	
es001:001	(8a)	-	UNTRANSLATED	
es001:001	9	Etiopia	PR.SG.ILL	Etiopiaan␣
es001:001	8b	saakka	ADV	saakka
es001:001	-	(,)	PUNC	,␣
es001:001	10 11a 11b 12a 12b	100	NUM.SG.PTV	sataa␣
es001:001	10 11a 11b 12a 12b	20	NUM.SG.PTV	kahtakymmentä␣
es001:001	10 11a 11b 12a 12b	127	NUM.SG.PTV	seitsemää␣
es001:001	13	maa_kunta	SG.PTV	maakuntaa␣
es001:001	-	(-)	PUNC	-␣
es001:001	(2a/2) 2b/2	se	DEM.SG.ILL	siihen␣
es001:001	1b/2	aika	SG.ILL	aikaan
es001:001	1a/2	%case	LOC	
es001:001	-	(,)	PUNC	,␣
es001:002	es001:002	es001:002	VERSE	Est␣1:2␣
es001:002	3a	kun	SUBORD	kun␣
es001:002	(4a) 4b	kuningas	SG.NOM	kuningas␣
es001:002	5	Ahasveros	PR.SG.NOM	Ahasveros␣
es001:002	3b	istua	ACT.PAST.3S	istui␣
es001:002	8	kuninkaallinen	DER.ADJ.SG.ADE	kuninkaallisella␣
es001:002	7	valta_istuin	SG.ADE.-3	valtaistuimellansa
es001:002	6	%case	LOC	
es001:002	-	(,)	PUNC	,␣
es001:002	9	joka	REL.INDEF.SG.NOM	joka␣
es001:002	-	(olla)	COP.ACT.PAST.3S	oli␣
es001:002	10b	Suusan	PR.SG.GEN	Suusanin␣
es001:002	10a	%case	GEN	
es001:002	(11a) 11b	linna	SG.INE	linnassa
es001:002	-	(,)	PUNC	,␣
es001:002	-	(tapahtua)	ACT.PAST.3S	tapahtui␣
es001:002	-	(tämä)	DEM.SG.NOM	tämä
es001:002	-	(.)	PUNC	.␣
es001:003	es001:003	es001:003	VERSE	Est␣1:3␣
es001:003	2		ORD.SG.ESS	Kolmantena␣
es001:003	1b 3b	hallitus_vuosi	SG.ESS.-3	hallitusvuotenaan␣
es001:003	3a	%case	ESS	
es001:003	1a	%case	ESS	
es001:003	4	(hän)	PERS.SG.NOM	hän␣
es001:003	4	laittaa	ACT.PAST.3S	laittoi␣
es001:003	5	pito,pidot	PL.NOM	pidot␣
es001:003	6b	kaikki	INDEF.PL.ALL	kaikille␣
es001:003	6a	%case	LOC	
es001:003	7	ruhtinas	PL.ALL.-3	ruhtinaillensa␣
es001:003	8a	ja	CNJ	ja␣
es001:003	8b	palvelija	DER.PL.ALL.-3	palvelijoillensa
es001:003	-	(.)	PUNC	.␣
es001:003	10	Persia	PR.SG.GEN	Persian␣
es001:003	11a	ja	CNJ	ja␣
es001:003	11b	Meedia	PR.SG.GEN	Meedian␣
es001:003	9	voima	DER.SG.NOM	voima
es001:003	-	(,)	PUNC	,␣
es001:003	(12a) 12b	ylimys	PL.NOM	ylimykset␣
es001:003	13a	ja	CNJ	ja␣
es001:003	13b (14a) 14b	maa_herra	PL.NOM	maaherrat␣
es001:003	-	(olla)	COP.ACT.PAST.3P	olivat␣
es001:003	pers%15b	hän	PERS.SG.GEN	hänen␣
es001:003	15a 15b	luona	PREP.-3	luonansa
es001:003	-	(,)	PUNC	,␣
es001:004	es001:004	es001:004	VERSE	Est␣1:4␣
es001:004	1a	ja	CNJ	ja␣
es001:004	pers%1b	hän	PERS.SG.NOM	hän␣
es001:004	1b	näyttää	ACT.PAST.3S	näytti␣
es001:004	-	(he)	PERS.PL.ALL	heille␣
es001:004	5	kuninkaallinen	DER.ADJ.SG.GEN	kuninkaallisen␣
es001:004	4	kunnia	NOM&SGGEN.-3	kunniansa␣
es001:004	3	rikkaus	DER.SG.PTV	rikkautta␣
es001:004	2	%case	PTV	
es001:004	6a	ja	CNJ	ja␣
