ho001:001	ho001:001	ho001:001	VERSE	Hos␣1:1␣
ho001:001	2	Herra	SG.GEN	Herran␣
ho001:001	1	sana	SG.NOM	sana
ho001:001	-	(,)	PUNC	,␣
ho001:001	3	joka	REL.INDEF.SG.NOM	joka␣
ho001:001	4	tulla	ACT.PAST.3S	tuli␣
ho001:001	6	Hoosea	PR.SG.ALL	Hoosealle
ho001:001	5	%case	LOC	
ho001:001	-	(,)	PUNC	,␣
ho001:001	8	Beeri	PR.SG.GEN	Beerin␣
ho001:001	7	poika	SG.ALL	pojalle
ho001:001	-	(,)	PUNC	,␣
ho001:001	15	Juuda	PR.SG.GEN	Juudan␣
ho001:001	14	kuningas	PL.GEN	kuningasten␣
ho001:001	10	Ussia	PR.SG.GEN	Ussian
ho001:001	-	(,)	PUNC	,␣
ho001:001	11	Jootam	PR.SG.GEN	Jootamin
ho001:001	-	(,)	PUNC	,␣
ho001:001	12	Aahas	PR.SG.GEN	Aahaan␣
ho001:001	-	(ja)	CNJ	ja␣
ho001:001	13	Hiskia	PR.SG.GEN	Hiskian␣
ho001:001	9b	päivä	PL.ESS	päivinä␣
ho001:001	9a	%case	ESS	
ho001:001	16a	ja	CNJ	ja␣
ho001:001	21	Israel	PR.SG.GEN	Israelin␣
ho001:001	20	kuningas	SG.GEN	kuninkaan␣
ho001:001	17	Jerobeam	PR.SG.GEN	Jerobeamin
ho001:001	-	(,)	PUNC	,␣
ho001:001	19	Jooas	PR.SG.GEN	Jooaan␣
ho001:001	18	poika	SG.GEN	pojan
ho001:001	-	(,)	PUNC	,␣
ho001:001	16c	päivä	PL.ESS	päivinä
ho001:001	16b	%case	ESS	
ho001:001	-	(.)	PUNC	.␣
ho001:002	ho001:002	ho001:002	VERSE	Hos␣1:2␣
ho001:002	-	(kun)	SUBORD	Kun␣
ho001:002	3	Herra	SG.NOM	Herra␣
ho001:002	1	alkaa	ACT.PAST.3S	alkoi␣
ho001:002	4b	Hoosea	PR.SG.ALL	Hoosealle␣
ho001:002	4a	%case	LOC	
ho001:002	2	puhua	INF1.LAT	puhua
ho001:002	(6a)	-	UNTRANSLATED	
ho001:002	-	(,)	PUNC	,␣
ho001:002	6b	sanoa	ACT.PAST.3S	sanoi␣
ho001:002	7	Herra	SG.NOM	Herra␣
ho001:002	9	Hoosea	PR.SG.ALL	Hoosealle
ho001:002	8	%case	LOC	
ho001:002	-	(:)	PUNC	:␣
ho001:002	-	(")	PUNC.LEFT	"
ho001:002	10	mennä	ACT.IMP.2S	Mene
ho001:002	-	(,)	PUNC	,␣
ho001:002	11	ottaa	ACT.IMP.2S	ota␣
ho001:002	12	itse	REFL.SG.ALL.-2	itsellesi␣
ho001:002	14	haureellinen	ADJ.SG.NOM	haureellinen␣
ho001:002	13	vaimo	SG.NOM	vaimo␣
ho001:002	15a	ja	CNJ	ja␣
ho001:002	16	haureus	SG.ELA	haureudesta␣
ho001:002	15b	syntyä:syntynyt	ACT.PCP2.PL.NOM	syntyneet␣
ho001:002	15b	lapsi	PL.NOM	lapset
ho001:002	-	(,)	PUNC	,␣
ho001:002	17	sillä	SUBORD	sillä␣
ho001:002	(20a) 20b	maa	SG.NOM	maa␣
ho001:002	19	(olla)	COP.ACT.PRES.3S	on␣
ho001:002	18	peräti	AD-A	peräti␣
ho001:002	19	rikkoa	ACT.PCP2.PERF	rikkonut␣
ho001:002	19	avio	SG.GEN	avion␣
