jl001:001	jl001:001	jl001:001	VERSE	Jl␣1:1␣
jl001:001	2	Herra	SG.GEN	Herran␣
jl001:001	1	sana	SG.NOM	sana
jl001:001	-	(,)	PUNC	,␣
jl001:001	3	joka	REL.INDEF.SG.NOM	joka␣
jl001:001	4	tulla	ACT.PAST.3S	tuli␣
jl001:001	6	Jooel	PR.SG.ALL	Jooelille
jl001:001	5	%case	LOC	
jl001:001	-	(,)	PUNC	,␣
jl001:001	8	Petuel	PR.SG.GEN	Petuelin␣
jl001:001	7	poika	SG.ALL	pojalle
jl001:001	-	(.)	PUNC	.␣
jl001:002	jl001:002	jl001:002	VERSE	Jl␣1:2␣
jl001:002	1	kuulla	ACT.IMP.2P	Kuulkaa␣
jl001:002	2	tämä	DEM.SG.NOM	tämä
jl001:002	-	(,)	PUNC	,␣
jl001:002	1	(te)	PERS.PL.NOM	te␣
jl001:002	(3a) 3b	vanhin	DER.PL.NOM	vanhimmat
jl001:002	-	(,)	PUNC	,␣
jl001:002	4a	ja	CNJ	ja␣
jl001:002	4b	ottaa	ACT.IMP.2P	ottakaa␣
jl001:002	4b	korva	PL.ILL.-2	korviinne
jl001:002	-	(,)	PUNC	,␣
jl001:002	5	kaikki	INDEF.SG.NOM	kaikki␣
jl001:002	(7a) 7b	maa	SG.GEN	maan␣
jl001:002	6	asukas	PL.NOM	asukkaat
jl001:002	-	(.)	PUNC	.␣
jl001:002	8a	olla	COP.ACT.PRES.3S.-CLITIC	Onko␣
jl001:002	9	tällainen	ADJ.SG.PTV	tällaista␣
jl001:002	8b	tapahtua	ACT.PCP2.PERF	tapahtunut␣
jl001:002	pers%10b	te	PERS.PL.GEN	teidän␣
jl001:002	10b	päivä	PL.ESS.-2	päivinänne␣
jl001:002	10a	%case	ESS	
jl001:002	(11a) 11b	taikka	CNJ	taikka␣
jl001:002	pers%13	te	PERS.PL.GEN	teidän␣
jl001:002	13	isä	PL.GEN.-2	isienne␣
jl001:002	12b	päivä	PL.ESS	päivinä
jl001:002	-	(?)	PUNC	?␣
jl001:002	12a	%case	?	
jl001:003	jl001:003	jl001:003	VERSE	Jl␣1:3␣
jl001:003	3	kertoa	ACT.IMP.2P	Kertokaa␣
jl001:003	1	tämä	DEM.SG.NOM	tämä␣
jl001:003	2b	lapsi	PL.ALL.-2	lapsillenne
jl001:003	-	(,)	PUNC	,␣
jl001:003	2a	%case	?	
jl001:003	4a	ja	CNJ	ja␣
jl001:003	pers%4b	te	PERS.PL.GEN	teidän␣
jl001:003	4b	lapsi	NOM&SGGEN.-2	lapsenne␣
jl001:003	-	(kertoa)	ACT.IMP.3P	kertokoot␣
jl001:003	-	(se)	DEM.SG.GEN	sen␣
jl001:003	5b	lapsi	PL.ALL.-3	lapsillensa␣
jl001:003	5a	%case	LOC	
jl001:003	6a	ja	CNJ	ja␣
jl001:003	pers%6b	he	PERS.PL.GEN	heidän␣
jl001:003	6b	lapsi	NOM&SGGEN.-3	lapsensa␣
jl001:003	8	tulla:tuleva	ACT.PCP1.SG.ALL	tulevalle␣
jl001:003	7b	polvi	SG.ALL	polvelle
jl001:003	7a	%case	LOC	
jl001:003	-	(:)	PUNC	:␣
jl001:004	jl001:004	jl001:004	VERSE	Jl␣1:4␣
jl001:004	1	(mikä)	INT.REL.SG.PTV	Mitä␣
jl001:004	(2a) 2b	kalvaja_sirkka	SG.ABL	kalvajasirkalta␣
jl001:004	1	jäädä	ACT.PAST.3S	jäi
jl001:004	-	(,)	PUNC	,␣
