pr001:001	pr001:001	pr001:001	VERSE	Snl␣1:1␣
pr001:001	2	Salomo	PR.SG.GEN	Salomon
pr001:001	-	(,)	PUNC	,␣
pr001:001	4	Daavid	PR.SG.GEN	Daavidin␣
pr001:001	3	poika	SG.GEN	pojan
pr001:001	-	(,)	PUNC	,␣
pr001:001	6	Israel	PR.SG.GEN	Israelin␣
pr001:001	5	kuningas	SG.GEN	kuninkaan
pr001:001	-	(,)	PUNC	,␣
pr001:001	1	sanan_lasku	PL.NOM	sananlaskut
pr001:001	-	(,)	PUNC	,␣
pr001:002	pr001:002	pr001:002	VERSE	Snl␣1:2␣
pr001:002	2	viisaus	DER.SG.GEN	viisauden␣
pr001:002	3a	ja	CNJ	ja␣
pr001:002	3b	kuri	SG.GEN	kurin␣
pr001:002	1b	oppia	INF4.TRA	oppimiseksi
pr001:002	1a	%case	TRA	
pr001:002	-	(,)	PUNC	,␣
pr001:002	6	ymmärrys	DER.SG.GEN	ymmärryksen␣
pr001:002	5	sana	PL.GEN	sanojen␣
pr001:002	4b	ymmärtää	INF4.TRA	ymmärtämiseksi
pr001:002	4a	%case	TRA	
pr001:002	-	(,)	PUNC	,␣
pr001:003	pr001:003	pr001:003	VERSE	Snl␣1:3␣
pr001:003	3	taito	SG.PTV	taitoa␣
pr001:003	3	tuoda:tuova	ACT.PCP1.SG.GEN	tuovan␣
pr001:003	2	kuri	SG.GEN	kurin
pr001:003	-	(,)	PUNC	,␣
pr001:003	4	vanhurskaus	DER.SG.GEN	vanhurskauden
pr001:003	(5a)	-	UNTRANSLATED	
pr001:003	-	(,)	PUNC	,␣
pr001:003	5b	oikeus	DER.SG.GEN	oikeuden␣
pr001:003	6a	ja	CNJ	ja␣
pr001:003	6b	vilpittömyys	DER.SG.GEN	vilpittömyyden␣
pr001:003	1b	saada	INF4.TRA	saamiseksi
pr001:003	1a	%case	TRA	
pr001:003	-	(,)	PUNC	,␣
pr001:004	pr001:004	pr001:004	VERSE	Snl␣1:4␣
pr001:004	3	mielevyys	DER.SG.GEN	mielevyyden␣
pr001:004	1b	antaa	INF4.TRA	antamiseksi␣
pr001:004	1a	%case	TRA	
pr001:004	2b	yksin_kertainen	ADJ.PL.ALL	yksinkertaisille
pr001:004	2a	%case	LOC	
pr001:004	-	(,)	PUNC	,␣
pr001:004	5	tieto	SG.GEN	tiedon␣
pr001:004	6a	ja	CNJ	ja␣
pr001:004	6b	taidollisuus	DER.SG.GEN	taidollisuuden␣
pr001:004	4b	nuori	ADJ.PL.ALL	nuorille
pr001:004	4a	%case	LOC	
pr001:004	-	(.)	PUNC	.␣
pr001:005	pr001:005	pr001:005	VERSE	Snl␣1:5␣
pr001:005	2	viisas	ADJ.SG.NOM	Viisas␣
pr001:005	1	kuulla	ACT.IMP.3S	kuulkoon␣
pr001:005	3a	ja	CNJ	ja␣
pr001:005	3b	(saada)	ACT.IMP.3S	saakoon␣
pr001:005	4	oppi	SG.PTV	oppia␣
pr001:005	3b	lisää	ADV	lisää
pr001:005	-	(,)	PUNC	,␣
pr001:005	5a	ja	CNJ	ja␣
pr001:005	5b	ymmärtäväinen	DER.ADJ.SG.NOM	ymmärtäväinen␣
pr001:005	7	hankkia	ACT.IMP.3S	hankkikoon␣
pr001:005	6	elämän_ohje	SG.PTV	elämänohjetta␣
pr001:006	pr001:006	pr001:006	VERSE	Snl␣1:6␣
pr001:006	1b	ymmärtää	INF1.TRA.-3	ymmärtääkseen␣
pr001:006	1a	%case	TRA	
pr001:006	2	sanan_lasku	PL.PTV	sananlaskuja␣
pr001:006	3a	ja	CNJ	ja␣
pr001:006	3b	vertaus	DER.PL.PTV	vertauksia
pr001:006	-	(,)	PUNC	,␣
pr001:006	5	viisas	ADJ.PL.GEN	viisasten␣
pr001:006	4	sana	PL.PTV	sanoja␣
pr001:006	6a	ja	CNJ	ja␣
pr001:006	pers%6b	he	PERS.PL.GEN	heidän␣
pr001:006	6b	ongelma	PL.PTV.-3	ongelmiansa
pr001:006	-	(.)	PUNC	.␣
pr001:007	pr001:007	pr001:007	VERSE	Snl␣1:7␣
pr001:007	2	Herra	SG.GEN	Herran␣
pr001:007	1	pelko	SG.NOM	pelko␣
pr001:007	-	(olla)	COP.ACT.PRES.3S	on␣
pr001:007	4	tieto	SG.GEN	tiedon␣
pr001:007	3	alku	SG.NOM	alku
pr001:007	-	(;)	PUNC	;␣
pr001:007	7	hullu	ADJ.PL.NOM	hullut␣
pr001:007	8	pitää	ACT.PRES.3P	pitävät␣
pr001:007	8	halpa	ADJ.SG.ESS	halpana␣
pr001:007	5	viisaus	DER.SG.GEN	viisauden␣
pr001:007	6a	ja	CNJ	ja␣
pr001:007	6b	kuri	SG.GEN	kurin
pr001:007	-	(.)	PUNC	.␣
pr001:008	pr001:008	pr001:008	VERSE	Snl␣1:8␣
pr001:008	1	kuulla	ACT.IMP.2S	Kuule
pr001:008	-	(,)	PUNC	,␣
pr001:008	2	poika	NOM&SGGEN.-1	poikani
pr001:008	-	(,)	PUNC	,␣
pr001:008	4	isä	NOM&SGGEN.-2	isäsi␣
pr001:008	3	kuritus	DER.SG.PTV	kuritusta␣
pr001:008	5b	älä	NEGV.ACT.IMP.2S.-CLITIC	äläkä␣
pr001:008	5a	%clitic	kA	
pr001:008	6	hyljätä	ACT.PRES.NEG	hylkää␣
pr001:008	8	äiti	NOM&SGGEN.-2	äitisi␣
pr001:008	7	opetus	DER.SG.PTV	opetusta
pr001:008	-	(,)	PUNC	,␣
pr001:009	pr001:009	pr001:009	VERSE	Snl␣1:9␣
pr001:009	1	sillä	SUBORD	sillä␣
pr001:009	4	ne	DEM.PL.NOM	ne␣
pr001:009	-	(olla)	COP.ACT.PRES.3P	ovat␣
pr001:009	3	ihana	ADJ.SG.NOM	ihana␣
pr001:009	2	seppele	SG.NOM	seppele␣
pr001:009	pers%5b	sinä	PERS.SG.GEN	sinun␣
pr001:009	5b	pää	SG.ILL.-2	päähäsi␣
pr001:009	5a	%case	LOC	
pr001:009	6a	ja	CNJ	ja␣
pr001:009	6b	kääty	PL.NOM	käädyt␣
pr001:009	pers%7b	sinä	PERS.SG.GEN	sinun␣
pr001:009	7b	kaula	SG.ILL.-2	kaulaasi
pr001:009	7a	%case	LOC	
pr001:009	-	(.)	PUNC	.␣
pr001:010	pr001:010	pr001:010	VERSE	Snl␣1:10␣
pr001:010	1	poika	NOM&SGGEN.-1	Poikani
pr001:010	-	(,)	PUNC	,␣
pr001:010	2	jos	SUBORD	jos␣
pr001:010	4	synnin_tekijä	PL.NOM	synnintekijät␣
pr001:010	pers%3	sinä	PERS.SG.PTV	sinua␣
pr001:010	3	viekoitella	DER.ACT.PRES.3P	viekoittelevat
pr001:010	-	(,)	PUNC	,␣
pr001:010	5	älä	NEGV.ACT.IMP.2S	älä␣
pr001:010	6	suostua	ACT.PRES.NEG	suostu
pr001:010	-	(.)	PUNC	.␣
