rm001:001	rm001:001	rm001:001	VERSE	Rm␣1:1␣
rm001:001	1	Paavali	PR.SG.NOM	Paavali
rm001:001	-	(,)	PUNC	,␣
rm001:001	4a	Jeesus	PR.SG.GEN	Jeesuksen␣
rm001:001	3	Kristus	PR.SG.GEN	Kristuksen␣
rm001:001	2	palvelija	DER.SG.NOM	palvelija
rm001:001	4b	,	PUNC	,␣
rm001:001	5	kutsua:kutsuttu	PSS.PCP2.SG.NOM	kutsuttu␣
rm001:001	6	apostoli	SG.NOM	apostoli
rm001:001	-	(,)	PUNC	,␣
rm001:001	7	erottaa:erotettu	PSS.PCP2.SG.NOM	erotettu␣
rm001:001	pro%8	julistaa	INF3.ILL	julistamaan␣
rm001:001	10a	Jumala	SG.GEN	Jumalan␣
rm001:001	9	evankeliumi	SG.PTV	evankeliumia
rm001:001	10b	,	PUNC	,␣
rm001:002	rm001:002	rm001:002	VERSE	Rm␣1:2␣
rm001:002	1	joka	REL.SG.GEN	jonka␣
rm001:002	-	(Jumala)	SG.NOM	Jumala␣
rm001:002	2	(olla)	COP.ACT.PRES.3S	on␣
rm001:002	2	edeltä	PREP	edeltä␣
rm001:002	2	luvata	ACT.PCP2.PERF	luvannut␣
rm001:002	(4) 5	profeetta	PL.GEN.-3	profeettainsa␣
rm001:002	6	%pers	3	
rm001:002	3	kautta	PREP	kautta␣
rm001:002	9	pyhä	ADJ.PL.INE	pyhissä␣
rm001:002	8	kirjoitus	DER.PL.INE	kirjoituksissa
rm001:002	7	%case	LOC	
rm001:002	-	(,)	PUNC	,␣
rm001:003	rm001:003	rm001:003	VERSE	Rm␣1:3␣
rm001:003	4	hän	PERS.SG.GEN	hänen␣
rm001:003	(2) 3	Poika	SG.ELA.-3	Pojastansa␣
rm001:003	1	%case	LOC	
rm001:003	-	(-)	PUNC	-␣
rm001:003	5	joka	REL.INDEF.SG.NOM	joka␣
rm001:003	11a	liha	SG.GEN	lihan␣
rm001:003	10	puolesta	DER.POST	puolesta␣
rm001:003	6	(olla)	COP.ACT.PRES.3S	on␣
rm001:003	6	syntyä	ACT.PCP2.PERF	syntynyt␣
rm001:003	9	Daavid	PR.SG.GEN	Daavidin␣
rm001:003	8	siemen	SG.ELA	siemenestä␣
rm001:003	7	%case	LOC	
rm001:004	rm001:004	rm001:004	VERSE	Rm␣1:4␣
rm001:004	-	(ja)	CNJ	ja␣
rm001:004	9	pyhyys	DER.SG.GEN	pyhyyden␣
rm001:004	8	henki	SG.GEN	hengen␣
rm001:004	7	puolesta	DER.POST	puolesta␣
rm001:004	11 12a	kuolleista_nouseminen	DER.SG.GEN	kuolleistanousemisen␣
rm001:004	10	kautta	PREP	kautta␣
rm001:004	(1) 2	asettaa	PSS.PCP2.PERF	asetettu␣
rm001:004	4	Jumala	SG.GEN	Jumalan␣
rm001:004	3	Poika	SG.TRA	Pojaksi␣
rm001:004	6	voima	DER.SG.INE	voimassa␣
rm001:004	5	%case	LOC	
rm001:004	12b	-	PUNC	-␣
rm001:004	13	Jeesus	PR.SG.ELA	Jeesuksesta␣
rm001:004	14	Kristus	PR.SG.ELA	Kristuksesta
rm001:004	-	(,)	PUNC	,␣
rm001:004	17a	me	PERS.PL.GEN	meidän␣
rm001:004	(15) 16	Herra	SG.ELA.-1	Herrastamme
rm001:004	17b	,	PUNC	,␣
rm001:005	rm001:005	rm001:005	VERSE	Rm␣1:5␣
rm001:005	2	joka	REL.SG.GEN	jonka␣
rm001:005	1	kautta	PREP	kautta␣
rm001:005	3	(me)	PERS.PL.NOM	me␣
rm001:005	3	(olla)	COP.ACT.PRES.1P	olemme␣
rm001:005	3	saada	ACT.PCP2.PERF	saaneet␣
rm001:005	4	armo	SG.GEN	armon␣
rm001:005	5	ja	CNJ	ja␣
rm001:005	6	apostolin_virka	SG.GEN	apostolinviran
rm001:005	-	(,)	PUNC	,␣
rm001:005	7	että	SUBORD	että␣
rm001:005	7	(syntyä)	ACT.COND.3S	syntyisi␣
rm001:005	9	usko	SG.GEN	uskon␣
rm001:005	8	kuuliaisuus	DER.SG.NOM	kuuliaisuus␣
rm001:005	17a	hän	PERS.SG.GEN	hänen␣
rm001:005	(15) 16	nimi	SG.PTV.-3	nimeänsä␣
rm001:005	14	kohtaan	POST	kohtaan␣
rm001:005	11	kaikki	INDEF.PL.INE	kaikissa␣
rm001:005	(12) 13	pakana_kansa	PL.INE	pakanakansoissa
rm001:005	10	%case	LOC	
rm001:005	17b	,	PUNC	,␣
rm001:006	rm001:006	rm001:006	VERSE	Rm␣1:6␣
rm001:006	2	joka	REL.PL.ILL	joihin␣
rm001:006	1	%case	LOC	
rm001:006	5	te	PERS.PL.NOM.-CLITIC	tekin
