dt001:001	dt001:001	dt001:001	VERSE	5Ms␣1:1␣
dt001:001	1	nämä	DEM.PL.NOM	Nämä␣
dt001:001	-	(olla)	COP.ACT.PRES.3P	ovat␣
dt001:001	2a	ne	DEM.PL.NOM	ne␣
dt001:001	2b	sana	PL.NOM	sanat
dt001:001	-	(,)	PUNC	,␣
dt001:001	3	joka	REL.PL.NOM	jotka␣
dt001:001	5	Mooses	PR.SG.NOM	Mooses␣
dt001:001	4	puhua	ACT.PAST.3S	puhui␣
dt001:001	7	kaikki	INDEF.SG.ALL	kaikelle␣
dt001:001	6	%case	LOC	
dt001:001	8	Israel	PR.SG.ALL	Israelille
dt001:001	-	(,)	PUNC	,␣
dt001:001	9b	tuo	DEM.SG.ADE	tuolla␣
dt001:001	9b	puoli=sivu,osapuoli,alue	SG.ADE	puolella␣
dt001:001	9a	%case	LOC	
dt001:001	(10a) 10b	Jordan	PR.SG.GEN	Jordanin
dt001:001	-	(,)	PUNC	,␣
dt001:001	11b	erä_maa	SG.INE	erämaassa
dt001:001	11a	%case	LOC	
dt001:001	-	(,)	PUNC	,␣
dt001:001	12b	Aro_maa	SG.INE	Aromaassa
dt001:001	12a	%case	LOC	
dt001:001	-	(,)	PUNC	,␣
dt001:001	13	vastapäätä	PREP	vastapäätä␣
dt001:001	14	Suuf	PR.SG.PTV	Suufia
dt001:001	-	(,)	PUNC	,␣
dt001:001	16	Paaran	PR.SG.GEN	Paaranin
dt001:001	(15) (17a)	-	UNTRANSLATED	
dt001:001	-	(,)	PUNC	,␣
dt001:001	18	Toofel	PR.SG.GEN	Toofelin
dt001:001	(19a)	-	UNTRANSLATED	
dt001:001	-	(,)	PUNC	,␣
dt001:001	19b	Laaban	PR.SG.GEN	Laabanin
dt001:001	(20a)	-	UNTRANSLATED	
dt001:001	-	(,)	PUNC	,␣
dt001:001	20b	Haserot	PR.SG.GEN	Haserotin␣
dt001:001	21a	ja	CNJ	ja␣
dt001:001	21b	Dii-Saahab	PR.SG.GEN	Dii-Saahabin␣
dt001:001	17b	välillä	POST	välillä
dt001:001	-	(.)	PUNC	.␣
dt001:002	dt001:002	dt001:002	VERSE	5Ms␣1:2␣
dt001:002	4b	Hooreb	PR.SG.ELA	Hoorebista␣
dt001:002	4a	%case	LOC	
dt001:002	-	(olla)	COP.ACT.PRES.3S	on␣
dt001:002	1 2	11	NUM.SG.NOM	yksitoista␣
dt001:002	3	päivän_matka	SG.PTV	päivänmatkaa
dt001:002	-	(,)	PUNC	,␣
dt001:002	7	Seir	PR.SG.GEN	Seirin␣
dt001:002	6	vuoristo	SG.GEN	vuoriston␣
dt001:002	5	tie	SG.PTV	tietä
dt001:002	-	(,)	PUNC	,␣
dt001:002	9	Kaades-Barnea	PR.SG.ILL	Kaades-Barneaan
dt001:002	8	%case	LOC	
dt001:002	-	(.)	PUNC	.␣
dt001:003	dt001:003	dt001:003	VERSE	5Ms␣1:3␣
dt001:003	(1a) (1b)	-	UNTRANSLATED	
dt001:003	2b		ORD.SG.ESS	Neljäntenäkymmenentenä␣
dt001:003	2a	%case	ESS	
dt001:003	3	vuosi	SG.ESS	vuotena
dt001:003	-	(,)	PUNC	,␣
dt001:003	4b 5		ORD.SG.INE	yhdennessätoista␣
dt001:003	4a	%case	LOC	
dt001:003	6	kuu	SG.INE	kuussa
dt001:003	-	(,)	PUNC	,␣
dt001:003	8b	kuu_kausi	SG.GEN	kuukauden␣
dt001:003	8a	%case	GEN	
dt001:003	7b		ORD.SG.ESS	ensimmäisenä␣
dt001:003	7a	%case	ESS	
dt001:003	sem%7b	päivä	SG.ESS	päivänä
dt001:003	-	(,)	PUNC	,␣
dt001:003	10	Mooses	PR.SG.NOM	Mooses␣
dt001:003	9	puhua	ACT.PAST.3S	puhui␣
dt001:003	12 13	israelilainen	DER.ADJ.PL.ALL	israelilaisille␣
dt001:003	11	%case	LOC	
dt001:003	14b	kaikki	INDEF.SG.GEN	kaiken
dt001:003	14a	%case	GEN	
dt001:003	-	(,)	PUNC	,␣
dt001:003	15	mikä	INT.REL.SG.PTV	mitä␣
dt001:003	17	Herra	SG.NOM	Herra␣
dt001:003	16	(olla)	COP.ACT.PAST.3S	oli␣
dt001:003	16	käskeä	ACT.PCP2.PERF	käskenyt␣
dt001:003	18	hän	PERS.SG.GEN	hänen␣
dt001:003	19	he	PERS.PL.ALL	heille␣
dt001:003	-	(puhua)	INF1.LAT	puhua
dt001:003	-	(.)	PUNC	.␣
dt001:004	dt001:004	dt001:004	VERSE	5Ms␣1:4␣
dt001:004	-	(tämä)	DEM.SG.NOM	Tämä␣
dt001:004	-	(tapahtua)	ACT.PAST.3S	tapahtui␣
dt001:004	1	se	DEM.SG.GEN	sen␣
dt001:004	1	jälkeen	PREP	jälkeen
dt001:004	-	(,)	PUNC	,␣
dt001:004	1	kuin	SUBORD	kuin␣
dt001:004	pers%2	hän	PERS.SG.NOM	hän␣
dt001:004	2	(olla)	COP.ACT.PAST.3S	oli␣
dt001:004	2	voittaa	ACT.PCP2.PERF	voittanut␣
dt001:004	4	Siihon	PR.SG.GEN	Siihonin
dt001:004	3	%case	GEN	
dt001:004	-	(,)	PUNC	,␣
dt001:004	(6a) 6b	amorilainen	DER.ADJ.PL.GEN	amorilaisten␣
dt001:004	5	kuningas	SG.GEN	kuninkaan
dt001:004	-	(,)	PUNC	,␣
dt001:004	7	joka	REL.INDEF.SG.NOM	joka␣
dt001:004	8	asua	ACT.PAST.3S	asui␣
dt001:004	9b	Hesbon	PR.SG.INE	Hesbonissa
dt001:004	9a	%case	LOC	
dt001:004	-	(,)	PUNC	,␣
dt001:004	10a	ja	CNJ	ja␣
dt001:004	11	Oog	PR.SG.GEN	Oogin
dt001:004	10b	%case	GEN	
dt001:004	-	(,)	PUNC	,␣
dt001:004	(13a) 13b	Baasan	PR.SG.GEN	Baasanin␣
dt001:004	12	kuningas	SG.GEN	kuninkaan
dt001:004	-	(,)	PUNC	,␣
dt001:004	14	joka	REL.INDEF.SG.NOM	joka␣
dt001:004	15	asua	ACT.PAST.3S	asui␣
dt001:004	16b	Astarot	PR.SG.INE	Astarotissa
dt001:004	16a	%case	LOC	
dt001:004	-	(,)	PUNC	,␣
dt001:004	17b	Edrei	PR.SG.GEN	Edrein␣
dt001:004	17a	luona	PREP	luona
dt001:004	-	(.)	PUNC	.␣
dt001:005	dt001:005	dt001:005	VERSE	5Ms␣1:5␣
dt001:005	1b	tuo	DEM.SG.ADE	Tuolla␣
dt001:005	1b	puoli=sivu,osapuoli,alue	SG.ADE	puolella␣
dt001:005	1a	%case	LOC	
dt001:005	(2a) 2b	Jordan	PR.SG.GEN	Jordanin
dt001:005	-	(,)	PUNC	,␣
dt001:005	4	Mooab	PR.SG.GEN	Mooabin␣
dt001:005	3b	maa	SG.INE	maassa
dt001:005	3a	%case	LOC	
dt001:005	-	(,)	PUNC	,␣
dt001:005	6	Mooses	PR.SG.NOM	Mooses␣
dt001:005	5	alkaa	ACT.PAST.3S	alkoi␣
dt001:005	7	selittää	DER.INF1.LAT	selittää␣
dt001:005	(10a) 10b	tämä	DEM.SG.PTV	tätä␣
dt001:005	(9a) 9b	laki	SG.PTV	lakia
dt001:005	8	%case	PTV	
dt001:005	-	(,)	PUNC	,␣
dt001:005	11a 11b	sanoa	ACT.INF2.MAN	sanoen
dt001:005	-	(:)	PUNC	:␣
dt001:006	dt001:006	dt001:006	VERSE	5Ms␣1:6␣
dt001:006	-	(")	PUNC.LEFT	"
dt001:006	1	Herra	SG.NOM	Herra
dt001:006	-	(,)	PUNC	,␣
dt001:006	pers%2	me	PERS.PL.GEN	meidän␣
dt001:006	2	Jumala	NOM&SGGEN.-1	Jumalamme
dt001:006	-	(,)	PUNC	,␣
dt001:006	3	puhua	ACT.PAST.3S	puhui␣
dt001:006	4	me	PERS.PL.ALL	meille␣
dt001:006	5b	Hooreb	PR.SG.ADE	Hoorebilla␣
dt001:006	5a	%case	LOC	
dt001:006	6a 6b	näin	ADV.AD-A	näin
dt001:006	-	(:)	PUNC	:␣
dt001:006	-	(')	PUNC.LEFT	'
dt001:006	8	te	PERS.PL.NOM	Te␣
dt001:006	9	(olla)	COP.ACT.PRES.2P	olette␣
dt001:006	7	jo	ADV	jo␣
dt001:006	7	tarpeeksi	ADV.AD-A	tarpeeksi␣
dt001:006	7	kauan	ADV	kauan␣
dt001:006	9	olla	COP.ACT.PCP2.PERF	olleet␣
dt001:006	(11a) 11b	tämä	DEM.SG.GEN	tämän␣
dt001:006	10b	vuori	SG.GEN	vuoren␣
dt001:006	10a	vaiheilla	DER.ADV	vaiheilla
dt001:006	-	(;)	PUNC	;␣
dt001:007	dt001:007	dt001:007	VERSE	5Ms␣1:7␣
dt001:007	1	kääntyä	ACT.IMP.2P	kääntykää␣
dt001:007	1	toisaalle	ADV	toisaalle
dt001:007	(2a)	-	UNTRANSLATED	
dt001:007	-	(,)	PUNC	,␣
dt001:007	2b	lähteä	ACT.IMP.2P	lähtekää␣
dt001:007	3	%inflection	ACT.IMP.2P	
dt001:007	2b	liikkeellä	DER.ADV	liikkeelle␣
dt001:007	4a	ja	CNJ	ja␣
dt001:007	4b	mennä	ACT.IMP.2P	menkää␣
dt001:007	(6a) 6b	amorilainen	DER.ADJ.PL.GEN	amorilaisten␣
dt001:007	5	vuoristo	SG.ILL	vuoristoon␣
dt001:007	7a	ja	CNJ	ja␣
dt001:007	8	kaikki	INDEF.PL.GEN	kaikkien␣
dt001:007	pers%9	he	PERS.PL.GEN	heidän␣
dt001:007	9	naapuri	PL.GEN.-3	naapuriensa␣
dt001:007	7b	tykö	POST	tykö␣
dt001:007	10b	Aro_maa	SG.ILL	Aromaahan
dt001:007	10a	%case	LOC	
dt001:007	-	(,)	PUNC	,␣
dt001:007	11b	Vuoristo	DER.SG.ILL	Vuoristoon
dt001:007	11a	%case	LOC	
dt001:007	(12a)	-	UNTRANSLATED	
dt001:007	-	(,)	PUNC	,␣
dt001:007	12c	Alanko_maa	SG.ILL	Alankomaahan
dt001:007	12b	%case	LOC	
dt001:007	(13a)	-	UNTRANSLATED	
dt001:007	-	(,)	PUNC	,␣
dt001:007	13c	Etelä_maa	SG.ILL	Etelämaahan␣
dt001:007	13b	%case	LOC	
dt001:007	14a	ja	CNJ	ja␣
dt001:007	14c (15a) 15b	Meren_rannikko	SG.ALL	Merenrannikolle
dt001:007	14b	%case	LOC	
dt001:007	-	(,)	PUNC	,␣
dt001:007	(17a) 17b	kanaanilainen	DER.ADJ.PL.GEN	kanaanilaisten␣
dt001:007	16	maa	SG.ILL	maahan␣
dt001:007	18a	ja	CNJ	ja␣
dt001:007	(18b) 18c	Libanon	PR.SG.ILL	Libanoniin
dt001:007	-	(,)	PUNC	,␣
dt001:007	19	aina	ADV	aina␣
dt001:007	(21a) 21b	suuri	ADJ.SG.ILL	suureen␣
dt001:007	(20a) 20b	virta	SG.ILL	virtaan
dt001:007	-	(,)	PUNC	,␣
dt001:007	22 23	Eufrat-virta	PR.SG.ILL	Eufrat-virtaan
dt001:007	-	(,)	PUNC	,␣
dt001:007	19	saakka	ADV	saakka
dt001:007	-	(.)	PUNC	.␣
dt001:008	dt001:008	dt001:008	VERSE	5Ms␣1:8␣
dt001:008	1	katso	INTJ	Katso
dt001:008	-	(,)	PUNC	,␣
dt001:008	2	(minä)	PERS.SG.NOM	minä␣
dt001:008	2	antaa	ACT.PRES.1S	annan␣
dt001:008	(5a) 5b	maa	SG.GEN	maan␣
dt001:008	4	%case	GEN	
dt001:008	pers%3b	te	PERS.PL.GEN	teidän␣
dt001:008	3a 3b	valta	SG.ILL.-2	valtaanne
dt001:008	-	(;)	PUNC	;␣
dt001:008	6	mennä	ACT.IMP.2P	menkää␣
dt001:008	7a	ja	CNJ	ja␣
dt001:008	7b	ottaa	ACT.IMP.2P	ottakaa␣
dt001:008	7b	oma	ADJ.SG.TRA.-2	omaksenne␣
dt001:008	9a	se	DEM.SG.NOM	se␣
dt001:008	9b	maa	SG.NOM	maa
dt001:008	8	%case	NOM	
dt001:008	-	(,)	PUNC	,␣
dt001:008	10	joka	REL.SG.GEN	jonka␣
dt001:008	12	Herra	SG.NOM	Herra␣
dt001:008	pers%13b	te	PERS.PL.GEN	teidän␣
dt001:008	13b	isä	PL.ALL.-2	isillenne
dt001:008	13a	%case	LOC	
dt001:008	-	(,)	PUNC	,␣
dt001:008	14b	Aabraham	PR.SG.ALL	Aabrahamille
dt001:008	14a	%case	LOC	
dt001:008	-	(,)	PUNC	,␣
