lk001:001	lk001:001	lk001:001	VERSE	Lk␣1:1␣
lk001:001	1	koska	SUBORD	Koska␣
lk001:001	2	moni	INDEF.PL.NOM	monet␣
lk001:001	3	(olla)	COP.ACT.PRES.3P	ovat␣
lk001:001	3	ryhtyä	ACT.PCP2.PERF	ryhtyneet␣
lk001:001	4	tehdä	INF3.ILL	tekemään␣
lk001:001	5	kertomus	SG.PTV	kertomusta␣
lk001:001	10	me	PERS.PL.GEN	meidän␣
lk001:001	9	keskuudessa	POST.-1	keskuudessamme␣
lk001:001	8	tosi	ADJ.PL.TRA	tosiksi␣
lk001:001	8	tunnettu	ADJ.PL.ELA	tunnetuista␣
lk001:001	11a (7)	tapahtuma	DER.PL.ELA	tapahtumista
lk001:001	6	%case	LOC	
lk001:001	11b	,	PUNC	,␣
lk001:002	lk001:002	lk001:002	VERSE	Lk␣1:2␣
lk001:002	1	se	DEM.SG.GEN	sen␣
lk001:002	1	mukaisesti	DER.ADV.POS	mukaisesti␣
lk001:002	1	kuin	SUBORD	kuin␣
lk001:002	3	me	PERS.PL.ALL	meille␣
lk001:002	2	(olla)	COP.ACT.PRES.3P	ovat␣
lk001:002	2	kertoa	ACT.PCP2.PERF	kertoneet␣
lk001:002	4	ne	DEM.PL.NOM	ne
lk001:002	-	(,)	PUNC	,␣
lk001:002	4	joka	REL.PL.NOM	jotka␣
lk001:002	6	alku	SG.ELA	alusta␣
lk001:002	5	asti	POST	asti␣
lk001:002	7	(olla)	COP.ACT.PRES.3P	ovat␣
lk001:002	7	oma	ADJ.PL.INS	omin␣
lk001:002	7	silmä	PL.INS	silmin␣
lk001:002	-	(ne)	DEM.PL.NOM	ne␣
lk001:002	7	nähdä	ACT.PCP2.PERF	nähneet␣
lk001:002	8	ja	CNJ	ja␣
lk001:002	10	olla	COP.ACT.PCP2.PERF	olleet␣
lk001:002	(11) 12a	sana	SG.GEN	sanan␣
lk001:002	9	palvelija	DER.PL.PTV	palvelijoita
lk001:002	12b	,	PUNC	,␣
lk001:003	lk001:003	lk001:003	VERSE	Lk␣1:3␣
lk001:003	3	niin	ADV.AD-A	niin␣
lk001:003	1	(olla)	COP.ACT.PRES.1S	olen␣
lk001:003	3	minä	PERS.SG.NOM.-CLITIC	minäkin
lk001:003	-	(,)	PUNC	,␣
lk001:003	7	tarkkaan	DER.ADV.POS	tarkkaan␣
lk001:003	4	tutkia	PSS.PCP2.-1.TEMP	tutkittuani␣
lk001:003	5	alku	SG.ELA	alusta␣
lk001:003	5	alkaa	ACT.INF2.MAN	alkaen␣
lk001:003	6	kaikki	INDEF.SG.NOM	kaikki
lk001:003	-	(,)	PUNC	,␣
lk001:003	1	päättää	ACT.PCP2.PERF	päättänyt␣
lk001:003	10a	kirjoittaa	INF1.LAT	kirjoittaa␣
lk001:003	-	(ne)	DEM.PL.NOM	ne␣
lk001:003	8	järjestys	DER.SG.INE.-3	järjestyksessään␣
lk001:003	9	sinä	PERS.SG.ALL	sinulle
lk001:003	10b	,	PUNC	,␣
lk001:003	11	korkea-arvoinen	ADJ.SG.NOM	korkea-arvoinen␣
lk001:003	12a	Teofilus	PR.SG.NOM	Teofilus
lk001:003	12b	,	PUNC	,␣
lk001:004	lk001:004	lk001:004	VERSE	Lk␣1:4␣
lk001:004	1	että	SUBORD	että␣
lk001:004	2	oppia	ACT.COND.2S	oppisit␣
lk001:004	2	tuntea	INF3.ILL	tuntemaan
lk001:004	-	(,)	PUNC	,␣
lk001:004	-	(kuinka)	AD-A	kuinka␣
lk001:004	(7) 8a	varma	ADJ.PL.NOM	varmat␣
lk001:004	-	(ne)	DEM.PL.NOM	ne␣
lk001:004	6	asia	PL.NOM	asiat␣
lk001:004	-	(olla)	COP.ACT.PRES.3P	ovat
lk001:004	-	(,)	PUNC	,␣
lk001:004	4	joka	REL.PL.NOM	jotka␣
lk001:004	3	%case	NOM	
lk001:004	5	(sinä)	PERS.SG.ALL	sinulle␣
lk001:004	5	(olla)	COP.ACT.PRES.3S	on␣
lk001:004	5	opettaa	PSS.PCP2.PERF	opetettu
lk001:004	8b	.	PUNC	.␣
lk001:005	lk001:005	lk001:005	VERSE	Lk␣1:5␣
lk001:005	5	Herodes	PR.SG.GEN	Herodeksen
lk001:005	-	(,)	PUNC	,␣
lk001:005	(7) 8	Juudea	PR.SG.GEN	Juudean␣
lk001:005	6	kuningas	SG.GEN	kuninkaan
lk001:005	-	(,)	PUNC	,␣
lk001:005	(3) 4	aika	SG.ESS	aikana␣
lk001:005	2	%case	ESS	
lk001:005	1	olla	COP.ACT.PAST.3S	oli␣
lk001:005	9	pappi	SG.NOM	pappi
lk001:005	(10)	-	UNTRANSLATED	
lk001:005	-	(,)	PUNC	,␣
lk001:005	11	nimi	SG.ABL	nimeltä␣
lk001:005	12	Sakarias	PR.SG.NOM	Sakarias
lk001:005	-	(,)	PUNC	,␣
lk001:005	15a	Abia	PR.SG.GEN	Abian␣
lk001:005	14	osasto	SG.PTV	osastoa
lk001:005	13	%case	PTV	
lk001:005	15b	.	PUNC	.␣
lk001:005	16	ja	CNJ	Ja␣
lk001:005	18	hän	PERS.SG.GEN	hänen␣
lk001:005	17	vaimo	NOM&SGGEN.-3	vaimonsa␣
