lm001:001	lm001:001	lm001:001	VERSE	Val␣1:1␣
lm001:001	1	kuinka	AD-A	Kuinka␣
lm001:001	2	istua	ACT.PRES.3S.-CLITIC	istuukaan␣
lm001:001	3	yksinään	ADV.-3	yksinänsä␣
lm001:001	-	(tuo)	DEM.SG.NOM	tuo␣
lm001:001	5 6	väki_rikas	ADJ.SG.NOM	väkirikas␣
lm001:001	(4a) 4b	kaupunki	SG.NOM	kaupunki
lm001:001	-	(!)	PUNC	!␣
lm001:001	-	(kuinka)	AD-A	Kuinka␣
lm001:001	7	(olla)	COP.ACT.PRES.3S.-CLITIC	onkaan␣
lm001:001	8b	leski	SG.GEN	lesken␣
lm001:001	8a	kaltainen	ADJ.SG.TRA	kaltaiseksi␣
lm001:001	7	tulla	ACT.PCP2.PERF	tullut␣
lm001:001	-	(se)	DEM.SG.NOM	se
lm001:001	-	(,)	PUNC	,␣
lm001:001	-	(joka)	REL.INDEF.SG.NOM	joka␣
lm001:001	-	(olla)	COP.ACT.PAST.3S	oli␣
lm001:001	9	suuri	ADJ.SG.NOM	suuri␣
lm001:001	10b	kansa_kunta	PL.GEN	kansakuntien␣
lm001:001	10a	joukossa	DER.SG.INE	joukossa
lm001:001	-	(!)	PUNC	!␣
lm001:001	11	ruhtinatar	SG.NOM	Ruhtinatar␣
lm001:001	12b	maa_kunta	PL.GEN	maakuntien␣
lm001:001	12a	joukossa	DER.SG.INE	joukossa␣
lm001:001	13	(olla)	COP.ACT.PRES.3S	on␣
lm001:001	13	tulla	ACT.PCP2.PERF	tullut␣
lm001:001	14b	työ_vero	SG.GEN	työveron␣
lm001:001	14a	alainen	ADJ.SG.TRA	alaiseksi
lm001:001	-	(.)	PUNC	.␣
lm001:002	lm001:002	lm001:002	VERSE	Val␣1:2␣
lm001:002	2	(se)	DEM.SG.NOM	Se␣
lm001:002	1	%case	NOM	
lm001:002	-	(katkerasti)	DER.ADV.POS	katkerasti␣
lm001:002	2	itkeä	ACT.PRES.3S	itkee␣
