1s001:001	1s001:001	1s001:001	VERSE	1Sm␣1:1␣
1s001:001	(1a)	-	UNTRANSLATED	
1s001:001	(5a) 5b 6	Raamataim-Soofim	PR.SG.INE	Raamataim-Soofimissa
1s001:001	4	%case	LOC	
1s001:001	-	(,)	PUNC	,␣
1s001:001	8	Efraim	PR.SG.GEN	Efraimin␣
1s001:001	7b	vuoristo	SG.INE	vuoristossa
1s001:001	7a	%case	LOC	
1s001:001	-	(,)	PUNC	,␣
1s001:001	1b	olla	COP.ACT.PAST.3S	oli␣
1s001:001	2	mies	SG.NOM	mies
1s001:001	(3)	-	UNTRANSLATED	
1s001:001	-	(,)	PUNC	,␣
1s001:001	9b	nimi	SG.ABL	nimeltä␣
1s001:001	9a	%inflection	SG.ABL	
1s001:001	10	Elkana	PR.SG.NOM	Elkana
1s001:001	-	(,)	PUNC	,␣
1s001:001	12	Jeroham	PR.SG.GEN	Jerohamin␣
1s001:001	11	poika	SG.NOM	poika
1s001:001	-	(,)	PUNC	,␣
1s001:001	-	(joka)	REL.INDEF.SG.NOM	joka␣
1s001:001	-	(olla)	COP.ACT.PAST.3S	oli␣
1s001:001	14	Elihu	PR.SG.GEN	Elihun␣
1s001:001	13	poika	SG.NOM	poika
1s001:001	-	(,)	PUNC	,␣
1s001:001	-	(joka)	REL.INDEF.SG.NOM	joka␣
1s001:001	16	Toohu	PR.SG.GEN	Toohun␣
1s001:001	15	poika	SG.NOM	poika
1s001:001	-	(,)	PUNC	,␣
1s001:001	-	(joka)	REL.INDEF.SG.NOM	joka␣
1s001:001	18	Suuf	PR.SG.GEN	Suufin␣
1s001:001	17	poika	SG.NOM	poika
1s001:001	-	(,)	PUNC	,␣
1s001:001	19	efratilainen	DER.ADJ.SG.NOM	efratilainen
1s001:001	-	(.)	PUNC	.␣
1s001:002	1s001:002	1s001:002	VERSE	1Sm␣1:2␣
1s001:002	(1a)	-	UNTRANSLATED	
1s001:002	1b	hän	PERS.SG.ADE	Hänellä␣
1s001:002	-	(olla)	COP.ACT.PAST.3S	oli␣
1s001:002	2	2	NUM.SG.NOM	kaksi␣
1s001:002	3	vaimo	SG.PTV	vaimoa
1s001:002	-	(;)	PUNC	;␣
1s001:002	5	toinen	INDEF.SG.GEN	toisen␣
1s001:002	4	nimi	SG.NOM	nimi␣
1s001:002	-	(olla)	COP.ACT.PAST.3S	oli␣
1s001:002	6	Hanna	PR.SG.NOM	Hanna
1s001:002	-	(,)	PUNC	,␣
1s001:002	7a	ja	CNJ	ja␣
1s001:002	(8a) 8b	toinen	INDEF.SG.GEN	toisen␣
1s001:002	7b	nimi	SG.NOM	nimi␣
1s001:002	-	(olla)	COP.ACT.PAST.3S	oli␣
1s001:002	9	Peninna	PR.SG.NOM	Peninna
1s001:002	-	(.)	PUNC	.␣
1s001:002	10a	ja	CNJ	Ja␣
1s001:002	11b	Peninna	PR.SG.ADE	Peninnalla␣
1s001:002	11a	%case	LOC	
1s001:002	10b	olla	COP.ACT.PAST.3S	oli␣
1s001:002	12	lapsi	PL.PTV	lapsia
1s001:002	-	(,)	PUNC	,␣
1s001:002	13a	mutta	CNJ	mutta␣
1s001:002	13c	Hanna	PR.SG.NOM	Hanna␣
1s001:002	13b	%case	NOM	
1s001:002	14 15	(olla)	COP.ACT.PAST.3S	oli␣
1s001:002	14 15	lapseton	DER.ADJ.SG.NOM	lapseton
1s001:002	-	(.)	PUNC	.␣
1s001:003	1s001:003	1s001:003	VERSE	1Sm␣1:3␣
1s001:003	(1a)	-	UNTRANSLATED	
1s001:003	(3a) 3b	tämä	DEM.SG.NOM	Tämä␣
1s001:003	(2a) 2b	mies	SG.NOM	mies␣
1s001:003	1b	mennä	ACT.PAST.3S	meni␣
1s001:003	-	(joka)	REL.INDEF.SG.NOM	joka␣
1s001:003	6	vuosi	SG.NOM	vuosi␣
1s001:003	5a 5b	%case	NOM	
1s001:003	4b	kaupunki	SG.ELA.-3	kaupungistansa␣
1s001:003	4a	%case	LOC	
1s001:003	11b	Siilo	PR.SG.ILL	Siiloon␣
1s001:003	11a	%case	LOC	
1s001:003	7b	rukoilla	INF3.ILL	rukoilemaan␣
