ek001:001	ek001:001	ek001:001	VERSE	Hel␣1:1␣
ek001:001	(1a) (1b)	-	UNTRANSLATED	
ek001:001	2b		ORD.SG.ESS	Kolmantenakymmenentenä␣
ek001:001	2a	%case	ESS	
ek001:001	3	vuosi	SG.ESS	vuotena
ek001:001	-	(,)	PUNC	,␣
ek001:001	4b		ORD.SG.INE	neljännessä␣
ek001:001	4b	(kuu)	SG.INE	kuussa
ek001:001	4a	%case	LOC	
ek001:001	-	(,)	PUNC	,␣
ek001:001	6b	kuu_kausi	SG.GEN	kuukauden␣
ek001:001	6a	%case	GEN	
ek001:001	5b		ORD.SG.ESS	viidentenä␣
ek001:001	5a	%case	ESS	
ek001:001	5b	(päivä)	SG.ESS	päivänä
ek001:001	-	(,)	PUNC	,␣
ek001:001	7a	kun	SUBORD	kun␣
ek001:001	7b	minä	PERS.SG.NOM	minä␣
ek001:001	-	(olla)	COP.ACT.PAST.1S	olin␣
ek001:001	(9a) 9b	pakko_siirtolainen	PL.GEN	pakkosiirtolaisten␣
ek001:001	8b	joukossa	DER.SG.INE	joukossa␣
ek001:001	8a	%case	LOC	
ek001:001	11 12	Kebar-joki	PR.SG.GEN	Kebar-joen␣
ek001:001	10	varrella	PREP	varrella
ek001:001	-	(,)	PUNC	,␣
ek001:001	13	aueta	ACT.PAST.3P	aukenivat␣
ek001:001	(14a) 14b	taivas	PL.NOM	taivaat
ek001:001	-	(,)	PUNC	,␣
ek001:001	15a	ja	CNJ	ja␣
ek001:001	15b	(minä)	PERS.SG.NOM	minä␣
ek001:001	15b	nähdä	ACT.PAST.1S	näin␣
ek001:001	17	Jumala	SG.GEN	Jumalan␣
ek001:001	16	näky	PL.PTV	näkyjä
ek001:001	-	(.)	PUNC	.␣
ek001:002	ek001:002	ek001:002	VERSE	Hel␣1:2␣
ek001:002	2b	kuu_kausi	SG.GEN	Kuukauden␣
ek001:002	2a	%case	GEN	
ek001:002	1b		ORD.SG.ESS	viidentenä␣
ek001:002	1a	%case	ESS	
ek001:002	1b	(päivä)	SG.ESS	päivänä
ek001:002	(3)	-	UNTRANSLATED	
ek001:002	-	(,)	PUNC	,␣
ek001:002	(7a) 7b	kuningas	SG.NOM	kuningas␣
ek001:002	8	Joojakin	PR.SG.GEN	Joojakinin␣
ek001:002	6b	pakko_siirtolaisuus	DER.SG.GEN	pakkosiirtolaisuuden␣
ek001:002	6a	%case	GEN	
ek001:002	(5a) 5b		ORD.SG.ESS	viidentenä␣
ek001:002	(4a) 4b	vuosi	SG.ESS	vuotena
