ha001:001	ha001:001	ha001:001	VERSE	Hab␣1:1␣
ha001:001	(1a) 1b	ennustus	DER.SG.NOM	Ennustus
ha001:001	-	(,)	PUNC	,␣
ha001:001	2	joka	REL.SG.GEN	jonka␣
ha001:001	(5a) 5b	profeetta	SG.NOM	profeetta␣
ha001:001	4	Habakuk	PR.SG.NOM	Habakuk␣
ha001:001	3	nähdä	ACT.PAST.3S	näki
ha001:001	-	(.)	PUNC	.␣
ha001:002	ha001:002	ha001:002	VERSE	Hab␣1:2␣
ha001:002	1 2	kuinka	ADV	Kuinka␣
ha001:002	1 2	kauan	ADV	kauan
ha001:002	-	(,)	PUNC	,␣
ha001:002	3	Herra	SG.NOM	Herra
ha001:002	-	(,)	PUNC	,␣
ha001:002	4	(minä)	PERS.SG.GEN	minun␣
ha001:002	4	(täytyä)	ACT.PRES.3S	täytyy␣
ha001:002	4	apu	SG.PTV	apua␣
ha001:002	4	huutaa	INF1.LAT	huutaa
ha001:002	-	(,)	PUNC	,␣
ha001:002	5a	ja	CNJ	ja␣
ha001:002	6	(sinä)	PERS.SG.NOM	sinä␣
ha001:002	5b	ei	NEGV.2S	et␣
ha001:002	6	kuulla	ACT.PRES.NEG	kuule
ha001:002	-	(,)	PUNC	,␣
ha001:002	7	parkua	INF1.LAT	parkua␣
ha001:002	8	sinä	PERS.SG.ALL	sinulle
ha001:002	-	(:)	PUNC	:␣
ha001:002	-	(")	PUNC.LEFT	"
ha001:002	9	väki_valta	SG.PTV	Väkivaltaa
ha001:002	-	(!)	PUNC	!
ha001:002	-	(")	PUNC.RIGHT	"␣
ha001:002	10a	ja	CNJ	ja␣
ha001:002	11	(sinä)	PERS.SG.NOM	sinä␣
ha001:002	10b	ei	NEGV.2S	et␣
ha001:002	11	auttaa	ACT.PRES.NEG	auta
ha001:002	-	(?)	PUNC	?␣
ha001:003	ha001:003	ha001:003	VERSE	Hab␣1:3␣
ha001:003	1	minkä_tähden	ADV	Minkätähden␣
ha001:003	2	(sinä)	PERS.SG.NOM	sinä␣
ha001:003	2	(antaa)	ACT.PRES.2S	annat␣
ha001:003	pers%2	minä	PERS.SG.GEN	minun␣
ha001:003	2	nähdä	INF1.LAT	nähdä␣
ha001:003	3	vääryys	SG.PTV	vääryyttä␣
ha001:003	4a	ja	CNJ	ja␣
ha001:003	5	(itse)	REFL.SG.NOM	itse␣
ha001:003	5	katsella	ACT.PRES.2S	katselet␣
ha001:003	4b	turmio	SG.PTV	turmiota
ha001:003	(6a)	-	UNTRANSLATED	
ha001:003	-	(?)	PUNC	?␣
ha001:003	pers%8b	minä	PERS.SG.GEN	Minun␣
ha001:003	8b	edessä	PREP.-1	edessäni␣
ha001:003	8a	%case	LOC	
ha001:003	-	(olla)	COP.ACT.PRES.3S	on␣
ha001:003	6b	hävitys	DER.SG.NOM	hävitys␣
ha001:003	7a	ja	CNJ	ja␣
ha001:003	7b	väki_valta	SG.NOM	väkivalta
ha001:003	(9a)	-	UNTRANSLATED	
ha001:003	-	(;)	PUNC	;␣
ha001:003	9b	(olla)	COP.ACT.PRES.3S	on␣
ha001:003	9b	syntyä	ACT.PCP2.PERF	syntynyt␣
ha001:003	10	riita	SG.NOM	riita
ha001:003	-	(,)	PUNC	,␣
ha001:003	11a	ja	CNJ	ja␣
ha001:003	12	(olla)	COP.ACT.PRES.3S	on␣
ha001:003	12	nousta	ACT.PCP2.PERF	noussut␣
ha001:003	11b	tora	SG.NOM	tora
ha001:003	-	(.)	PUNC	.␣
ha001:004	ha001:004	ha001:004	VERSE	Hab␣1:4␣
ha001:004	1 2	sen_tähden	ADV	Sentähden␣
ha001:004	3	(olla)	COP.ACT.PRES.3S	on␣
ha001:004	4	laki	SG.NOM	laki␣
ha001:004	3	heikko	ADJ.SG.NOM	heikko
ha001:004	-	(,)	PUNC	,␣
ha001:004	5a	ja	CNJ	ja␣
ha001:004	8	oikeus	DER.SG.NOM	oikeus␣
ha001:004	5b	ei	NEGV.3S	ei␣
ha001:004	6	tulla	ACT.PRES.NEG	tule␣
ha001:004	7b	milloinkaan	ADV	milloinkaan␣
ha001:004	7a	%case	?	
ha001:004	6	voima	DER.SG.ILL	voimaan
ha001:004	-	(.)	PUNC	.␣
ha001:004	9	sillä	SUBORD	Sillä␣
ha001:004	10	jumalaton	DER.ADJ.SG.NOM	jumalaton␣
ha001:004	11	saartaa	ACT.PRES.3S	saartaa␣
ha001:004	(13a) 13b	vanhurskas	ADJ.SG.GEN	vanhurskaan
ha001:004	12	%case	GEN	
ha001:004	-	(;)	PUNC	;␣
ha001:004	14 15	sen_tähden	ADV	sentähden␣
ha001:004	17	oikeus	DER.SG.NOM	oikeus␣
ha001:004	16 18	vääristää	PSS.PRES	vääristetään
ha001:004	-	(.)	PUNC	.␣
ha001:005	ha001:005	ha001:005	VERSE	Hab␣1:5␣
ha001:005	1	katsoa	ACT.IMP.2P	Katsokaa␣
ha001:005	2b	kansa	PL.GEN	kansojen␣
ha001:005	2a	joukko	SG.ILL	joukkoon
ha001:005	(3a)	-	UNTRANSLATED	
ha001:005	-	(,)	PUNC	,␣
ha001:005	3b	katsella	ACT.IMP.2P	katselkaa␣
ha001:005	4a	ja	CNJ	ja␣
ha001:005	4b	kauhistua	DER.ACT.IMP.2P	kauhistukaa
ha001:005	5	%case	?	
ha001:005	-	(,)	PUNC	,␣
ha001:005	6	sillä	SUBORD	sillä␣
ha001:005	8	(minä)	PERS.SG.NOM	minä␣
ha001:005	8	tehdä	ACT.PRES.1S	teen␣
ha001:005	pers%9b	te	PERS.PL.GEN	teidän␣
ha001:005	9b	päivä	PL.ESS.-2	päivinänne␣
ha001:005	9a	%case	ESS	
ha001:005	7	teko	SG.GEN	teon
ha001:005	-	(,)	PUNC	,␣
ha001:005	-	(joka)	REL.SG.PTV	jota␣
ha001:005	10	ei	NEGV.2P	ette␣
ha001:005	11	uskoa	ACT.COND.NEG	uskoisi
ha001:005	-	(,)	PUNC	,␣
ha001:005	12	jos	SUBORD	jos␣
ha001:005	13	(se)	DEM.SG.ELA	siitä␣
ha001:005	13	kertoa	PSS.COND	kerrottaisiin
ha001:005	-	(.)	PUNC	.␣
ha001:006	ha001:006	ha001:006	VERSE	Hab␣1:6␣
ha001:006	1	sillä	SUBORD	Sillä␣
ha001:006	2	katso	INTJ	katso
