ec001:001	ec001:001	ec001:001	VERSE	Srn␣1:1␣
ec001:001	2	saarnaaja	DER.SG.GEN	Saarnaajan␣
ec001:001	1	sana	PL.NOM	sanat
ec001:001	-	(,)	PUNC	,␣
ec001:001	4	Daavid	PR.SG.GEN	Daavidin␣
ec001:001	3	poika	SG.GEN	pojan
ec001:001	-	(,)	PUNC	,␣
ec001:001	-	(joka)	REL.INDEF.SG.NOM	joka␣
ec001:001	-	(olla)	COP.ACT.PAST.3S	oli␣
ec001:001	5	kuningas	SG.ESS	kuninkaana␣
ec001:001	6b	Jerusalem	PR.SG.INE	Jerusalemissa
ec001:001	6a	%case	LOC	
ec001:001	-	(.)	PUNC	.␣
ec001:002	ec001:002	ec001:002	VERSE	Srn␣1:2␣
ec001:002	2	turhuus	DER.PL.GEN	Turhuuksien␣
ec001:002	1	turhuus	DER.SG.NOM	turhuus
ec001:002	-	(,)	PUNC	,␣
ec001:002	3	sanoa	ACT.PAST.3S	sanoi␣
ec001:002	4	saarnaaja	DER.SG.NOM	saarnaaja
ec001:002	-	(,)	PUNC	,␣
ec001:002	6	turhuus	DER.PL.GEN	turhuuksien␣
ec001:002	5	turhuus	DER.SG.NOM	turhuus
ec001:002	-	(;)	PUNC	;␣
ec001:002	(7a) 7b	kaikki	INDEF.SG.NOM	kaikki␣
ec001:002	-	(olla)	COP.ACT.PRES.3S	on␣
ec001:002	8	turhuus	DER.SG.PTV	turhuutta
ec001:002	-	(!)	PUNC	!␣
ec001:003	ec001:003	ec001:003	VERSE	Srn␣1:3␣
ec001:003	1	mikä	INT.REL.SG.PTV	Mitä␣
ec001:003	2	hyöty	SG.PTV	hyötyä␣
ec001:003	-	(olla)	COP.ACT.PRES.3S	on␣
ec001:003	3b	ihminen	SG.ALL	ihmiselle␣
ec001:003	3a	%case	LOC	
ec001:003	4b	kaikki	INDEF.SG.ELA	kaikesta␣
ec001:003	4a	%case	LOC	
ec001:003	5	vaivan_näkö	SG.ELA.-3	vaivannäöstänsä
ec001:003	-	(,)	PUNC	,␣
ec001:003	6a	joka	REL.SG.ADE	jolla␣
ec001:003	6b	(hän)	PERS.SG.NOM	hän␣
ec001:003	6b	vaivata	ACT.PRES.3S	vaivaa␣
ec001:003	-	(itse)	REFL.SG.PTV.-3	itseänsä␣
ec001:003	(8a) 8b	aurinko	SG.GEN	auringon␣
ec001:003	7	alla	PREP	alla
ec001:003	-	(?)	PUNC	?␣
ec001:004	ec001:004	ec001:004	VERSE	Srn␣1:4␣
ec001:004	1	suku_polvi	SG.NOM	Sukupolvi␣
ec001:004	2	mennä	ACT.PRES.3S	menee
ec001:004	-	(,)	PUNC	,␣
ec001:004	3a	ja	CNJ	ja␣
ec001:004	3b	suku_polvi	SG.NOM	sukupolvi␣
ec001:004	4	tulla	ACT.PRES.3S	tulee
ec001:004	-	(,)	PUNC	,␣
ec001:004	5a	mutta	CNJ	mutta␣
ec001:004	(5b) 5c	maa	SG.NOM	maa␣
ec001:004	7	pysyä	ACT.PRES.3S	pysyy␣
ec001:004	6b	iäti	ADV	iäti
ec001:004	6a	%case	?	
ec001:004	-	(.)	PUNC	.␣
ec001:005	ec001:005	ec001:005	VERSE	Srn␣1:5␣
ec001:005	1a	ja	CNJ	Ja␣
ec001:005	(2a) 2b	aurinko	SG.NOM	aurinko␣
ec001:005	1b	nousta	ACT.PRES.3S	nousee
ec001:005	-	(,)	PUNC	,␣
ec001:005	3a	ja	CNJ	ja␣
ec001:005	(4a) 4b	aurinko	SG.NOM	aurinko␣
ec001:005	3b	laskea	ACT.PRES.3S	laskee␣
ec001:005	5a	ja	CNJ	ja␣
ec001:005	7	kiiruhtaa	ACT.PRES.3S	kiiruhtaa␣
ec001:005	-	(se)	DEM.SG.ALL	sille␣
ec001:005	6	sija	SG.ALL.-3	sijallensa
ec001:005	5b	%case	LOC	
ec001:005	-	(,)	PUNC	,␣
ec001:005	10	joka	REL.SG.ELA	josta␣
ec001:005	9	se	DEM.SG.NOM	se␣
ec001:005	-	(jälleen)	ADV	jälleen␣
ec001:005	8	nousta	ACT.PRES.3S	nousee
ec001:005	-	(.)	PUNC	.␣
ec001:006	ec001:006	ec001:006	VERSE	Srn␣1:6␣
ec001:006	(10a) 10b	tuuli	SG.NOM	Tuuli␣
ec001:006	1	mennä	ACT.PRES.3S	menee␣
ec001:006	3	etelä	SG.ILL	etelään␣
ec001:006	2	%case	LOC	
ec001:006	4a	ja	CNJ	ja␣
ec001:006	4b	kiertää	ACT.PRES.3S	kiertää␣
ec001:006	6	pohjoinen	ADJ.SG.ILL	pohjoiseen
ec001:006	5	%case	LOC	
ec001:006	-	(,)	PUNC	,␣
