1t001:001	1t001:001	1t001:001	VERSE	1Tm␣1:1␣
1t001:001	1	Paavali	PR.SG.NOM	Paavali
1t001:001	-	(,)	PUNC	,␣
1t001:001	3	Kristus	PR.SG.GEN	Kristuksen␣
1t001:001	4	Jeesus	PR.SG.GEN	Jeesuksen␣
1t001:001	2	apostoli	SG.NOM	apostoli
1t001:001	-	(,)	PUNC	,␣
1t001:001	7	Jumala	SG.GEN	Jumalan
1t001:001	-	(,)	PUNC	,␣
1t001:001	9	me	PERS.PL.GEN	meidän␣
1t001:001	8	vapahtaja	DER.NOM&SGGEN.-1	vapahtajamme
1t001:001	-	(,)	PUNC	,␣
1t001:001	10	ja	CNJ	ja␣
1t001:001	11	Kristus	PR.SG.GEN	Kristuksen␣
1t001:001	12	Jeesus	PR.SG.GEN	Jeesuksen
1t001:001	-	(,)	PUNC	,␣
1t001:001	15	me	PERS.PL.GEN	meidän␣
1t001:001	(13) 14	toivo	NOM&SGGEN.-1	toivomme
1t001:001	-	(,)	PUNC	,␣
1t001:001	6	asettaa:asettama	PCPA.SG.NOM	asettama
1t001:001	5	%case	NOM	
1t001:001	-	(,)	PUNC	,␣
1t001:002	1t001:002	1t001:002	VERSE	1Tm␣1:2␣
1t001:002	1	Timoteus	PR.SG.ALL	Timoteukselle
1t001:002	-	(,)	PUNC	,␣
1t001:002	2	oikea	ADJ.SG.ALL	oikealle␣
1t001:002	3	poika	SG.ALL.-3	pojallensa␣
1t001:002	5a	usko	SG.INE	uskossa
1t001:002	4	%case	LOC	
1t001:002	5b	.	PUNC	.␣
1t001:002	6	armo	SG.NOM	Armo
1t001:002	-	(,)	PUNC	,␣
1t001:002	7	laupeus	SG.NOM	laupeus␣
1t001:002	-	(ja)	CNJ	ja␣
1t001:002	8	rauha	SG.NOM	rauha␣
1t001:002	11	Isä	SG.ABL	Isältä␣
1t001:002	10	Jumala	SG.ABL	Jumalalta␣
1t001:002	9	%case	LOC	
1t001:002	12	ja	CNJ	ja␣
1t001:002	13	Kristus	PR.SG.ABL	Kristukselta␣
1t001:002	14	Jeesus	PR.SG.ABL	Jeesukselta
1t001:002	-	(,)	PUNC	,␣
1t001:002	17a	me	PERS.PL.GEN	meidän␣
1t001:002	(15) 16	Herra	SG.ABL.-1	Herraltamme
1t001:002	-	(!)	PUNC	!␣
1t001:003	1t001:003	1t001:003	VERSE	1Tm␣1:3␣
1t001:003	1	niin_kuin	SUBORD	Niinkuin␣
1t001:003	2	(minä)	PERS.SG.NOM	minä␣
1t001:003	9a	Makedonia	PR.SG.ILL	Makedoniaan␣
1t001:003	8	%case	LOC	
1t001:003	7	lähteä	ACT.INF2.INE.-1	lähtiessäni␣
1t001:003	2	kehoittaa	ACT.PAST.1S	kehoitin␣
1t001:003	3	sinä	PERS.SG.PTV	sinua␣
1t001:003	4	jäädä	INF3.ILL	jäämään␣
1t001:003	6	Efeso	PR.SG.ILL	Efesoon
1t001:003	5	%case	LOC	
1t001:003	9b	,	PUNC	,␣
1t001:003	11	käskeä	INF1.TRA.-2	käskeäksesi␣
1t001:003	10	%case	TRA	
1t001:003	12	eräs	INDEF.PL.PTV	eräitä␣
1t001:003	-	(kavahtaa)	INF3.ILL	kavahtamaan
1t001:003	-	(,)	PUNC	,␣
1t001:003	13	ettei	NEGV.3P	etteivät␣
1t001:003	14	vieras	ADJ.PL.PTV	vieraita␣
1t001:003	14	oppi	PL.PTV	oppeja␣
1t001:003	14	opettaa	ACT.COND.NEG	opettaisi␣
1t001:004	1t001:004	1t001:004	VERSE	1Tm␣1:4␣
1t001:004	1	ei	NEGV.3P.-CLITIC	eivätkä␣
1t001:004	2	puuttua	ACT.COND.NEG	puuttuisi␣
1t001:004	3	taru	PL.ILL	taruihin␣
1t001:004	4	ja	CNJ	ja␣
1t001:004	6a	loppumaton	DER.ADJ.PL.ILL	loppumattomiin␣
1t001:004	5	suku_luettelo	PL.ILL	sukuluetteloihin
1t001:004	6b	,	PUNC	,␣
1t001:004	7	joka	REL.PL.NOM	jotka␣
1t001:004	10	pikemmin	ADV	pikemmin␣
1t001:004	9	edistää	ACT.PRES.3P	edistävät␣
1t001:004	8	turha	ADJ.SG.PTV	turhaa␣
1t001:004	8	mietiskely	DER.SG.PTV	mietiskelyä␣
1t001:004	11	kuin	SUBORD	kuin␣
1t001:004	13	Jumala	SG.GEN	Jumalan␣
1t001:004	12	armo_talous	SG.PTV	armotaloutta
1t001:004	-	(,)	PUNC	,␣
1t001:004	14	joka	REL.INDEF.SG.NOM	joka␣
1t001:004	14	(perustua)	DER.ACT.PRES.3S	perustuu␣
