ga001:001	ga001:001	ga001:001	VERSE	Gal␣1:1␣
ga001:001	1	Paavali	PR.SG.NOM	Paavali
ga001:001	-	(,)	PUNC	,␣
ga001:001	2	apostoli	SG.NOM	apostoli
ga001:001	-	(,)	PUNC	,␣
ga001:001	-	(virka)	NOM&SGGEN.-3	virkansa␣
ga001:001	-	(saada)	ACT.PCP2.PERF	saanut
ga001:001	-	(,)	PUNC	,␣
ga001:001	3	ei	NEGV.3S	ei␣
ga001:001	5	ihminen	PL.ABL	ihmisiltä␣
ga001:001	4	%case	LOC	
ga001:001	6	ei	NEGV.3S.-CLITIC	eikä␣
ga001:001	8	ihminen	SG.GEN	ihmisen␣
ga001:001	7	kautta	PREP	kautta
ga001:001	-	(,)	PUNC	,␣
ga001:001	9	vaan	SUBORD	vaan␣
ga001:001	11	Jeesus	PR.SG.GEN	Jeesuksen␣
ga001:001	12	Kristus	PR.SG.GEN	Kristuksen␣
ga001:001	10	kautta	PREP	kautta␣
ga001:001	13	ja	CNJ	ja␣
ga001:001	15	Isä	SG.GEN	Isän␣
ga001:001	14	Jumala	SG.GEN	Jumalan
ga001:001	-	(,)	PUNC	,␣
ga001:001	16	joka	REL.INDEF.SG.NOM	joka␣
ga001:001	17	(olla)	COP.ACT.PRES.3S	on␣
ga001:001	18	hän	PERS.SG.ACC	hänet␣
ga001:001	20a	kuollut	ADJ.PL.ELA	kuolleista␣
ga001:001	19	%case	LOC	
ga001:001	17	herättää	ACT.PCP2.PERF	herättänyt
ga001:001	20b	,	PUNC	,␣
ga001:002	ga001:002	ga001:002	VERSE	Gal␣1:2␣
ga001:002	1	ja	CNJ	ja␣
ga001:002	5	kaikki	INDEF.SG.NOM	kaikki␣
ga001:002	6	veli	PL.NOM	veljet
ga001:002	-	(,)	PUNC	,␣
ga001:002	2	joka	REL.PL.NOM	jotka␣
ga001:002	-	(olla)	COP.ACT.PRES.3P	ovat␣
ga001:002	4	minä	PERS.SG.GEN	minun␣
ga001:002	3	kanssa	POST.-1	kanssani
ga001:002	-	(,)	PUNC	,␣
ga001:002	10a (9)	Galatia	PR.SG.GEN	Galatian␣
ga001:002	(7) 8	seurakunta	PL.ALL	seurakunnille
ga001:002	10b	.	PUNC	.␣
ga001:003	ga001:003	ga001:003	VERSE	Gal␣1:3␣
ga001:003	1	armo	SG.NOM	Armo␣
ga001:003	2	te	PERS.PL.ALL	teille␣
ga001:003	3	ja	CNJ	ja␣
ga001:003	4	rauha	SG.NOM	rauha␣
ga001:003	6	Jumala	SG.ABL	Jumalalta
ga001:003	5	%case	LOC	
ga001:003	-	(,)	PUNC	,␣
ga001:003	8	me	PERS.PL.GEN	meidän␣
ga001:003	7	Isä	SG.ABL.-1	Isältämme
ga001:003	-	(,)	PUNC	,␣
ga001:003	9	ja	CNJ	ja␣
ga001:003	10	Herra	SG.ABL	Herralta␣
