ps001:001	ps001:001	ps001:001	VERSE	Ps␣1:1␣
ps001:001	1	autuas	ADJ.SG.NOM	Autuas␣
ps001:001	2a	se	DEM.SG.NOM	se␣
ps001:001	2b	mies	SG.NOM	mies
ps001:001	-	(,)	PUNC	,␣
ps001:001	3	joka	REL.INDEF.SG.NOM	joka␣
ps001:001	4	ei	NEGV.3S	ei␣
ps001:001	5	vaeltaa	ACT.PRES.NEG	vaella␣
ps001:001	7	jumalaton	DER.PL.GEN	jumalattomain␣
ps001:001	6b	neuvo	SG.INE	neuvossa␣
ps001:001	6a	%case	LOC	
ps001:001	10	ei	NEGV.3S.-CLITIC	eikä␣
ps001:001	8a	%clitic	kA	
ps001:001	11	astua	ACT.PRES.NEG	astu␣
ps001:001	9	syntinen	ADJ.PL.GEN	syntisten␣
ps001:001	8c	tie	PL.PTV	teitä␣
ps001:001	8b	%case	PTV	
ps001:001	14	ei	NEGV.3S.-CLITIC	eikä␣
ps001:001	12a	%clitic	kA	
ps001:001	15	istua	ACT.PRES.NEG	istu
ps001:001	-	(,)	PUNC	,␣
ps001:001	12b	kussa	ADV	kussa␣
ps001:001	13	pilkkaaja	DER.PL.NOM	pilkkaajat␣
ps001:001	12c	istua	ACT.PRES.3P	istuvat
ps001:001	-	(,)	PUNC	,␣
ps001:002	ps001:002	ps001:002	VERSE	Ps␣1:2␣
ps001:002	1 2	vaan	SUBORD	vaan␣
ps001:002	5	rakastaa	ACT.PRES.3S	rakastaa␣
ps001:002	4	Herra	SG.GEN	Herran␣
ps001:002	3b	laki	SG.PTV	lakia␣
ps001:002	3a	%case	PTV	
ps001:002	6a	ja	CNJ	ja␣
ps001:002	7	tutkistella	ACT.PRES.3S	tutkistelee␣
ps001:002	pers%6c	hän	PERS.SG.GEN	hänen␣
ps001:002	6c	laki	SG.PTV.-3	lakiansa␣
ps001:002	6b	%case	PTV	
ps001:002	8	päivä	PL.NOM	päivät␣
ps001:002	9a	ja	CNJ	ja␣
ps001:002	9b	yö	PL.NOM	yöt
ps001:002	-	(!)	PUNC	!␣
ps001:003	ps001:003	ps001:003	VERSE	Ps␣1:3␣
ps001:003	(1a)	-	UNTRANSLATED	
ps001:003	1b	(hän)	PERS.SG.NOM	Hän␣
ps001:003	1b	olla	COP.ACT.PRES.3S	on␣
ps001:003	2a	niin_kuin	SUBORD	niinkuin␣
ps001:003	3	istuttaa:istutettu	DER.PSS.PCP2.SG.NOM	istutettu␣
ps001:003	2b	puu	SG.NOM	puu␣
ps001:003	5 6	vesi_oja	PL.GEN	vesiojain␣
ps001:003	4	tykönä	POST	tykönä
ps001:003	-	(,)	PUNC	,␣
ps001:003	7	joka	REL.INDEF.SG.NOM	joka␣
ps001:003	9	antaa	ACT.PRES.3S	antaa␣
ps001:003	8	hedelmä	NOM&SGGEN.-3	hedelmänsä␣
ps001:003	10b	ajallaan	DER.ADV.-3	ajallaan␣
ps001:003	10a	%case	LOC	
ps001:003	11a	ja	CNJ	ja␣
ps001:003	pers%11b	joka	REL.SG.GEN	jonka␣
ps001:003	11b	lehti	SG.NOM	lehti␣
ps001:003	12	ei	NEGV.3S	ei␣
ps001:003	13	lakastua	ACT.PRES.NEG	lakastu
ps001:003	-	(;)	PUNC	;␣
ps001:003	14a	ja	CNJ	ja␣
ps001:003	14b	kaikki	INDEF.SG.NOM	kaikki
ps001:003	-	(,)	PUNC	,␣
ps001:003	15	mikä	INT.REL.SG.PTV	mitä␣
ps001:003	16	(hän)	PERS.SG.NOM	hän␣
ps001:003	16	tehdä	ACT.PRES.3S	tekee
ps001:003	-	(,)	PUNC	,␣
ps001:003	17	menestyä	ACT.PRES.3S	menestyy
ps001:003	-	(.)	PUNC	.␣
ps001:004	ps001:004	ps001:004	VERSE	Ps␣1:4␣
ps001:004	2	niin	ADV.AD-A	Niin␣
ps001:004	1	ei	NEGV.3P	eivät␣
ps001:004	(3a) 3b	jumalaton	DER.ADJ.PL.NOM	jumalattomat
ps001:004	-	(!)	PUNC	!␣
ps001:004	4 5	vaan	SUBORD	Vaan␣
ps001:004	-	(he)	PERS.PL.NOM	he␣
ps001:004	-	(olla)	COP.ACT.PRES.3P	ovat␣
ps001:004	6a	kuin	SUBORD	kuin␣
ps001:004	6b	akana	PL.NOM	akanat
ps001:004	-	(,)	PUNC	,␣
ps001:004	7	joka	REL.PL.PTV	joita␣
ps001:004	9	tuuli	SG.NOM	tuuli␣
ps001:004	8	ajaa	ACT.PRES.3S	ajaa
ps001:004	-	(.)	PUNC	.␣
ps001:005	ps001:005	ps001:005	VERSE	Ps␣1:5␣
ps001:005	1 2	sen_tähden	ADV	Sentähden␣
ps001:005	3	ei	NEGV.3P	eivät␣
ps001:005	5	jumalaton	DER.ADJ.PL.NOM	jumalattomat␣
ps001:005	4	kestää	ACT.PRES.NEG	kestä␣
ps001:005	6b	tuomio	SG.ADE	tuomiolla␣
ps001:005	6a	%case	LOC	
ps001:005	7a	ei	NEGV.3P.-CLITIC	eivätkä␣
ps001:005	7b	syntinen	ADJ.PL.NOM	syntiset␣
ps001:005	9	vanhurskas	ADJ.PL.GEN	vanhurskasten␣
