cl001:001	cl001:001	cl001:001	VERSE	Kol␣1:1␣
cl001:001	1	Paavali	PR.SG.NOM	Paavali
cl001:001	-	(,)	PUNC	,␣
cl001:001	7	Jumala	SG.GEN	Jumalan␣
cl001:001	6	tahto	SG.ELA	tahdosta␣
cl001:001	5	%case	LOC	
cl001:001	3	Kristus	PR.SG.GEN	Kristuksen␣
cl001:001	4	Jeesus	PR.SG.GEN	Jeesuksen␣
cl001:001	2	apostoli	SG.NOM	apostoli
cl001:001	-	(,)	PUNC	,␣
cl001:001	8	ja	CNJ	ja␣
cl001:001	(10) 11	veli	SG.NOM	veli␣
cl001:001	9	Timoteus	PR.SG.NOM	Timoteus␣
cl001:002	cl001:002	cl001:002	VERSE	Kol␣1:2␣
cl001:002	3	Kolossa	PR.SG.INE	Kolossassa␣
cl001:002	2	%case	LOC	
cl001:002	-	(asua:asuva)	ACT.PCP1.PL.ALL	asuville␣
cl001:002	(1) 4	pyhä	ADJ.PL.ALL	pyhille␣
cl001:002	5	ja	CNJ	ja␣
cl001:002	6	uskova	ADJ.PL.ALL	uskoville␣
cl001:002	7	veli	PL.ALL	veljille␣
cl001:002	9a	Kristus	PR.SG.INE	Kristuksessa
cl001:002	8	%case	LOC	
cl001:002	9b	.	PUNC	.␣
cl001:002	10	armo	SG.NOM	Armo␣
cl001:002	11	te	PERS.PL.ALL	teille␣
cl001:002	12	ja	CNJ	ja␣
cl001:002	13	rauha	SG.NOM	rauha␣
cl001:002	15	Jumala	SG.ABL	Jumalalta
cl001:002	14	%case	LOC	
cl001:002	-	(,)	PUNC	,␣
cl001:002	17a	me	PERS.PL.GEN	meidän␣
cl001:002	16	Isä	SG.ABL.-1	Isältämme
cl001:002	14	%case	LOC	
cl001:002	-	(!)	PUNC	!␣
cl001:003	cl001:003	cl001:003	VERSE	Kol␣1:3␣
cl001:003	1	(me)	PERS.PL.NOM	Me␣
cl001:003	1	kiittää	ACT.PRES.1P	kiitämme␣
cl001:003	(2) 3	Jumala	SG.PTV	Jumalaa
cl001:003	-	(,)	PUNC	,␣
cl001:003	(5) 6	Herra	NOM&SGGEN.-1	Herramme␣
cl001:003	7	%pers	?	
cl001:003	8	Jeesus	PR.SG.GEN	Jeesuksen␣
cl001:003	9	Kristus	PR.SG.GEN	Kristuksen␣
cl001:003	4	Isä	SG.PTV	Isää
cl001:003	-	(,)	PUNC	,␣
cl001:003	10	aina	ADV	aina␣
cl001:003	13a	(kun)	SUBORD	kun␣
cl001:003	13a	rukoilla	ACT.PRES.1P	rukoilemme␣
cl001:003	12	te	PERS.PL.GEN	teidän␣
cl001:003	11	edestä	PREP.-2	edestänne
cl001:003	13b	,	PUNC	,␣
cl001:004	cl001:004	cl001:004	VERSE	Kol␣1:4␣
cl001:004	-	(sillä)	SUBORD	sillä␣
cl001:004	1	(me)	PERS.PL.NOM	me␣
cl001:004	1	(olla)	COP.ACT.PRES.1P	olemme␣
cl001:004	tasp%1	saada	ACT.PCP2.PERF	saaneet␣
cl001:004	1	kuulla	INF1.LAT	kuulla␣
cl001:004	4	te	PERS.PL.GEN	teidän␣
